keyphrase,adjusted_mean_shap
digital art,94305303057.98267
painted,94305303057.97267
digital painting,0.03649461486381175
matte painting,0.020416115018879098
painting,0.02038803238128223
concept art,0.020379671126705624
artstation,0.017437243774357097
art,0.0165295655392282
portrait,0.013244185596477
photorealistic,0.012282727812034724
picasso,0.010807336901004626
film,0.010195462742591999
fantasy art,0.008866463776122475
deviantart realistic,0.008615580367606325
comprehensive art,0.0077196811447160256
clouds,0.007695558797006875
hyper detailed,0.007555942554271251
unreal engine,0.007487675112979325
surrealism,0.00651742060027295
deviantart,0.0063300231299131746
footage,0.0057288931921250005
fantasy painting,0.00531518364205545
art artgerm,0.00475321260953495
painting beautiful,0.004689958155604975
goddess,0.0046649133960006755
ultra realistic,0.0046515920032812255
phyics entries,0.00457144762769455
portrait painting,0.004554454941781025
landscape,0.0044451330636595
modern art,0.004360212880976775
cyberpunk,0.0043060941719835
castle,0.0042710429221103005
scene,0.003947832240228474
illustration art,0.003908464649045775
woman,0.0038384527341239
photograph divine,0.00365846996364165
goth,0.003654036608821725
puppy sitting,0.0036207369500425
dragon,0.0035844261463719
faroe azores,0.003575638675222975
ufo ignoring,0.00343902011781125
elson,0.0033948942629623497
peter,0.00336579542308615
elf,0.003361723932463475
surreal,0.0033585010349987754
gundam,0.0033407518774294753
cinematic,0.0031940148285941753
anime,0.003135920565526175
wallpaper,0.0030865511590085753
wallpaper illustration,0.0028871108635648004
photography,0.0028434848269182997
gustav klimt,0.0028422447757405996
screenshot,0.00273233553095135
science fiction,0.0026937436985133003
snowy,0.0026857936805876
painting peter,0.002652532592488425
hd unreal,0.002648227133991975
ufo,0.0026478555431565885
painting artstation,0.002567643687432875
painting deviantart,0.002554518896711851
realistic cinematic,0.0025188325431868
saitama,0.002469806943664625
artstation concept,0.0024293757568221
character portrait,0.00242629229305145
century modern,0.002423763597610675
steampunk himalayan,0.002420135960538675
donald,0.0024169333655166747
hd painting,0.0024154469323034752
painting ronny,0.002407924967158683
beksinski,0.0024020231826015
zdzislaw beksinski,0.0023841853411892
matte,0.00236349733646865
detailed portrait,0.002333677829454475
sony,0.002332954692920425
atmospheric lighting,0.0023321455957803
traits painting,0.002223085463777225
art smooth,0.002201055399471375
steampunk,0.00218907669383935
mila kunis,0.002168667175223
photo,0.0021509611936886253
portrait scifi,0.002130279053931925
oil painting,0.0021254666246108
trending artstation,0.00202057158993275
gordon,0.00201995024430595
lighting,0.002014811260825966
cat,0.001993476949093035
lifelike photorealistic,0.0019835434811400748
deviantart cinematic,0.0019650448902269
cyborg,0.00195931020702195
beautiful,0.001901207380313
sony world,0.00189156647747325
style portrait,0.0018760440192161
knight,0.0018736813084087665
illustration,0.0017988367129895
movie,0.0017763357172889249
art style,0.0017634938903720002
entries sony,0.001758245560546475
surreal concept,0.0017582183313769
sitting snowy,0.001748010363578
bernard simunovic,0.0017427644393768
detailed painting,0.0017378191149586618
himalayan,0.0017342913193498003
world photography,0.0017305522260617498
volumetric lighting,0.001719003668898275
photo realistic,0.001716595448817725
portrait extremely,0.001713130028777
artwork,0.001698527645866275
intricate details,0.0016795170610836886
art trending,0.0016713698009526029
alien,0.0016385189563636999
einstein,0.00161104656552525
painted pablo,0.00160127086021245
azores islands,0.0015898699640624
heavy detailed,0.0015672269481516359
painting sargent,0.001531023507881875
emo,0.001518588751840175
natural scene,0.001510561648794625
spaceship,0.0014934999242451
stars,0.0014833326558971
painting character,0.001474153954266425
forest,0.001471840840142825
room,0.0014665613368975
art thorough,0.0014536716634510624
ruins,0.0014527902734545
manga illustration,0.0014503746244083
film neuromancer,0.001441668294343375
cute fluffy,0.00143660031915375
body portrait,0.00143368957141275
portrait photograph,0.00141460333081385
space,0.001414167351663512
goddess wearing,0.0013999780752010666
peter elson,0.001385858485305675
surrealism surreal,0.0013664453573285
frazetta,0.0013635693863065998
robot,0.0013569208993975
portrait painted,0.0013484182620678315
garden,0.0013205611196586238
city,0.0013197519707759315
cinematic composition,0.001307629202169575
photorealistic digital,0.001301423731968517
pablo picasso,0.001294053880770525
illustrated,0.0012867698243989336
artistic painting,0.001268779523348475
engine,0.00125497152859685
rpg portrait,0.001248936687832825
armor daedric,0.00124760730539885
uncanny painting,0.0012395157392372299
photography awards,0.001237815738337375
anime epic,0.00122966206910025
overcast thunder,0.0012206087092003501
food photography,0.0012004982968238
alien planet,0.0011983443191477
style contemporary,0.0011958509249046477
azores,0.00119503425433455
daedric armor,0.00119364430251895
art sharp,0.00118564101615915
movie poster,0.00115695497185295
painting lurid,0.00114676556758285
starmaker matte,0.0011420416681571
mid century,0.0011416304804236
artistic,0.0011408615062882285
saitama anime,0.001135999294732075
fiction,0.0011351367632689323
manga,0.001134062056225425
octane render,0.0011337526189131892
runway,0.0011333841272450117
emo punk,0.0011112121822004874
puppy,0.001107339559472625
punk portrait,0.0010951928040102822
uncanny,0.0010907527853199
anime colors,0.0010907452402526899
painting aesthetic,0.0010802512919731093
