keyphrase,mean_abs_shap
abandoned,2.888940006582302e-06
alien,0.0
alien planet,5.504977193625193e-06
android cyborg,0.00023887056745779017
anime,0.0005730762343844203
anime colors,0.0
anime epic,1.5367651711581006e-05
armor daedric,0.0002668804935616798
art,0.0007302863824185195
art artgerm,0.0010869228351433307
art city,0.0
art hyperrealistic,0.00029457261867441763
art josan,0.0002779240479810168
art lifelike,0.0016449549093836685
art punk,0.0002951182568372481
art realistic,0.0
art sharp,0.0
art smooth,0.0020025403173954386
art style,0.0001989108547019672
art thorough,1.0937729950893532e-05
art trending,0.0003551134505693829
artistic,6.44703451463609e-06
artistic painting,2.382898334772044e-06
artstation,0.0002369606256286962
artstation cinematic,0.001748493635522561
artstation galaxy,0.0
artstation hyperrealism,0.002276382106279146
artwork,0.004262753913068392
atmospheric lighting,0.00025637842124202117
avant garde,0.00024031986013266818
azores,0.0
azores islands,2.594087064022909e-06
beautiful landscape,0.0
beneath cherry,0.0002642687444713388
bjork,0.0006545703877955834
black,0.00018378230042813325
body manga,0.00026994426315892
body portrait,0.000291042635276591
body shot,0.00020507009061900483
bonsai,0.002097737576431245
bonsai tree,0.00021739008608646768
bull looking,0.0002635388712178348
bull modeled,0.0002882460955399852
butterfly volumetric,0.00022871941540933711
camera,0.0002950880784674386
candle butterfly,0.00032490901276140995
candle volumetric,0.0002535353537146749
canvas,0.0027500580502144174
castle,0.00022130401605438937
castle enclosed,0.0002879387380379126
cat,0.0007989345109601967
century,6.345397869270567e-05
century modern,0.00023080348362186648
character portrait,0.0002863212237580226
chris,3.852234924875661e-06
chris foss,0.0
churches domes,0.00027550435156292063
cinematic,0.0010416820458294329
cinematic composition,0.00348452813998103
cinematic deviantart,1304046328489.8643
city,0.00024164874157412913
cloud fashion,0.0
clouds,0.0016368218246071379
clouds covered,0.0
clouds girl,2.947333433996226e-06
clouds madeira,0.0
collage canvas,0.0002777603074956158
colors,5.002143328695765e-07
colossal,0.0002733067635641542
colossal goddess,0.0003142928348480536
comprehensive art,5.725057212372117e-05
concept art,0.00034628744321623344
contemporary art,0.0002938489509047864
cute fluffy,4.330626173258869e-06
cyberpunk,0.004176464974960123
cyborg,0.00037119407643442594
cyborg body,0.0002782605116971798
cyborg bull,0.00030703793356329033
daedric armor,0.0002108132841709349
dark,0.0026126197729241228
dark uncanny,1.1873871106697729e-05
detailed painting,0.0028866218956654184
detailed portrait,0.00029026495757028667
detailed ultra,0.0004238469368993511
details intricate,0.0
detective pikachu,0.00046993507291552875
deviantart,0.007306823737375143
deviantart hyperrealistic,0.0
deviantart realistic,0.009376672829002886
digital art,6.826007576923735e-05
digital painting,0.00046578104564381237
digital render,3.0980153091590997e-06
divine,0.0002573649394058338
divine pink,0.0
dog,5.423852172400709e-06
donald,0.0036308795348231377
dragon,0.00013357289189994535
dramatic lighting,0.0
drawing,0.00041327373732901384
dunmer nerevarine,0.0003769018570651152
einstein,0.0017011094681267107
elf,0.00021037198224978476
elson,0.00026643762562242193
emo,0.0
emo punk,0.00021473083994275922
engine,0.00026000686549122157
entries sony,1.8178420385902458e-06
fantasy art,0.0002463972444601951
fantasy painting,9.418855120358422e-07
fantasy style,0.0
faroe azores,2.9858908128040848e-06
fashion clouds,0.0
fiction,0.0
fiction film,0.0029047880820435436
fifth element,0.0
film,0.027290219433630882
film neuromancer,0.001212741304844064
flamingos,0.0
flowers,0.000560185905325238
fluffy,0.0005123183155367767
footage,0.0012960790876518674
forest,0.0
frazetta,0.0
frazetta fantasy,0.0002435051768965706
frazetta giger,4.455599152405206e-06
futuristic,0.0
garden,0.0
garden intricate,0.0004955000806127109
giant digital,2.1995372464963284e-06
girl clouds,0.0
glamorous sophisticated,0.0014835225353825158
glimpse universe,0.0
goddess,0.002162147760207871
goddess creative,0.0002574363417874961
goddess wearing,2.3034423383881e-06
gordon,0.0003151794829210308
goth,0.00030092454869780073
goth emo,0.0003020964566286055
