keyphrase,mean_abs_shap
abandoned,0.0010168604438669216
alchemical creatures,0.0010571139506756805
alien,0.0005796716872634279
alien planet,0.0012206642256795588
android cyborg,0.0013495517818918267
anime,0.0036917986810370627
anime colors,0.002267085522941461
anime epic,0.0031341297365823396
armor daedric,0.0005060041642310966
art,0.010388311098204605
art artgerm,0.0022166191853280697
art hyperrealistic,0.0
art lifelike,0.0011671624517116184
art punk,0.0028615430754625254
art realistic,0.0019358128671369188
art sharp,0.004104852886663893
art smooth,0.00256939989187604
art style,0.0021625358074847415
art thorough,0.0023989930233079093
art trending,0.0017585551734100727
artistic,0.0012012192447718012
artistic painting,0.0017503787908572555
artstation,0.00494472165257916
artstation cinematic,0.005309754191002188
artstation concept,0.0
artstation galaxy,0.00014583074811863782
artstation hyperrealism,0.0037993291259665733
artwork,0.007152160629109431
atmospheric lighting,0.0021051550906366454
azores,0.0015635295671621774
barbarella,0.0014155319265488607
beautiful,0.0006866086655427601
beautiful landscape,0.003694541156759171
beksinski,0.003542288809160161
beneath cherry,0.001613502806066056
bernard simunovic,0.0034263741838243215
bjork,0.002978346309342041
black,0.0036582542637655594
blinders photography,0.0018300483818574425
body manga,0.0011718766021109838
body portrait,0.0011982618466671877
body shot,0.0009720806775608452
bonsai,0.0025042773707768047
bonsai tree,0.00013535527826924167
bull looking,0.0012952175164452466
bull modeled,0.0016179867613463116
butterfly volumetric,0.00119873883134774
camera,0.00130369964265331
candle butterfly,0.00032433378480932506
candle volumetric,0.0015317800107740181
canvas,0.010789209275761545
castle,0.0011972396760222255
cat,0.0029395913829211736
century,0.0005437361655221892
century modern,0.005963968273758621
character portrait,0.003214287294469897
cinematic,0.004848963173827616
cinematic composition,0.005813952955134154
cinematic deviantart,0.0011366366354905323
city,0.0021011411784614795
clouds,0.006262135414166034
clouds madeira,0.002609742031719701
collage canvas,0.001100617242213685
colors,0.0016866718511793085
colossal,0.0003607214024915139
colossal goddess,0.00016351173377708982
comprehensive art,0.006824820513798043
concept art,0.010878536293448055
contemporary art,0.0013345930058125306
cosmic,0.002430999408066953
creatures surreal,3.406546602136361e-05
cute fluffy,0.0008173449015028945
cyberpunk,0.0059938081915955795
cyborg,0.003924448912714364
cyborg body,0.0009073763861451434
cyborg bull,0.002036672486651777
daedric armor,0.0011422535354038887
dark,0.003924620153538834
dark uncanny,0.00024073920496027557
detailed painting,0.0031950698724708205
detailed portrait,0.004089506594456329
detailed ultra,0.0008488405198055839
detective pikachu,0.0015708920399183427
deviantart,0.0038339065836267886
deviantart cinematic,0.002888431429392074
deviantart hyperrealistic,0.0010820872126950762
deviantart realistic,0.007804557526868219
digital art,0.005725443471548154
digital painting,0.012247112379143292
digital render,0.00013797593008678144
divine,0.0005339801643635669
divine pink,8.144973132530336e-05
dog,0.0014351817625777267
donald,0.003419361240488848
dragon,0.002042540831061029
dramatic lighting,0.0024564847839745807
drawing,0.0011176698858550518
dunmer nerevarine,0.0012383166560691915
edwardian photograph,0.0012182864113396705
einstein,0.005770606895883559
elf,0.0032443773470036525
elson,0.0015853159496198091
emo,0.00033039831841887523
emo punk,0.0017019877293626708
engine,0.0023851640788806307
entries sony,0.0015815427943261073
fantasy art,0.0023324518941949205
fantasy painting,0.0021601858314943415
fantasy style,0.0006030116017136571
faroe azores,0.00228894158827734
fiction,0.0007263123841827353
fiction film,0.006244516053530056
fiery alchemical,0.0005174876555123048
fifth element,0.004180716303288165
film,0.015235091468895668
film neuromancer,0.0038718401082929663
flamingos,0.0001202045325776799
flowers,0.0011942496091346061
fluffy,0.001653331798221976
food photography,0.0028414222740606727
footage,0.0043025049315419854
forest,0.0017287007072293284
frazetta,0.0026174515565372107
frazetta giger,0.0015497433238796249
futuristic,0.0016821370924700318
garden,0.0013351226402007405
garden intricate,0.001730275972901897
giant digital,9.349138174731554e-05
glamorous sophisticated,0.0036686240075107556
goddess,0.007283360711203875
goddess creative,0.00022213211454095828
gordon,0.002354752052716203
goth,0.0015243530276199476
goth emo,0.003629860214731383
goths,0.0036027272452671707
goths loitering,0.002511232416476789
gundam,0.003998562486202402
gundam unreal,0.0004153196135527249
hd,0.001225005546032303
hd goth,0.0012788245466266465
hd painting,0.00014466701480077285
hd unreal,0.0014252690744116186
headshot edwardian,0.0005424134618592071
heavy detailed,0.0020973548172161308
high quality,643413599466.1992
himalayan,4.2851247431914564e-05
himalayan rocksalt,0.0006333259701706492
houses,0.00034890874885446204
houses built,4.961266864274177e-05
hyper detailed,0.0011532947854128533
illustration art,0.003424422664434613
imposing cyborg,0.0010002903412239968
intricate details,643413599466.2002
intricate hyper,0.0006105965867187355
intricate royo,0.0011295972287613926
intricate volumetric,0.0007031995400384037
jacket black,0.0011966803614227367
josan,0.0017415517686215568
josan gonzalez,0.005491836030721421
kylie,0.0013881059958719005
kylie minogue,0.001390195608721583
lamp,0.0007623321872849389
landscape,0.003913905795153821
landscape colourful,0.0009127733740852769
lantern candle,0.0005323554789737439
length portrait,0.0010228189922102786
lifelike photorealistic,0.004519953195193111
lighting,0.0035413231706184203
lightning intricate,0.0013129304273974151
log houses,0.0005697621623417004
looking camera,0.000821316520952693
low clouds,0.0011902085852783018
madeira faroe,0.0026285192901892656
male dunmer,0.0010370778893852642
manga,0.0047914214556001285
manga illustration,0.00156040378027857
marble hourglass,0.00016403238064516924
matte,0.009101940770313647
matte painting,0.003942900002690013
media collage,0.0011868361235191464
mid century,0.006120782432419476
mila kunis,0.002301954790952154
minogue,0.001242811184715111
minogue barbarella,0.0014476495536051622
mixed media,0.0011497035488839786
modern,0.0007691080601388813
modern art,0.0016408049446306272
movie,0.002195576985817108
movie poster,0.002657760713198749
natural scene,0.0026388312488228862
nerevarine,0.0025952394143567018
neuromancer,0.0010260083288216916
oblivion skyrim,0.00045246618247260886
octane render,0.0013575871240307008
oil painting,0.007829579634925825
overcast thunder,0.0034150791655305937
pablo picasso,0.000588858243473122
painted,0.0008708896670673623
painted pablo,7.307891585369505e-05
painting,59791176865.309555
painting aesthetic,0.0019197056159246714
painting artstation,0.0026700949061384716
painting beautiful,0.004765375813074163
painting character,0.001206627081483534
painting deviantart,0.0022347461321720334
painting lurid,5.662468734682607e-05
painting lush,0.005372045090003708
painting peter,0.0013143376293930208
painting ronny,0.00031597163167288865
painting sargent,0.011916154994533345
painting stalenhag,0.0010357610337218184
painting unreal,0.0009874178011917219
peter,0.002029562080887907
peter elson,0.010402504947424238
photo,0.0023432646620445007
photo realistic,0.0026064116887695985
photograph,0.004590966062333613
photograph divine,0.0013947335705560193
photography,0.004283075472753289
photography awards,0.0017125168167809895
photorealistic,0.010350015061174861
photorealistic digital,0.007403281842610609
phyics entries,0.001907346429553821
picasso,0.0028873255632656377
picasso hair,0.00019111045716866122
pikachu hannah,0.0032345177995749103
pink bonsai,0.0010318471338758223
pink flamingos,0.00015664077580852386
pixar,0.002020655512882837
pixie cut,0.0010653649187895692
portrait,0.027387516950744692
portrait extremely,0.0011659994938853489
portrait intricate,0.0034437345691617624
portrait male,0.0015956433841823323
portrait painted,0.0030933884820240364
portrait painting,0.008979214544168624
portrait photograph,0.0002953505666616853
portrait sabouts,0.002273050088341059
portrait scifi,0.00046828136525337016
punk art,0.0010578508651998503
punk portrait,0.0010179687648134172
puppy,0.0007403258954387944
puppy sitting,0.00025451673190492457
realistic cinematic,106657476409.9129
render hyperrealist,59791176865.2791
robot,0.0018782578146142926
rocksalt lamp,5.96106784131272e-05
room,0.0011203629167302394
rpg portrait,0.0016012646900026397
ruins,0.0017829808905243604
runway,0.002922661916354201
saitama,0.002959894326349206
saitama anime,0.00976863615520001
scariest looking,0.000286943787502829
scene,0.008803307584557475
scene science,0.000941977227885244
science,2.7818508194297513e-05
science fiction,0.0002856361314470174
screenshot,0.00039820675990329346
shade talking,0.0030161871953794275
sitting snowy,0.00012511371508701355
sky,0.004320858851221984
skyrim elegant,0.002404909034367944
snowy,0.0007194039509983071
sony,0.002417324641354648
sony world,0.0015165425764203744
space,0.002954195224303416
spaceship,0.00035126447089697886
starmaker,0.000387839382726433
starmaker matte,0.00037608811850314177
stars,0.0053358252652171865
statue,0.003928110176340058
steampunk,0.004488527435244489
steampunk himalayan,0.0023770885245447816
studio ghibli,0.0017317171898813865
style contemporary,0.002097048788717851
style portrait,0.006567475749505602
surreal,0.0017506507387987545
surreal concept,0.00216896470262255
surreal dark,5.384281719321686e-05
surrealism,0.0018933709064143565
surrealism surreal,0.007485976508803237
tracing artstation,0.0007064850610663195
traits painting,0.0027352256269429984
trending artstation,0.003192892647961897
ufo,0.0016228816469009968
ufo ignoring,0.0014520722098443578
ultra realistic,0.0027045901973823715
uncanny,0.0017119391935668275
uncanny painting,0.003950645354236378
unreal engine,0.007873232179561433
vallejo frazetta,0.0018132665774733719
vivec portrait,0.0015190772010661635
volumetric lighting,0.0003359555796374779
wallpaper,0.0038881931919811366
wallpaper illustration,0.001725593562343576
wizard,0.001640413986198642
woman,106657476409.91542
world photography,0.0028851665273867517
zdzislaw beksinski,0.001829274790795379
