keyphrase,mean_abs_shap
abandoned,0.00036956173030333877
alien,0.0010411973252517056
alien planet,0.0
android cyborg,0.0
anime,0.0033783649418070824
anime colors,0.000931658535403412
anime epic,6.318522418471444e-05
armor daedric,0.0010466568468763936
art,0.011064230280030942
art artgerm,0.0014306010582541037
art city,0.0006258694999191512
art hyperrealistic,0.0006023445121549923
art josan,8.034173791074623e-05
art lifelike,0.0009671350223380721
art punk,0.0009079547239112071
art realistic,0.0008495908954126472
art sharp,0.0006932993773162772
art smooth,0.0010111343473114083
art style,0.0018515831452235137
art thorough,0.0009953865615795782
art trending,0.0005484853868463567
artistic,0.0009366101991332475
artistic painting,0.0008474231767525753
artstation,0.0029814549035352264
artstation cinematic,0.006813953111234912
artstation galaxy,0.0006463363549237693
artstation hyperrealism,0.0010000680281838162
artwork,0.007422618530258522
atmospheric lighting,0.0007658882238205268
avant garde,9.378893215267877e-05
azores,5.13014893040768e-05
azores islands,8.242531016487133e-06
beautiful landscape,2.144073189820125e-05
beneath cherry,0.0001186543043724625
bjork,0.0013110072218457654
black,0.0016663797894744827
body manga,0.0008749312802276707
body portrait,0.0009182275458088332
body shot,2.124096746389498e-05
bonsai,0.003211815523571367
bonsai tree,0.0008535977294327319
bull looking,1.6664661708332207e-05
bull modeled,0.0
butterfly volumetric,0.0005890334798254921
camera,0.00018809143698313768
candle butterfly,0.000630577527849799
candle volumetric,4.872297578917417e-05
canvas,0.005222502737841659
castle,0.0017952707967245597
castle enclosed,0.0008019693696776665
cat,0.0013962959494146772
century,0.0009299290958491961
century modern,0.001266655890876905
character portrait,0.0018140376189218483
chris,0.000748906797934891
chris foss,0.0009007205217229598
churches domes,0.0007363030623537911
cinematic,0.0034140346844699783
cinematic composition,0.004449156511650912
cinematic deviantart,0.0008448481266203087
city,0.002061895374440105
cloud fashion,703165361118.6902
clouds,0.003939511406538117
clouds covered,8.076802532023516e-05
clouds girl,0.0007669594461999112
clouds madeira,3.7747651311517045e-05
collage canvas,0.0008045817207732082
