keyphrase,mean_abs_shap
abandoned,0.0008974836982212824
alien,0.0011272657971356525
alien planet,5.021531459152942e-05
android cyborg,9.920702021032602e-06
anime,0.0038164545149979618
anime colors,0.001035099120849857
anime epic,0.0010942013188823358
armor daedric,0.000852457418905268
art,0.006310527489695079
art artgerm,0.0019702836079652387
art city,0.0002359639036688377
art hyperrealistic,0.0009096857305219123
art josan,0.0008606358021127123
art lifelike,0.002065111035883913
art punk,0.0013232471835509085
art realistic,0.0003820755671118026
art sharp,0.0013366714660884833
art smooth,0.0012152898429236374
art style,0.0009716043296582385
art thorough,0.0011740299552453306
art trending,0.0021216811515097677
artistic,0.0001868581843304022
artistic painting,7.595729487582148e-05
artstation,0.00815311795294932
artstation cinematic,0.0018319581496125598
artstation galaxy,0.0009638713881164977
artstation hyperrealism,0.0023971491221255244
artwork,0.007234695879105926
atmospheric lighting,0.0011049033889947235
avant garde,0.000385612261005589
azores,0.0011530290143720256
azores islands,0.0012069637760862473
beautiful landscape,0.0004907087863579178
beneath cherry,0.0008684771792434651
bjork,0.001441181074953471
black,0.001312110322790596
body manga,0.00159170063759111
body portrait,0.002199723120324129
body shot,5.053969991423335e-05
bonsai,0.0009438223770200663
bonsai tree,2.279085585885417e-05
bull looking,1.9435153647250924e-05
bull modeled,0.0
butterfly volumetric,0.00032528363233109124
camera,0.0015286410216431806
candle butterfly,0.0
candle volumetric,0.00027300671027089273
canvas,0.005919956957054612
castle,0.001697784450572007
castle enclosed,6.971172123898771e-06
cat,0.00277248107322832
century,0.0008708770330981415
century modern,0.0021163272658433923
character portrait,0.0019185849551237042
chris,0.0001722629844470889
chris foss,0.000929919168570476
churches domes,2.5512130674520045e-05
cinematic,0.005415159771337325
cinematic composition,0.006441563474915981
cinematic deviantart,0.002047505723200479
city,0.0031446026331234385
cloud fashion,5.472799477741167e-05
clouds,0.003616448933566998
clouds covered,0.0010776655416804854
clouds girl,3.33228019763087e-05
clouds madeira,0.0023310563998127556
collage canvas,0.0013177151287123436
colors,0.0006222760954934989
colossal,0.001054083703025619
colossal goddess,0.000964810045095224
comprehensive art,0.002412178977413096
concept art,0.0046905591272386835
contemporary art,0.0013582034412368152
cute fluffy,0.0006372159804356018
cyberpunk,0.005427986716863483
cyborg,0.0015344981487646972
cyborg body,1.1377601484945363e-05
cyborg bull,0.0
daedric armor,0.0016961247253693525
dark,0.004532424746034584
dark uncanny,0.001993046945265713
detailed painting,0.0026350895100526743
detailed portrait,0.002570269322439772
detailed ultra,0.002487471719435762
details intricate,0.0003312170444713741
detective pikachu,0.0005657140277352407
deviantart,0.0030877717411376326
deviantart hyperrealistic,0.0008161208148214554
deviantart realistic,0.006961598812122762
digital art,0.004555268381670274
digital painting,0.005774049548265782
digital render,2.2468270050610755e-05
divine,0.00022598450523682464
divine pink,0.0009706361074740045
dog,0.0011059202351107987
donald,0.0016979311809816066
dragon,0.0008778358441127708
dramatic lighting,0.0011321739747259683
drawing,0.0010120340538254983
dunmer nerevarine,0.0008794743939510906
einstein,0.002484123577876963
elf,0.002730785568261186
elson,0.0008119873314113999
emo,0.0001403394863103774
emo punk,8.889529831696299e-05
engine,0.0006566559816548509
entries sony,0.0008332842450413569
fantasy art,0.0028996826908600404
fantasy painting,0.004183276886584911
fantasy style,0.0001900743647907589
faroe azores,0.0015484641962751394
fashion clouds,7.698534661570384e-05
fiction,6.644467855023784e-05
fiction film,0.0038767113358523617
fifth element,0.00041720232032364357
film,0.013498008062691434
film neuromancer,0.001886106945029539
flamingos,0.0009931751164174072
flowers,0.0011029441484613368
fluffy,0.0019517717307162552
footage,0.0011280227290042697
forest,0.0009682522806027877
frazetta,0.004311511868220175
frazetta fantasy,0.001100742230824442
frazetta giger,0.0005683938722616538
futuristic,0.0005012658483714155
garden,0.0004690700901950603
garden intricate,0.0010546329482152234
giant digital,0.0007987830902304403
girl clouds,1.3156860026483938e-06
glamorous sophisticated,0.002340835350718522
glimpse universe,0.0008126716337149419
goddess,0.002535805623028772
goddess creative,0.0
goddess wearing,0.00027473539147134147
gordon,0.0024212714578302798
goth,0.0009532690863879794
goth emo,8.057879073114281e-05
goths,1.6865874028529333e-05
goths loitering,0.000842570214447187
gundam,0.00227760722961716
gundam unreal,0.00015646355708594657
gustav klimt,0.0009744155178884868
hd,0.00031134224497824373
hd goth,0.0018701175474924964
hd painting,0.0006246236042259554
hd unreal,0.0005691318906471545
heavy detailed,0.0005434008885134692
high quality,0.0033735553417988317
hills slavic,9.572359471009951e-06
himalayan,5.7180700781477537e-05
himalayan rocksalt,5.491429110931212e-05
houses,0.0002739750737416684
houses built,0.0
hyper detailed,0.00045598594592030384
illustrated,0.0007146788797437956
illustration,0.0005455511159594629
illustration art,0.003184211239860576
imposing cyborg,6.431876523880477e-05
intricate details,27991436985.44499
intricate hyper,0.0001194261667625604
intricate royo,0.0005337618799185992
intricate volumetric,0.0003621702842448715
josan,0.001861365217341558
josan gonzalez,0.001854276487751851
knight,0.0018087548076117738
kylie,0.0009443411741272845
kylie minogue,0.0009481957890434327
lamp,3.3633607304589716e-05
landscape,0.003874982452817791
landscape colourful,0.000562135471754687
lantern candle,3.220413304859024e-05
length portrait,0.00042306350982026115
lifelike photorealistic,0.004293903479075778
lighting,0.001639739492624899
lighting hd,0.0013056648969297106
lightning intricate,0.0005674352019867519
log houses,0.0
looking camera,0.0
low clouds,0.0015864867070935966
madeira faroe,0.0014239486398894684
male dunmer,0.0012596540968688123
manga,0.005501777681580859
manga illustration,0.0010310249664652138
marble hourglass,7.009409170263536e-05
matte,0.0005932606673477992
matte painting,0.0061680139064877225
media collage,0.0008770759396980877
mid century,27991436985.442467
minogue,0.0008613960875927802
mixed media,0.000848511834165711
modern,0.0004042700053650252
modern art,0.0009944644876804269
movie,0.0009515979142220045
movie poster,0.0019209888817607397
natural scene,0.0032795294373292984
nerevarine,0.001881875322517138
neuromancer,0.0014860372339551378
oblivion skyrim,0.0008595619016864496
octane render,0.0006608655841854859
oil painting,0.005105913757039974
overcast thunder,0.0015910519605730118
pablo picasso,0.0006981251422880525
painted,0.0019019586546633624
painted pablo,0.0014450767493465282
painting,0.013182396741094093
painting aesthetic,0.001822305218253133
painting artstation,0.002372883657218372
painting beautiful,0.0019505832085060257
painting character,0.0007593881612273063
painting chris,0.0009256351813145821
painting deviantart,0.0032111238369739235
painting lurid,0.001157554039423454
painting lush,0.0003977326521761738
painting peter,0.0029666653661261826
painting ronny,0.0012349766957697598
painting sargent,0.008620085997541754
painting stalenhag,0.0013372975860272804
painting unreal,0.0010597737137385747
peter,0.002002681227847508
peter elson,0.004325046030480653
photo,0.001110065750174556
photo realistic,0.002080136371830631
photograph,0.003431719266318877
photograph divine,0.001135811574020254
photography,0.007936317321712788
photography awards,0.0009544697057262782
photorealistic,0.0035258108596880854
photorealistic digital,0.0026894155539957322
phyics entries,3.428318010029449e-05
picasso,0.00290122071139801
picasso hair,0.0007765733129248413
pikachu hannah,0.0006234715664576163
pink bonsai,0.0006370090240648815
pink flamingos,0.0010708759493303136
pixar,0.0010270585253559592
pixie cut,0.0011683628258827563
portrait,0.033926602647545254
portrait extremely,0.0010510930141960297
portrait intricate,0.001652242765980062
portrait male,0.002145157414911176
portrait painted,0.002624097266196691
portrait painting,0.0024246612237770414
portrait photograph,0.0010060575547028354
portrait sabouts,0.0020763635896129287
portrait scifi,0.0023491879809464803
punk art,0.001313617141648544
punk portrait,9.314449127546335e-05
puppy,0.0013285065473199126
render hyperrealist,0.000556646575450188
robot,0.0010972959231526243
rocksalt lamp,8.403915626942565e-06
rpg portrait,0.001089133763938151
runway,0.0005504398956662219
saitama,0.0016007728410210396
saitama anime,0.005255737562943262
scene,0.007404364519561877
scene science,0.001163193431822816
science,0.0
science fiction,0.001640216264945474
screenshot,0.00041037290993206437
shade talking,0.0011336605834279714
skyrim elegant,0.0012214487004828744
sony,0.0014166664386262404
sony world,0.0011303454766810974
space,0.0033001578851726797
starmaker,0.000798866418717828
starmaker matte,0.00039201787388905713
stars,0.0012832711176975586
statue,0.001105624218421518
steampunk,0.0031644578835580235
steampunk butterfly,1.1984311990142553e-05
steampunk himalayan,0.0005988578056386573
studio ghibli,0.0025309679495835397
style contemporary,0.0007926585688941953
style portrait,0.0038469727552202008
surreal,0.0010607711013165227
surreal concept,0.001036552646295602
surreal glimpse,0.0010332187068508468
surrealism,0.0024127953007367564
surrealism surreal,0.005222372764746107
tall castle,4.151798674236358e-06
tracing artstation,0.0008760454905522071
traits painting,0.0009551711083537229
trending artstation,0.002762369558181087
ufo,0.006094152164201942
ufo ignoring,0.0008944359970759018
ultra realistic,0.0016843172130085267
uncanny painting,0.002003860728044289
unreal engine,0.004704161307462938
vallejo frazetta,0.00016683043107169882
vivec portrait,0.0
volumetric lighting,0.0007411944887915598
wallpaper,0.0003246020266124327
wallpaper illustration,0.0015705617329411612
wearing cloud,3.13598347602097e-05
wizard,0.001043457035164991
woman,0.0001655315405863768
wooden churches,0.0
world photography,0.004472677057119062
