keyphrase,adjusted_mean_shap
oil painting,326011582122.47064
cinematic deviantart,326011582122.4671
tall castle,234388453706.2302
cloud fashion,234388453706.23007
intricate details,167851259112.91226
high quality,160853399866.55212
realistic cinematic,106657476409.9129
woman,26664369102.479225
painting,14947794216.357569
render hyperrealist,14947794216.320017
mid century,6997859246.362621
portrait,0.05865167887273272
film,0.023484811224829847
deviantart realistic,0.00845693769904795
painting sargent,0.0078825427411495
scene,0.007292719401260625
art,0.00712333881258725
saitama anime,0.006941350456771875
artwork,0.0065180572378855245
matte painting,0.006237908302617225
digital painting,0.006174637710479575
canvas,0.006170431755218025
deviantart,0.0058962581841746995
surrealism surreal,0.005189108841370299
photorealistic,0.00506782076480375
cinematic composition,0.005047300270420475
cyberpunk,0.004995797572282775
photography,0.004975853099624875
concept art,0.004954364424341801
steampunk,0.004488874825294625
sky,0.0043208588512219
peter elson,0.004309024754300825
unreal engine,0.004262116997292725
goddess,0.004122664249493325
artstation,0.00407906378367305
fiction film,0.003986817035879025
artstation cinematic,0.003926039771843
clouds,0.003863729394719525
dark,0.003770654047767725
cinematic,0.00367995991886605
lifelike photorealistic,0.0036742871351345
beksinski,0.0035422888091601
einstein,0.0034712475220992503
manga,0.00345052739095915
bernard simunovic,0.0034263741838243
digital art,0.0033806029890908096
portrait painting,0.00313072648711225
photograph,0.00309263455045955
detailed painting,0.0030219143732524755
deviantart cinematic,0.002888431429392
style portrait,0.002882154117976725
anime,0.0028649235930565753
food photography,0.0028414222740606
comprehensive art,0.0028413400592247552
photorealistic digital,0.00281429922204835
donald,0.0028106395053915747
matte,0.0027674306917680504
landscape,0.002758390724451075
space,0.002733500337998675
painting artstation,0.00247435441846645
cosmic,0.0024309994080669
natural scene,0.00240747701790115
century modern,0.00239443872852515
uncanny painting,0.0023873586928225754
ufo,0.0023861810492137
artstation hyperrealism,0.002368232095638725
gundam,0.002367581195376125
world photography,0.002356581462190512
elf,0.0023459648650857
trending artstation,0.00231182983100165
mila kunis,0.0023019547909521
footage,0.0022628924318975
picasso,0.0022605244458945746
painting deviantart,0.002259557805826875
skyrim elegant,0.0022536365153513
bonsai,0.002189413211949825
glamorous sophisticated,0.002149889875135475
stars,0.002115299460810925
portrait painted,0.00210255002819695
studio ghibli,0.00209460901527545
illustration art,0.0020892970115045
frazetta,0.002057167347480475
painting beautiful,0.0020466591498429
detailed portrait,0.002032663934947625
cat,0.001976825729131025
josan gonzalez,0.00194707972772075
lighting,0.0019250933165330998
fantasy art,0.001914029465500425
film neuromancer,0.001908911783232575
city,0.00188732198189975
gordon,0.0018703057104458502
shade talking,0.0018331108317415248
fantasy painting,0.001830508399889834
blinders photography,0.0018300483818574
zdzislaw beksinski,0.0018292747907953
character portrait,0.001808307773068325
ruins,0.0017829808905243
uncanny,0.0017119391935668
black,0.001705131669114625
art smooth,0.0016995910998766003
art artgerm,0.00167610667167265
cyborg,0.001670204431211925
surrealism,0.0016371037830904748
portrait male,0.001631483295120275
pixar,0.0016310328548272
overcast thunder,0.001610151860780775
bjork,0.00159627624848415
movie,0.0015832925482848251
statue,0.0015689691369656501
painting lush,0.0015590421357109434
photo realistic,0.00154815709035785
portrait intricate,0.001540626077618575
