keyphrase,mean_abs_shap
abandoned,0.0
alien,2.3585163973752987e-06
alien planet,4.575708193714397e-06
android cyborg,4.20221415135551e-06
anime,0.0010265618847347376
anime colors,0.0
anime epic,0.0003644314679179806
armor daedric,0.0
art,0.0003384898750363153
art artgerm,0.00037063772646244933
art city,0.0
art hyperrealistic,0.0003842242222469689
art josan,0.0
art lifelike,0.00038470407941278823
art punk,0.0003082902504443462
art realistic,0.00030888150520521615
art sharp,8.113960109415585e-06
art smooth,0.00035406880998097923
art style,1.4623823374004615e-05
art thorough,0.0003035200174689331
art trending,0.00036139861446837074
artistic,0.0003651203357420514
artistic painting,0.00043927300403963056
artstation,0.010916901669001002
artstation cinematic,0.00030871867382735793
artstation galaxy,0.0002882952105486534
artstation hyperrealism,0.006569819111448016
artwork,0.00026551941041417034
atmospheric lighting,3.6127588475253593e-06
avant garde,0.0
azores,7.677682965583589e-06
azores islands,6.519440498980001e-05
beautiful landscape,0.0
beneath cherry,0.0003131054444023823
bjork,0.0
black,0.002277505637257971
body manga,0.0003404394961897579
body portrait,4.0892342750170055e-06
body shot,0.0
bonsai,0.005926874044519131
bonsai tree,0.00028546212161171023
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.00036294007872998246
camera,0.0004027058156349677
candle butterfly,0.00035098265303057824
candle volumetric,0.0
canvas,0.0005485950767081638
castle,0.0
castle enclosed,0.0
cat,0.0008463030613840027
century,0.0
century modern,0.00042229914623331105
character portrait,0.00038592465272156056
chris,0.0
chris foss,7.0058695577869086e-06
churches domes,0.0
cinematic,0.00040263607602869397
cinematic composition,0.005680163292545053
cinematic deviantart,0.00331074754446023
city,0.0016427848680802923
cloud fashion,0.0
clouds,0.0019670804405170056
clouds covered,0.0
clouds girl,0.0003273925940331137
clouds madeira,0.0011137010120123
collage canvas,0.0002651774291877082
colors,0.00018946667776609572
colossal,0.0003514609521551374
colossal goddess,0.00027489579070928563
comprehensive art,0.01082613157355988
concept art,0.006810195831329259
contemporary art,0.00028614104977588264
cute fluffy,0.00039475719481531305
cyberpunk,0.008329248662884701
cyborg,4.945460749359381e-06
cyborg body,2.6183663830510726e-06
cyborg bull,0.0
daedric armor,8.97513164738048e-06
dark,0.001606852133973994
dark uncanny,4.305909244761492e-06
detailed painting,0.0025900543904368188
detailed portrait,0.00038366705059072326
detailed ultra,0.0007705033439912504
details intricate,0.00032335768946012373
detective pikachu,0.00023273459565332336
deviantart,0.01537638265360969
deviantart hyperrealistic,0.0003505713279531205
deviantart realistic,0.004846794653026256
digital art,0.00031709452758005286
digital painting,0.000644483722862318
digital render,7.125762404425695e-06
divine,0.0002735122038993792
divine pink,3.7104354316356427e-06
dog,0.0
donald,0.000499894497715296
dragon,0.00039255125375375715
dramatic lighting,2.4322189135595255e-06
drawing,2.6079041265739976e-05
dunmer nerevarine,0.0
einstein,0.0
elf,0.00019327661297292934
elson,0.00037819779679398836
emo,0.0
emo punk,0.00035166781283570115
engine,0.0
entries sony,0.0003622319144352587
fantasy art,0.0003393102369641313
fantasy painting,0.0014304192513107483
fantasy style,0.00036797294870895454
faroe azores,6.360808148675672e-05
fashion clouds,0.00029640734298831244
fiction,0.00020763948672805477
fiction film,0.0058409697791779
