keyphrase,mean_abs_shap
abandoned,0.005354156359307692
alchemical creatures,0.0007361490392120395
alien,0.0036851405474144336
alien planet,0.00016580990410428268
android cyborg,0.000731622533247631
anime,0.004735334674950169
anime colors,0.0004017947542482947
anime epic,0.0045317293219699715
armor daedric,0.0026055789612243405
art,0.013489646846325445
art artgerm,0.002749623412286496
art hyperrealistic,0.001317726192638619
art lifelike,0.0038701489642078654
art punk,0.001493665833624607
art realistic,0.0032598522146217827
art sharp,0.001162069308892366
art smooth,0.003235694175481587
art style,0.0022275202423476456
art thorough,0.0036386884373029844
art trending,0.002032407121596692
artistic,0.00048696239873556547
artistic painting,0.002652078884146773
artstation,0.010641676895816991
artstation cinematic,0.003761029864219054
artstation concept,0.001791610455770583
artstation galaxy,0.0008037676304046447
artstation hyperrealism,0.004779860950329109
artwork,0.0027327008092926756
atmospheric lighting,0.0008906718445776488
azores,0.0009645467312223272
barbarella,0.00016642201025203975
beautiful,0.0014372098435368726
beautiful landscape,0.002987913527548816
beksinski,0.0008873872147221985
beneath cherry,0.004807452675290948
bernard simunovic,0.002737694428733477
bjork,0.0025564844577222958
black,0.007934923030047494
blinders photography,0.0020176495224484563
body manga,0.00014091310964411646
body portrait,0.0022886484344964023
body shot,9.380187872669478e-05
bonsai,0.005370927730994842
bonsai tree,0.0015045026684480105
bull looking,0.0002199588281627785
bull modeled,0.0003545401936339499
butterfly volumetric,0.0028355310703913083
camera,0.0017401086163375825
candle butterfly,0.001550280756738704
candle volumetric,0.0002180795368112817
canvas,0.0077701949137244245
castle,0.0024486274490620624
cat,0.002022347738945341
century,0.002227849692365129
century modern,0.0018002339198791649
character portrait,0.002116104430305594
cinematic,0.007134197034975309
cinematic composition,0.006154683715207393
cinematic deviantart,0.0014387820166450356
city,0.01538054326258145
clouds,0.007529438491025241
clouds madeira,0.00393632483297302
collage canvas,0.00149846480795709
colors,0.0005203389441581066
colossal,9.057066600734518e-05
colossal goddess,0.0035097066736291013
comprehensive art,0.008592093744572656
concept art,0.013950953639165374
contemporary art,0.001330442498732726
cosmic,0.0010387680102585137
creatures surreal,3.638765536691074e-05
cute fluffy,0.00016118785524240622
cyberpunk,0.007863289389692866
cyborg,0.003440852681419027
cyborg body,0.0003225585503963441
cyborg bull,0.0007488918781389253
daedric armor,0.002140736477752521
dark,0.006572503821689866
dark uncanny,0.0031675764666004276
detailed painting,0.006565765076706853
detailed portrait,0.0036343290279508577
detailed ultra,0.0029409570346909278
detective pikachu,0.00048196585760240933
deviantart,0.007979419711936355
deviantart cinematic,0.0038306652770558917
deviantart hyperrealistic,0.00045171093514978044
deviantart realistic,0.006779327283984428
