keyphrase,mean_abs_shap
abandoned,0.0032301664199797307
alien,0.0016734433671239835
alien planet,2.6654213023721803e-05
android cyborg,1.6174226088737024e-05
anime,0.0022136589741970363
anime colors,0.0006440766616418524
anime epic,3.984381868564504e-05
armor daedric,0.0005536365879871381
art,0.01021351373928928
art artgerm,0.0010544595932210782
art city,0.000887117946110265
art hyperrealistic,0.0007868003325286605
art josan,0.000120008745435369
art lifelike,0.0007739082164038774
art punk,0.000666960149488356
art realistic,0.000563542930776687
art sharp,0.0006844810337723092
art smooth,0.0016053529007879058
art style,0.0010640432611452293
art thorough,0.000425994445129284
art trending,0.0010478398160409538
artistic,4.568162792512583e-05
artistic painting,0.00023713554335819375
artstation,0.014907749895501457
artstation cinematic,0.0010455034842437492
artstation galaxy,0.0014869947128054546
artstation hyperrealism,0.01997092759232436
artwork,0.0011335500273998225
atmospheric lighting,2.048467371174627e-05
avant garde,0.0010172352919480708
azores,9.382094704652965e-05
azores islands,2.108069006089917e-05
beautiful landscape,1.8068864782592385e-05
beneath cherry,0.00022939131141461153
bjork,0.0005552802632119104
black,0.004507282780510221
body manga,0.0008398166538059853
body portrait,0.0006857065160019378
body shot,1.1011632315451496e-05
bonsai,0.008151252301339711
bonsai tree,4.8895349630775556e-05
bull looking,1.3506134100729679e-05
bull modeled,8.738404992776804e-05
butterfly volumetric,0.0004121016447178922
camera,0.0004793026907981199
candle butterfly,0.00015891889184548944
candle volumetric,0.0007728459767180885
canvas,0.0027809011644734224
castle,0.001657905955883666
castle enclosed,0.0007804127803473022
cat,0.0019816106487554087
century,5.451536348011085e-05
century modern,5.1233102993971264e-05
character portrait,0.0012858406129044027
chris,0.0014807374339073122
chris foss,0.001248991170272962
churches domes,0.0008723200863902911
cinematic,0.0034620266311639046
cinematic composition,0.006263046898130836
cinematic deviantart,0.0036977602880946497
city,0.004060115790454297
cloud fashion,6.3027661358482185e-06
clouds,0.003865884983540912
clouds covered,0.00010928678520794402
clouds girl,1.7006814464880924e-05
clouds madeira,0.0010450154273166804
collage canvas,0.0007748838716694293
colors,0.001120854783037282
colossal,0.0006979257432607572
colossal goddess,0.0007439137341237221
comprehensive art,0.009405107346397101
concept art,0.01103687063026168
contemporary art,0.0006474309448320844
cute fluffy,0.001326401194324026
cyberpunk,0.019869593567103105
cyborg,0.0012522581187329785
cyborg body,7.985448838519092e-06
cyborg bull,1.751475638099876e-05
daedric armor,0.0006770275018332328
dark,0.002995312739006422
dark uncanny,0.000295570873314708
detailed painting,0.004443899482436946
detailed portrait,0.0012108050471947881
detailed ultra,0.0027958246362110996
details intricate,0.0005733049033566814
detective pikachu,0.001460758316720888
deviantart,0.01612982119303002
deviantart hyperrealistic,0.0003434048015283171
deviantart realistic,0.004273475663957974
digital art,0.0036624853725013393
digital painting,0.0027327789411448447
digital render,0.00012141385572649303
divine,0.0002988645475865444
divine pink,0.0
dog,0.0014493579685866944
donald,0.002027679331498956
dragon,0.0011360704649108504
dramatic lighting,0.0008920030170717999
drawing,5.3823260289646644e-05
dunmer nerevarine,0.0008007791616855426
einstein,0.0011861118723598305
elf,0.0031063513981380896
elson,0.0010037015995331513
emo,0.0008917893441220537
emo punk,0.0007459236815773811
engine,0.00031925545869326323
entries sony,0.0008995567081668182
fantasy art,0.001755100626141488
fantasy painting,0.005598794662780299
fantasy style,0.0007387725154245694
faroe azores,0.0005896387840398299
fashion clouds,0.00036496860792306255
fiction,0.00019353851846066415
fiction film,0.0039802850514616414
fifth element,0.0008900093457544322
film,0.019357384078744436
film neuromancer,0.0009136314238595666
flamingos,0.0
flowers,0.005168916859611285
fluffy,0.001444800284974879
footage,0.004059640121794852
forest,0.0027659717147329554
frazetta,0.004633139048276011
