keyphrase,mean_abs_shap
abandoned,0.005843451143200884
alien,0.0014933918189559293
alien planet,5.2062379461907064e-05
android cyborg,7.196892812652975e-05
anime,0.002612253734440335
anime colors,0.00108160073141247
anime epic,0.0011204289493527615
armor daedric,0.0011573235991853225
art,6594779745.225692
art artgerm,0.0014295397571263573
art city,0.00015224104356653076
art hyperrealistic,0.0009983378602651924
art josan,1.2695819990269986e-05
art lifelike,0.001750581699254975
art punk,0.0007381805956781298
art realistic,0.0020059702946391184
art sharp,0.001335210745894078
art smooth,0.0012932637818826144
art style,0.0016056865043034007
art thorough,0.0012697421201590421
art trending,0.0025365411335040284
artistic,0.0011846548738669868
artistic painting,0.0017364990560575816
artstation,0.012841451446087726
artstation cinematic,0.0010055471265278638
artstation galaxy,0.0021064236599447395
artstation hyperrealism,0.0030154616158618954
artwork,0.001324253808704541
atmospheric lighting,0.001185156464109998
avant garde,6.824019595939438e-05
azores,0.00022039196689424515
azores islands,2.9077228480280705e-05
beautiful landscape,7.332734616721707e-05
beneath cherry,0.0009041528086757622
bjork,0.00043770536799919333
black,0.003263489213404422
body manga,0.00010565369359304706
body portrait,0.0010113613979327498
body shot,9.332969812456276e-05
bonsai,0.003133815966133819
bonsai tree,0.0004959500417296346
bull looking,6.811542905636744e-05
bull modeled,7.157185176862423e-05
butterfly volumetric,0.00022305665366977346
camera,0.0018065587531600762
candle butterfly,0.00016998188117936234
candle volumetric,4.641354021901841e-05
canvas,0.0010730371582301872
castle,0.0016323174268625814
castle enclosed,1.1433207666144879e-05
cat,0.002881528395386674
century,0.0005748135108997113
century modern,0.000691590930733019
character portrait,0.0009239390342341843
chris,0.0005084170019742087
chris foss,0.001701487115759827
churches domes,0.0
cinematic,0.0019006709756186578
cinematic composition,0.008466412109431868
cinematic deviantart,0.0025751698386779955
city,0.004819588197122028
cloud fashion,0.00020277644504284887
clouds,0.0014962442301599411
clouds covered,0.00013505871762444586
clouds girl,0.0
clouds madeira,0.0018563063555583337
collage canvas,0.0009224295883976682
colors,0.0026539992079127024
colossal,0.00027165074500751045
colossal goddess,0.00031613906219205213
comprehensive art,0.007933101949842342
concept art,0.018779798522610233
contemporary art,0.0007295977664968812
cute fluffy,0.0006373700526326054
cyberpunk,0.006924929156830787
cyborg,0.0016859925992056641
cyborg body,3.117217985750706e-05
cyborg bull,1.5228781965635956e-05
daedric armor,0.0014835241445993448
dark,0.003141002786100403
dark uncanny,0.001177830830043486
detailed painting,0.003020870591419003
detailed portrait,0.0010222438694195992
detailed ultra,0.002929271205952319
details intricate,0.0003265089778450712
detective pikachu,0.0013738895675339932
deviantart,0.00487834785750003
deviantart hyperrealistic,0.0005325992656663015
deviantart realistic,0.006163603237647214
digital art,0.002700231414461398
digital painting,0.0045929758584250385
digital render,9.182135641337502e-05
divine,0.0004563802537655864
divine pink,0.00017668465667919665
dog,0.0016167482518697877
donald,0.0010530777319653264
dragon,0.0024786414879381454
dramatic lighting,0.0008583394376706098
drawing,0.0016980784754714701
dunmer nerevarine,0.0011459190177182457
einstein,0.0008814874421240466
elf,0.0007987018034307625
elson,0.0026171502822144193
emo,0.0006543472550845858
emo punk,0.001078140797825461
engine,0.0023441252551785565
entries sony,0.0014553448384252393
fantasy art,0.0019771195712848543
fantasy painting,0.003469890482001598
fantasy style,6.150962234661316e-05
faroe azores,0.000430322566274301
fashion clouds,0.0005119431580660335
fiction,6594779745.2157955
fiction film,0.006749787921505683
fifth element,0.00019560222791388968
film,0.010805398865063171
film neuromancer,0.003156614910853848
flamingos,4.600635253010372e-05
flowers,0.002485908315831585
fluffy,0.0005097682089614139
footage,0.0016940694990503532
forest,0.0012855540797244486
frazetta,0.004024438975627572
frazetta fantasy,0.0006017930267949964
frazetta giger,0.0018003910092802592
futuristic,0.000336173422552228
garden,0.002038865483884982
garden intricate,0.0025403821969071107
giant digital,0.0006144577841583741
girl clouds,0.0
glamorous sophisticated,0.0008845441466216044
glimpse universe,0.0011974727621870268
goddess,0.0014735310745406277
goddess creative,0.0
goddess wearing,0.0004498176328986942
gordon,0.004050193261823321
goth,0.0007005300375486435
goth emo,0.0008412598392190465
goths,0.001752986494030877
goths loitering,0.0011637856445737458
gundam,0.003417268606495442
gundam unreal,0.0013469909359875502
gustav klimt,0.0006184936328856279
hd,0.0003784473505119793
hd goth,0.0017817243998164212
hd painting,0.0010009426688031265
hd unreal,0.001181857483019608
