keyphrase,adjusted_mean_shap
manga,180296265239.89413
peter,180296265239.88898
portrait painted,105009777939.97836
goth,105009777939.97806
art,1648694936.3124332
fiction,1648694936.3041737
film,0.016498469116228424
painting,0.0134214013296465
concept art,0.012644454655841575
artstation,0.01232694497660175
surreal concept,0.012320474726194575
deviantart,0.011090992854018976
cyberpunk,0.010746765194127823
comprehensive art,0.00918910865359295
artstation hyperrealism,0.0085840173174908
portrait,0.008405404088583
ufo,0.008239884280409875
unreal engine,0.0075034575207307
photograph,0.0072483140636083
painting sargent,0.006974981296205325
cinematic composition,0.006641076503828725
city,0.00647575802955945
fiction film,0.006366304452424775
photorealistic,0.005973732588029674
bonsai,0.00564571751074685
deviantart realistic,0.005515800209653925
photography,0.005377312202731325
intricate details,0.00509517358224255
matte painting,0.00496998494530915
surrealism,0.00456247687074085
painting deviantart,0.004527714169545625
black,0.004495800165304975
detailed painting,0.004155147385249875
digital painting,0.0041170712127667
mid century,0.003888587012402825
deviantart cinematic,0.0038306652770558
photograph divine,0.0038258029480794
flowers,0.0037658507725710504
clouds,0.00371466203631075
abandoned,0.003606943480622025
dark,0.003578917870192625
mila kunis,0.0035189878054709
fantasy painting,0.0035049506494173504
frazetta,0.0034030661167801504
gundam,0.00332819908780955
food photography,0.0032843291719222
painting artstation,0.0032490903607593252
cinematic,0.0032248826794465998
digital art,0.00317500269227275
length portrait,0.003138300483971575
space,0.0030572678561725
canvas,0.0030431820782839997
gordon,0.00303971483142225
illustration art,0.003008539454621475
goddess,0.002992171150923625
high quality,0.0029797828798390747
oil painting,0.00294472036035285
matte,0.0028603400010167998
shade talking,0.0028306189617872003
footage,0.002802425534864525
cinematic deviantart,0.0027556149219694253
bernard simunovic,0.0027376944287334
photo realistic,0.002717758031418725
trending artstation,0.002675378733932625
forest,0.0026596662947549
scene,0.0026570145997957
anime,0.002646952317080525
josan gonzalez,0.0025529416863795747
woman,0.0024683923779887
elf,0.002362444203730925
detailed ultra,0.00235913905521135
zdzislaw beksinski,0.0022641103421317
uncanny painting,0.002262453608382325
surreal,0.002257292110226225
film neuromancer,0.002252896557629825
donald,0.0022367044689264
fantasy art,0.00218805291437405
landscape,0.0021835942633035
goths,0.0021653504038203998
frazetta giger,0.002089368896219379
blinders photography,0.0020176495224484
clouds madeira,0.00198783690696505
steampunk,0.00197871335734125
jacket black,0.0019623732208605
hyper detailed,0.0019525100809208407
scariest looking,0.0019383621134775
cat,0.0019329474611178249
picasso,0.001918489469999225
world photography,0.0019021366547964502
