keyphrase,mean_abs_shap
abandoned,0.00018226528879455314
alien,0.00022675888431451845
alien planet,2.864815524411989e-06
android cyborg,3.024881004580195e-06
anime,0.0009923108645728056
anime colors,1.1009628287358113e-05
anime epic,0.00021612661300679582
armor daedric,0.0
art,0.0005694363132576187
art artgerm,0.00026082443564808043
art city,3.203121497453378e-05
art hyperrealistic,0.00024477853062196994
art josan,4.775042388639616e-06
art lifelike,0.0009883142739233598
art punk,0.0003771966114599237
art realistic,0.00018637820806852883
art sharp,0.00032957160351627614
art smooth,0.0002245371306579482
art style,0.00042205338201379823
art thorough,0.00045746231314439475
art trending,2.2545049537975987e-06
artistic,0.0
artistic painting,0.0
artstation,0.001464645779079889
artstation cinematic,0.00020787583217920605
artstation galaxy,0.0002731982609118426
artstation hyperrealism,0.004933689263782965
artwork,0.001054856084586984
atmospheric lighting,0.0
avant garde,0.00018129656440208364
azores,2.0497775699815684e-05
azores islands,0.0
beautiful landscape,0.00033360741490154236
beneath cherry,0.0002796532608057137
bjork,1.11269913363053e-06
black,0.001911942018219047
body manga,0.0
body portrait,8.337103507573304e-07
body shot,0.0
bonsai,0.006033169212521702
bonsai tree,0.0
bull looking,0.0
bull modeled,3.5467400674842623e-06
butterfly volumetric,0.0
camera,0.0
candle butterfly,0.0
candle volumetric,1.4430518943948198e-06
canvas,0.00024597062993641903
castle,0.001662507301992452
castle enclosed,0.0001782648805256143
cat,0.0
century,3.663708658144515e-05
century modern,0.00023781014305176125
character portrait,3.909064445896757e-06
chris,0.0004469925070446715
chris foss,0.0003059617070406753
churches domes,0.00024215538837189638
cinematic,0.002687811328487849
cinematic composition,0.0002676260700609438
cinematic deviantart,0.0004966703108767612
city,0.0
cloud fashion,5.592959009309616e-08
clouds,0.0012800064439074342
clouds covered,0.00023908476226255486
clouds girl,3.4366218391440167e-06
clouds madeira,0.0013540317294996015
collage canvas,0.0007700179526839108
colors,8.098625647779633e-06
colossal,0.0002444541819739395
colossal goddess,0.00022574192519654726
comprehensive art,0.0002293552758013244
concept art,0.007681393618379349
contemporary art,0.0002111758360256044
cute fluffy,2.5027941761836004e-06
cyberpunk,0.0021442272839081113
cyborg,0.0
cyborg body,3.8846866034618786e-07
cyborg bull,0.0
daedric armor,2.64848462764459e-06
dark,0.0023887880269530047
dark uncanny,0.0
detailed painting,0.0006062251912084121
detailed portrait,0.000232970784625824
detailed ultra,0.0
details intricate,0.0003227186084964313
detective pikachu,0.0
deviantart,0.019200002360541316
deviantart hyperrealistic,0.00017911989031067112
deviantart realistic,0.005110781408593815
digital art,0.00020814562754626313
digital painting,0.0005713268892131165
digital render,0.0
divine,0.0005082278541230139
divine pink,0.0
dog,1.8024042064573937e-05
donald,0.00021734857705266612
dragon,0.0006675065623602801
dramatic lighting,1.3734592138752682e-06
drawing,0.00023128034616482176
dunmer nerevarine,1.7552128352810561e-06
einstein,0.001769112021804369
elf,0.0004899437893756645
elson,7.101303983622184e-05
emo,0.0
emo punk,0.0002234753482579505
engine,0.00021377811813715931
entries sony,0.0002303943023164436
fantasy art,0.0002237353732940383
fantasy painting,0.0015051959901772418
fantasy style,0.0004195814839516138
faroe azores,0.0004669574995088313
fashion clouds,0.0002366749741167827
fiction,0.0
fiction film,0.0
fifth element,0.00023831118987269727
film,0.018750902231092225
film neuromancer,0.0
flamingos,5.18892293038172e-07
flowers,2.8156469148416343e-06
fluffy,2.6252243859667942e-06
footage,0.0
forest,0.0
frazetta,0.00017285876636176018
frazetta fantasy,3.2439641547396097e-06
frazetta giger,0.0
futuristic,0.0
garden,0.0
garden intricate,0.00017076173194340447
giant digital,0.00020794337697220655
girl clouds,0.0
glamorous sophisticated,1.1165055935758694e-06
glimpse universe,3.598055183202608e-06
goddess,0.00027049932462903844
goddess creative,0.00013795216238826003
goddess wearing,0.00022853635299518172
gordon,0.00018552735591433595
goth,0.00019544955432402645
goth emo,0.00020685135633362087
goths,0.00026910966762519933
goths loitering,0.0002583263130434437
gundam,0.002845115772130379
gundam unreal,0.000258884411222578
gustav klimt,0.0005765411836257975
hd,3.920954965308997e-05
hd goth,0.0011092180907565738
hd painting,0.00022637486625274507
hd unreal,2.928117447511006e-06
heavy detailed,0.0001775509733184519
high quality,0.00017149197738560888
hills slavic,0.0002449897907966035
himalayan,1.8660593359091592e-06
himalayan rocksalt,1.5638612021018026e-06
houses,0.00019678031361607397
houses built,0.00018038687837208358
hyper detailed,3.4569556800362922e-06
illustrated,0.0
illustration,2.022229658135647e-06
illustration art,0.00020887082696027936
imposing cyborg,0.0
intricate details,0.00023371831494271744
intricate hyper,6.032123783276177e-06
intricate royo,0.0003234528750296259
intricate volumetric,9.05889323407438e-06
josan,0.0007176910985762815
josan gonzalez,0.002380891795513437
knight,0.0
kylie,0.0
kylie minogue,0.0
lamp,0.0
landscape,0.0020508785765667188
landscape colourful,8.780924611786053e-06
lantern candle,0.0
length portrait,0.00017667401624838475
lifelike photorealistic,0.00023471286505318377
lighting,0.0005169580164767425
lighting hd,0.0001120074953110148
lightning intricate,2.1256904782555357e-06
log houses,0.0002526178383044495
looking camera,0.0
low clouds,0.0
madeira faroe,0.0
male dunmer,0.0
manga,0.0025387883128668728
manga illustration,0.0
marble hourglass,0.0
matte,0.00021924799468055173
matte painting,0.01450382737936929
media collage,0.00019432703590817495
mid century,0.002892260508215555
minogue,0.0
mixed media,0.0002064586542025197
modern,0.0002362166641935659
modern art,0.0002587672135573591
movie,0.00014633473688250873
movie poster,0.0
natural scene,0.00024201964275006097
nerevarine,3.6070980947189995e-06
neuromancer,3.6323012448187185e-06
oblivion skyrim,0.0
octane render,0.0006294962209097244
oil painting,0.0029810207730270022
overcast thunder,0.0
pablo picasso,0.00026834188390215065
painted,0.0
painted pablo,0.0002179640245946424
painting,0.0010001487877565347
painting aesthetic,0.00025540766631077525
painting artstation,0.0038296151706655886
painting beautiful,0.0002473910571647441
painting character,0.00018372536246306003
painting chris,0.0001960509422633831
painting deviantart,0.0015753763813473572
painting lurid,0.00013420417406045997
painting lush,1.5503787731456727e-06
painting peter,3.846358746483822e-06
painting ronny,2.6753509620251006e-06
painting sargent,0.010462875877510755
painting stalenhag,0.0002316722449944674
painting unreal,0.00022394339806141003
peter,0.00028150275743924933
peter elson,0.0015037204386471634
photo,0.0002431434132155445
photo realistic,0.0003441174443823003
photograph,0.006954986201558833
photograph divine,3.173887086846816e-05
photography,0.002966935181777672
photography awards,2.9908570094017946e-06
photorealistic,0.0006591492859231126
photorealistic digital,0.00023280368893695768
phyics entries,0.0
picasso,0.00023668334808837633
picasso hair,0.0002001092368425634
pikachu hannah,0.0
pink bonsai,6.293366475746129e-05
pink flamingos,0.0
pixar,0.0001874020498107332
pixie cut,4.946182084685508e-07
portrait,0.00029786907709737387
portrait extremely,0.00018580760465384646
portrait intricate,0.0
portrait male,0.0
portrait painted,0.00020864492345953133
portrait painting,0.0005297927487790591
portrait photograph,4.726519053269454e-06
portrait sabouts,0.0002543538370520323
portrait scifi,0.0002693190288287879
punk art,0.000341350731501752
punk portrait,0.0002131205832541932
puppy,0.0
render hyperrealist,2.2130883687286514e-06
robot,0.0009472031542994865
rocksalt lamp,0.0
rpg portrait,0.00019377242411512774
runway,0.00021905483175093965
saitama,0.0002624108434402101
saitama anime,0.0040883740045019185
scene,0.0035940827172572295
scene science,1.5754941110101736e-06
science,0.0
science fiction,0.00013455124057839375
screenshot,0.0
shade talking,0.0007931619468717918
skyrim elegant,2.2301517758446663e-06
sony,0.0002909910511419074
sony world,0.00022992055987515217
space,0.004405327767531526
starmaker,5.344305216522697e-06
starmaker matte,0.0023681870200866068
stars,1.4297407380511794e-06
statue,0.0002582384225871165
steampunk,8.374033580413924e-05
steampunk butterfly,0.0
steampunk himalayan,1.1807572948353841e-07
studio ghibli,5.463148743950941e-05
style contemporary,0.0002471366962824984
style portrait,0.0002560613703487963
surreal,0.0002481927598895333
surreal concept,0.0002629162164277286
surreal glimpse,0.0
surrealism,0.008468531346345134
surrealism surreal,0.0002063250542547032
tall castle,0.00025840308617843606
tracing artstation,0.0
traits painting,0.0002057991050445298
trending artstation,9.591773499999921e-05
ufo,0.010401393642687013
ufo ignoring,0.00021422138921437596
ultra realistic,0.0002165460141455691
uncanny painting,0.0
unreal engine,0.0002714545058658884
vallejo frazetta,0.0004404839936819655
vivec portrait,0.0
volumetric lighting,0.0
wallpaper,0.00022111527313791935
wallpaper illustration,2.2798007071556967e-05
wearing cloud,0.0
wizard,0.00022981281135441627
woman,0.0
wooden churches,0.00021190777537738616
world photography,0.0002363368043840243
