keyphrase,mean_abs_shap
abandoned,0.0006153165738225772
alchemical creatures,0.0017404025886194334
alien,0.002617968747702844
alien planet,0.0004366346396125511
android cyborg,0.0005227712347507997
anime,0.0026299626905984075
anime colors,0.0003629141714755412
anime epic,0.004276817797305249
armor daedric,0.002739199653084483
art,0.010589048382066093
art artgerm,0.0018804344319349987
art hyperrealistic,0.0005834491086207965
art lifelike,0.003305993516369558
art punk,8.528179801167193e-05
art realistic,0.0006869311119765274
art sharp,0.0071147535305838465
art smooth,0.0011876950278305709
art style,0.0028070449177117866
art thorough,0.005617066910577621
art trending,0.0024575827003749957
artistic,0.001404099182504876
artistic painting,0.0023057369062907127
artstation,0.007768776902640925
artstation cinematic,0.000341267724015912
artstation concept,0.00012920830438522982
artstation galaxy,0.0003688700756626452
artstation hyperrealism,0.00788209976886752
artwork,0.00550616501789534
atmospheric lighting,0.004226303170575649
azores,0.003014398240560603
barbarella,0.00016451280996070057
beautiful,0.0002338461531785634
beautiful landscape,0.0002244629368514924
beksinski,0.00040797907714960684
beneath cherry,0.003915205220607534
bernard simunovic,0.0026538367334896637
bjork,0.001863728236691321
black,0.005965812666525718
blinders photography,0.0012644958954224894
body manga,0.004936473833528826
body portrait,0.001552290138570216
body shot,2.9303469743455282e-05
bonsai,0.0034355523576409626
bonsai tree,0.0014048489635026834
bull looking,9.045106970309215e-06
bull modeled,0.0007967631993561273
butterfly volumetric,0.0032232687262354278
camera,0.00022574755490007627
candle butterfly,0.0
candle volumetric,0.0007605717027943423
canvas,0.0017390891327343483
castle,0.0059949036829377135
cat,0.0011370181033389054
century,0.0022610619373915537
century modern,0.0060923147014464215
character portrait,0.004399805516479906
cinematic,0.004895405521526613
cinematic composition,0.0036913213589661823
cinematic deviantart,0.0024750925472303426
city,0.002951766973370913
clouds,0.003803413127007344
clouds madeira,0.0036094068864347783
collage canvas,0.00020220150027957682
colors,0.0018939054166769568
colossal,0.0014777956181806827
colossal goddess,0.0016677826307390105
comprehensive art,0.0033454873059565065
concept art,0.00804333893661435
contemporary art,0.0
cosmic,0.0006111077163566299
creatures surreal,0.0014492596749789719
cute fluffy,0.0026488596865912027
cyberpunk,0.006269017619449603
cyborg,0.002052506425076783
cyborg body,0.00014678733650136524
cyborg bull,0.0008138931338504051
daedric armor,0.0015879347118928546
dark,0.0037753272993856146
dark uncanny,0.002238617384444341
detailed painting,0.0031142963373639787
detailed portrait,0.0036311484684254354
detailed ultra,0.00564548787954147
detective pikachu,0.0014918424193833013
deviantart,0.016283613348506164
deviantart cinematic,0.0033100036833562875
deviantart hyperrealistic,0.00047569158761853633
deviantart realistic,1688469849865.5818
digital art,0.004140712724869796
digital painting,0.010993142596124293
digital render,0.0002731559522279654
divine,0.0017093651759316675
divine pink,5.397555886995242e-05
dog,0.0005667309431745313
donald,0.0024183867531120313
dragon,0.002382019121856096
dramatic lighting,0.0034372224504085253
drawing,0.0012679037973718941
dunmer nerevarine,0.0018379075587999787
edwardian photograph,0.002075804074111135
einstein,0.004060648852299564
elf,0.001020166648150332
elson,0.0035095755943769383
emo,0.003611851186152747
emo punk,0.0020026055107844115
engine,0.0014882150709232332
entries sony,0.0031762442366053503
fantasy art,0.005412532056195488
fantasy painting,0.002035753098657556
fantasy style,0.002090727760806283
faroe azores,0.0014891106050842315
fiction,0.001288177661258274
fiction film,0.0018968218962405648
fiery alchemical,0.0017507512931436541
fifth element,0.0010733490870427577
film,0.014370549494229673
film neuromancer,0.0014740622913252466
flamingos,1.187897913163395e-05
flowers,0.0036477093292149286
fluffy,0.00256063416186323
food photography,0.0032160137907433386
footage,0.0005713496912516783
forest,0.0028300662900440873
frazetta,0.0017628486896179103
frazetta giger,0.002663659480399133
futuristic,0.0006028893368001776
garden,0.0007004694818563916
garden intricate,0.0016773312851650454
giant digital,0.001339819593772522
glamorous sophisticated,0.001506932978955015
goddess,0.005634380398964013
goddess creative,0.0024900539684863453
gordon,0.003362139546288378
goth,1688469849865.5806
goth emo,0.0026330072551951984
goths,0.008759787482569522
goths loitering,0.004742213504028507
gundam,0.004830102515426252
gundam unreal,0.0005270926000065281
hd,0.0009035115763181423
hd goth,0.002332376877198319
hd painting,0.0016382463635859726
hd unreal,0.0018739388548369678
headshot edwardian,0.000669855369622781
heavy detailed,0.0015722030856252594
high quality,0.002873457519940662
himalayan,0.0006000800818842666
