keyphrase,mean_abs_shap
abandoned,0.0005427030844203627
alien,0.0016136511469633087
alien planet,0.0005421005425465372
android cyborg,0.0
anime,0.0034362293221874168
anime colors,0.0005425938329682516
anime epic,0.0009673817094605675
armor daedric,5.381253631938093e-05
art,0.007691200847921441
art artgerm,0.00029464563180691685
art city,0.0010613722351019898
art hyperrealistic,0.0005793499378401354
art josan,1.6883293109609803e-05
art lifelike,0.0011506105960619004
art punk,0.0008136372542456778
art realistic,0.0006580080438839574
art sharp,0.0005396389540474728
art smooth,0.0008298718250548061
art style,0.001109964136284976
art thorough,0.0007881645479447564
art trending,0.0005715780018550237
artistic,0.0005593808945948555
artistic painting,0.0005367967534233671
artstation,0.006215873129649152
artstation cinematic,0.0005851287085206297
artstation galaxy,7.880401006643712e-05
artstation hyperrealism,0.012486879622841956
artwork,0.004712463975065933
atmospheric lighting,0.00017103553339097336
avant garde,0.0002864909554163769
azores,5.786738277163986e-05
azores islands,0.00031807011216605357
beautiful landscape,0.0012032649735804761
beneath cherry,0.00018046249112707008
bjork,0.0006228216076034531
black,0.002982274878580743
body manga,0.00107644098772513
body portrait,0.00037662519773107387
body shot,1.3799205284977225e-05
bonsai,0.007477385053276254
bonsai tree,3.7135455188044046e-05
bull looking,1.3574808645974181e-05
bull modeled,1.2023036170563855e-06
butterfly volumetric,0.00019018571058426092
camera,0.0014697067226766092
candle butterfly,2.2344834968963685e-05
candle volumetric,0.0005603033341674501
canvas,0.0005905032253584253
castle,0.0032711100317343723
castle enclosed,0.0007485552533164705
cat,0.0005327707261135331
century,0.0007142041014701721
century modern,0.0011164228601620784
character portrait,0.0006248158301352201
chris,0.0017779817006984425
chris foss,0.00020588648418719694
churches domes,0.0006409937048187037
cinematic,0.00480167923514717
cinematic composition,0.001630967375812025
cinematic deviantart,0.0017654994792808737
city,0.0012161976351931076
cloud fashion,0.0005945168297725209
clouds,0.004536229488065581
clouds covered,0.0007768361769539437
clouds girl,0.0008597340028892132
clouds madeira,0.0018448751989580492
collage canvas,0.0008108412322399806
colors,0.0011645440984995304
colossal,0.0004882799579453429
colossal goddess,162748078578.38516
comprehensive art,0.001018513975293536
concept art,0.0069012989044281835
contemporary art,0.0005661602953796819
cute fluffy,0.0007331439999731367
cyberpunk,0.003459938395833785
cyborg,0.000990200833851635
cyborg body,3.228777633504314e-06
cyborg bull,0.0
daedric armor,5.0551732794671674e-05
dark,0.005052066568189652
dark uncanny,0.0008011223809798216
detailed painting,0.0019399926060066552
detailed portrait,0.0002545053757893685
detailed ultra,0.0013009526473932353
details intricate,0.0014691507888929794
detective pikachu,0.0004583761015442381
deviantart,0.01220612817335537
deviantart hyperrealistic,8.147974680575509e-05
deviantart realistic,0.0025619950504992047
digital art,0.002886619978912152
digital painting,0.0025489495848101855
digital render,0.00042858053990523176
divine,0.0017899177161569792
divine pink,6.592351266203026e-05
dog,0.0011313270942947531
donald,0.0013605943472549818
dragon,0.002180671421235131
dramatic lighting,0.0006359746503319221
drawing,0.0004697711197040279
dunmer nerevarine,4.719470525765238e-05
einstein,0.004093440260215572
elf,0.0028871965020300897
elson,0.0010529013127116502
emo,0.00037038688049856154
emo punk,0.0007271472149819474
engine,0.0015971314594747557
entries sony,0.0006114512754546199
fantasy art,0.0012363780995343027
fantasy painting,0.00401724777943745
fantasy style,0.003191010528442756
faroe azores,0.0009638837097014203
fashion clouds,0.0005995371409893623
fiction,0.0006002169315818389
fiction film,0.0010856038806789396
fifth element,0.0009334091556439483
film,0.027691043448602327
film neuromancer,2.2260561914753057e-05
flamingos,0.00013472168861408885
flowers,0.001654136920669557
fluffy,0.00032466059154423265
footage,0.0010646723332490254
forest,0.0010943741288645852
frazetta,0.0009048705669656824
frazetta fantasy,0.00018468912921823722
frazetta giger,0.0007548271358265536
futuristic,0.0011169315437365335
garden,0.00038856436424246804
garden intricate,7.961943308292872e-05
giant digital,0.0006655951025064657
girl clouds,0.0005884582493449376
glamorous sophisticated,0.0003473349252642678
glimpse universe,0.0006252020469478726
goddess,0.0010289484264011139
goddess creative,0.0012593558160668738
goddess wearing,0.0006163410800342685
gordon,0.001458514067533796
goth,0.0019593073935291186
goth emo,0.0008783894519473236
goths,0.00011388069108857638
goths loitering,0.0001392743673841269
gundam,0.0036183719865619858
gundam unreal,0.00021020457721393685
gustav klimt,0.0019390969636454627
hd,0.00040686620014337147
hd goth,0.0026419963422107053
hd painting,0.00017876186960283396
hd unreal,0.0007643553831031064
heavy detailed,0.001039569195591984
high quality,0.0022015580740181286
hills slavic,0.0003864529678325373
himalayan,0.0007320403888742194
himalayan rocksalt,0.0005223082096292668
houses,0.000679194457541075
houses built,0.0004745904920543668
hyper detailed,0.0009960876236158234
illustrated,0.0018328133249879896
illustration,0.000870772756003446
illustration art,0.001107101990703039
imposing cyborg,9.764708870618817e-06
intricate details,0.0014563760986643596
intricate hyper,0.0010620008254219027
intricate royo,0.0009187507114529101
intricate volumetric,0.00010543082495859162
josan,0.0011677729605003447
josan gonzalez,0.0033381143258267125
knight,0.001342398510551243
kylie,4.636668223565715e-06
kylie minogue,1.8021750522538637e-05
lamp,0.000532747562950311
landscape,0.004604970816094913
landscape colourful,0.0010446516163082017
lantern candle,0.0005401560044139645
length portrait,0.00013801792735068717
lifelike photorealistic,0.000332535824508018
lighting,0.0020736935885265853
lighting hd,0.0005725379096586269
lightning intricate,0.000965272656010902
log houses,0.0004193316826102844
looking camera,7.182469269482334e-06
low clouds,0.00030212183282721873
madeira faroe,0.00030964058165608557
