keyphrase,mean_abs_shap
abandoned,8.535887694726383e-05
alien,0.0018329931965833425
alien planet,0.0009981696763866686
android cyborg,0.0008535783707830536
anime,0.0037696323462234425
anime colors,0.0001798265939378513
anime epic,0.0001759203590155193
armor daedric,0.00031081979215088356
art,1062239384.9159104
art artgerm,0.0011578248408925227
art city,0.0003558641570519706
art hyperrealistic,0.0013092230508594837
art josan,0.0008917052140299986
art lifelike,0.004651279028364438
art punk,0.0008503307602517751
art realistic,0.0005178013366824227
art sharp,0.0011597188551291059
art smooth,0.0017680260886825476
art style,0.00120261452806573
art thorough,0.00042454393115769277
art trending,0.0012885033209681144
artistic,0.0002666620211928748
artistic painting,0.00026468097816381497
artstation,0.00510881207500905
artstation cinematic,0.0007202864053767759
artstation galaxy,7.888595394406697e-05
artstation hyperrealism,0.002349296291679284
artwork,43496347639.795074
atmospheric lighting,0.0002990323524052732
avant garde,0.0012548838573096582
azores,0.0010438678201827604
azores islands,0.0014715033987051686
beautiful landscape,0.0014107513152197082
beneath cherry,0.0001686004993832891
bjork,0.0006161237361702437
black,0.0020757980265200477
body manga,0.0014439296123376598
body portrait,0.0010481313593501914
body shot,0.000936079190560866
bonsai,0.0024444547385374066
bonsai tree,0.00028232081516897667
bull looking,0.0008977477353494741
bull modeled,0.0008650353678801942
butterfly volumetric,0.0013257279601963123
camera,0.0012759795330355944
candle butterfly,4.9792282694284384e-05
candle volumetric,0.000792414622169426
canvas,0.0009952153984114772
castle,0.0030703355373982045
castle enclosed,2.0246912832849635e-05
cat,0.0006313759900669664
century,0.001302227312562775
century modern,0.0007363753399608276
character portrait,0.0016821239885512265
chris,0.0017268120307286309
chris foss,0.0008984049859401803
churches domes,6.2280252457538825e-06
cinematic,0.0031294203506233007
cinematic composition,0.0011919662280931555
cinematic deviantart,0.0009587594068163551
city,0.0007218638638125744
cloud fashion,0.0
clouds,0.0020083044229225653
clouds covered,0.0004087479126645835
clouds girl,0.0002662761226241728
clouds madeira,0.002845057909792547
collage canvas,0.0008589937238860836
colors,0.00048592700052205813
colossal,4.226293864288003e-05
colossal goddess,0.00010455226583758363
comprehensive art,0.001892083898218422
concept art,0.007385652191205612
contemporary art,0.0009508885969195818
cute fluffy,0.0016211787162097799
cyberpunk,0.002435466680776839
cyborg,0.0025860152430443747
cyborg body,0.0008343271662390164
cyborg bull,0.0007918623761420082
daedric armor,0.0008108343683645697
dark,0.0031143558895718403
dark uncanny,0.0010833999390041419
detailed painting,0.0033821788532126845
detailed portrait,0.0027368304788967903
detailed ultra,0.0016027049199842764
details intricate,0.0014147607184474206
detective pikachu,0.0005967171298272519
deviantart,624031420.5900347
deviantart hyperrealistic,0.0
