keyphrase,adjusted_mean_shap
deviantart realistic,422117462466.39795
goth,422117462466.39624
portrait painting,56086136168.59306
style portrait,56086136168.589935
painting sargent,40687019644.6115
colossal goddess,40687019644.59679
artwork,10874086909.951588
photography awards,10874086909.947712
art,265559846.23369002
painted pablo,265559846.22842127
deviantart,156007855.15943113
portrait,156007855.15257242
film,0.01634471657318375
matte painting,0.013515847196724499
painting,0.009389102291295125
photograph,0.008301348242728825
ufo,0.008174231794063725
concept art,0.007502920912656825
surrealism,0.00737884193748595
sky,0.0071442590281062
artstation hyperrealism,0.006912991236792875
scene,0.0063007461096016
oil painting,0.006164239931855601
photography,0.0054491605078307
artstation,0.0051395269715947
bonsai,0.00484764034049405
digital painting,0.004826977175185449
space,0.004360355459170451
mid century,0.0042103805575442
peter elson,0.0039829391936644
room,0.0039769770267056
landscape,0.0038847647690661248
cinematic,0.0038785791089461998
lighting,0.0038110002121303247
painting artstation,0.0037987488501470246
gundam,0.00366942970749435
dark,0.0035826344460250003
cyberpunk,0.00357716249499205
castle,0.0034997141385156496
manga,0.0033715465663747496
spaceship,0.0033589664389783
deviantart cinematic,0.0033100036833562
black,0.0032339568974613497
food photography,0.0032160137907433
einstein,0.0031751644364014
ruins,0.0031621599182817
josan gonzalez,0.0030893887937496
photorealistic,0.003022329934046525
fantasy painting,0.002930707745735475
clouds,0.002906988370475675
trending artstation,0.0027354819741763495
anime,0.0027070338058955
portrait painted,0.002692400512888225
unreal engine,0.002672189767826825
bernard simunovic,0.0026538367334896
snowy,0.0026523441460882
photorealistic digital,0.0026244450980568005
saitama anime,0.0025628994013224254
art lifelike,0.002524049353679775
digital art,0.0025176791925162
clouds madeira,0.0024133429311712
goths,0.0023841941758888747
sitting snowy,0.0023402158525909
mila kunis,0.0023111734956266
art sharp,0.002285920735819125
detailed painting,0.002260673246947875
uncanny,0.0022222449434899
matte,0.002203906458362
detailed ultra,0.0021372863617297
vallejo frazetta,0.002136670510469825
shade talking,0.00212740831037085
zdzislaw beksinski,0.0021077044914678
steampunk,0.00210742828153331
fantasy art,0.0021059901874692
realistic cinematic,0.002103102467031
edwardian photograph,0.0020758040741111
hd goth,0.002066136869564475
high quality,0.002048927767857675
century modern,0.0020457307611552247
dragon,0.0019828837557662
starmaker matte,0.0019701006241013745
uncanny painting,0.001939422366019725
goddess,0.0019202049883914002
hyper detailed,0.001897576365543684
gordon,0.00189227254775765
body manga,0.001864211108397875
traits painting,0.0018635748336371335
intricate details,0.0018622735493685249
skyrim elegant,0.001862036568636261
art thorough,0.00182180942570605
photo,0.001808790529792025
fiery alchemical,0.0017507512931436
alchemical creatures,0.0017404025886194
fantasy style,0.001737291180347325
elf,0.0017184184024237252
detailed portrait,0.0017138637769343
intricate volumetric,0.0016981267296447438
cinematic composition,0.001695470258233025
painting beautiful,0.0016831636639584751
character portrait,0.0016776635999030491
flowers,0.0016633401899135854
tracing artstation,0.001648872371592725
comprehensive art,0.001621360113817425
elson,0.0016200231672971555
sony,0.00161359476060645
sony world,0.001599731175601575
photo realistic,0.001592522351936825
intricate hyper,0.001587513896830819
alien,0.001572842993890975
surreal dark,0.0015727071767527
modern art,0.00156203397633665
robot,0.0015562422288898248
world photography,0.00155574305784155
illustrated,0.0015476974875053
emo,0.0015348909979503
josan,0.00146766991537455
creatures surreal,0.0014492596749789
painting deviantart,0.0014275869874972
cinematic deviantart,0.001424005436051025
puppy sitting,0.0014228411074602
entries sony,0.00141530507070995
painting character,0.00141248862316335
anime epic,0.0014090616196969748
cyborg,0.00140718062549315
dramatic lighting,0.0013934180491575188
art style,0.001385419241019
illustration art,0.001349469275750475
forest,0.00133864058444605
puppy,0.0013270205389142998
ufo ignoring,0.00131847798944315
chris,0.0013172620794905335
goths loitering,0.001315517044455025
volumetric lighting,0.00129616989905565
statue,0.0012879114949874751
engine,0.001277813980876975
blinders photography,0.0012644958954224
science fiction,0.001262024278427075
painting unreal,0.001252430787380175
cute fluffy,0.001251421299237546
jacket black,0.0012431316471888
goth emo,0.00122636863157115
city,0.0012224571180941251
painted,0.001207506540769125
pixar,0.0012048486434858
divine,0.0011935174355218498
donald,0.0011925083113128751
butterfly volumetric,0.001184795599253975
atmospheric lighting,0.001174092764092925
scariest looking,0.001167914504166
heavy detailed,0.001163996267164575
beneath cherry,0.0011359803679808502
nerevarine,0.0011306825761852048
painting lurid,0.001127639047858875
woman,0.001121030743589475
surreal,0.001107165927479125
