keyphrase,mean_abs_shap
abandoned,0.00029731425113760335
alien,0.00022993850301996754
alien planet,2.141807384333416e-06
android cyborg,0.0
anime,0.001405922574169447
anime colors,0.00017806604070454696
anime epic,0.00021368098261231432
armor daedric,0.00017911736969975541
art,0.0002562858353023431
art artgerm,0.0020733773808126192
art city,0.0
art hyperrealistic,0.00033603968275942576
art josan,0.0
art lifelike,0.0002607267622831835
art punk,0.00026210858842467297
art realistic,0.00030034539207501664
art sharp,5.9440562002273705e-05
art smooth,0.0002876883265404824
art style,0.00021492034864058825
art thorough,0.00025602363450662744
art trending,0.0005079900443941747
artistic,0.0
artistic painting,4.2926550640784234e-06
artstation,0.008680184874482497
artstation cinematic,0.001056052389239896
artstation galaxy,0.0
artstation hyperrealism,0.007644375114539345
artwork,0.001952937288163596
atmospheric lighting,0.00020772419880027762
avant garde,0.00023790341384545444
azores,0.0
azores islands,3.9083078812501555e-06
beautiful landscape,1.7080301389096484e-06
beneath cherry,0.0012071011286150547
bjork,0.0003276453033337854
black,0.0
body manga,0.00020700410909170735
body portrait,0.00025683978691110726
body shot,3.851234636635078e-06
bonsai,0.0005738227735710742
bonsai tree,0.0
bull looking,0.0
bull modeled,5.8408174546161955e-05
butterfly volumetric,0.0
camera,0.00023243249355365766
candle butterfly,6.650580455348188e-06
candle volumetric,4.9324586770684925e-06
canvas,0.0024253482190126838
castle,0.00024053153777459424
castle enclosed,0.00021761785363632317
cat,0.003196960273291355
century,1.0391176694694626e-05
century modern,0.0010668263998981156
character portrait,0.0005682826911399479
chris,0.0
chris foss,0.0
churches domes,0.0001892598981571163
cinematic,0.0013011627955161363
cinematic composition,0.007587829948115613
cinematic deviantart,0.0055938506417302514
city,0.0002655993596044116
cloud fashion,0.00038351146474354276
clouds,0.0031666412913433457
clouds covered,0.0002688993247565254
clouds girl,0.00025135033983314807
clouds madeira,0.0006359780441551963
collage canvas,0.00028277376250182334
colors,0.00026677479997683966
colossal,0.0
colossal goddess,0.0
comprehensive art,0.0004277389396015127
concept art,0.0006991848602574027
contemporary art,0.00025870164173781476
cute fluffy,0.00044398646492099266
cyberpunk,0.004318210115158142
cyborg,0.00022234240300318493
cyborg body,9.973774844099693e-07
cyborg bull,0.0
daedric armor,0.00027591902134516046
dark,0.0012368468345108562
dark uncanny,0.00031076591240219477
detailed painting,0.0024122116958659222
detailed portrait,0.00024846156616285245
detailed ultra,0.00036944953768249813
details intricate,0.0
detective pikachu,0.0006418464753332207
deviantart,0.0025641020989271403
deviantart hyperrealistic,0.00024788875066840096
deviantart realistic,0.0010165486269158549
digital art,0.0009826675050318414
digital painting,0.0003536666341588781
digital render,0.0
divine,0.0
divine pink,0.0
dog,0.0010865146808104467
donald,0.0006479549594049711
dragon,0.0
dramatic lighting,0.000902849292590917
drawing,0.00028327946892923816
