keyphrase,mean_abs_shap
abandoned,0.0011346645358339
alchemical creatures,0.0017386907028958823
alien,0.002514234581591235
alien planet,0.0010246503131800524
android cyborg,5.1343464845673306e-05
anime,0.004324802650626081
anime colors,0.0012982182384696304
anime epic,0.00017571741816819908
armor daedric,0.00029162015278881044
art,0.014341114602784808
art artgerm,0.00462218032964761
art hyperrealistic,0.001533838313226631
art lifelike,0.0014421993534029808
art punk,0.0021522974390200977
art realistic,0.00376891355976094
art sharp,0.0028373589235853648
art smooth,0.001896489643620066
art style,0.0019357645107934216
art thorough,0.0017210415337665494
art trending,0.0032359593911242277
artistic,0.001314631702972316
artistic painting,0.002247172952472674
artstation,0.010538866355287734
artstation cinematic,0.0060403540462754144
artstation concept,0.0014395072692352446
artstation galaxy,0.0022543556106748787
artstation hyperrealism,0.005619989090803014
artwork,0.004202224519175221
atmospheric lighting,0.0011358406964786598
azores,0.001342548115741756
barbarella,0.0010861542997285625
beautiful,0.0007585689097129059
beautiful landscape,0.0016268884007036935
beksinski,0.0009240907198043046
beneath cherry,0.0038432464094444196
bernard simunovic,0.002544731661956438
bjork,0.0021566943206397437
black,0.002173515505160094
blinders photography,0.001690558935976866
body manga,0.0017676239985824518
body portrait,0.0016514073289878974
body shot,0.0
bonsai,0.0014168065817935442
bonsai tree,0.0013916605386790767
bull looking,1.1354162736244466e-05
bull modeled,0.0005724236225989331
butterfly volumetric,0.002272241176153636
camera,0.0009442886413094864
candle butterfly,0.0010723573461030225
candle volumetric,0.001350005819800841
canvas,0.00651543623015497
castle,0.0033961909471256907
cat,0.0044988002981128155
century,0.0017480427887639361
century modern,0.004788542034544801
character portrait,0.0018871136003905935
cinematic,0.00776084734744645
cinematic composition,0.010793902614796883
cinematic deviantart,0.00031367515419358945
city,0.0038478472984731027
clouds,0.00922729227128641
clouds madeira,0.006828192747652903
collage canvas,0.0012252762336776681
colors,0.002130518277905004
colossal,0.0002652249764872237
colossal goddess,0.00012885697382142386
comprehensive art,0.004696685889335176
concept art,0.014491155325387466
contemporary art,0.00199862982375343
cosmic,0.0021295366919406203
creatures surreal,0.0020315548761121664
cute fluffy,0.003409621037350548
cyberpunk,0.007408442031797619
cyborg,0.0017812661102737924
cyborg body,1.8010774158885996e-05
cyborg bull,0.00020921622961178734
daedric armor,0.0011657600048436665
dark,0.005141086470157867
dark uncanny,0.00112376089320094
detailed painting,0.0026349492043315215
detailed portrait,0.0018727060663051942
detailed ultra,0.0034055985147050443
detective pikachu,0.00015494476559216292
deviantart,0.003819488934119684
deviantart cinematic,0.0009792371800271997
deviantart hyperrealistic,0.0011489442474326807
deviantart realistic,0.0028179159301533964
digital art,0.008454940975093873
digital painting,0.0075232000125649914
digital render,0.00031502330841408474
divine,0.0020121104337969447
divine pink,6.670482726540896e-05
dog,0.0031229370492821813
donald,0.0012144329815479285
dragon,0.003514684138841009
dramatic lighting,0.0036635692881008615
drawing,0.0008144561851171439
dunmer nerevarine,0.0010083985514376787
edwardian photograph,0.0013205769993582873
einstein,0.004672530240100502
elf,0.001293061690537655
elson,0.003708081381658374
emo,0.0008447092678469576
emo punk,0.0019833359675369804
engine,0.0014265599377792965
entries sony,0.00016104453158597844
fantasy art,0.0016820100628769945
fantasy painting,0.0021826459742891498
fantasy style,0.0018464085153841645
faroe azores,0.0014010786490049553
fiction,0.0012893346333097092
fiction film,0.008380803963321186
fiery alchemical,0.001596373528265626
fifth element,0.003675872083450452
film,0.01679444012586187
film neuromancer,0.0020017028135379156
flamingos,0.0
flowers,0.0029086495666110924
fluffy,0.0008641987505545467
food photography,0.00302802441724548
footage,0.0030501159360639195
forest,0.004006040148916588
frazetta,0.0008004082805569592
frazetta giger,0.000510753811229295
futuristic,0.0015102272691127727
garden,0.00033179633041757495
garden intricate,0.0012356941030947427
giant digital,0.0009856927808929504
glamorous sophisticated,0.0014573468010361536
goddess,0.006233238564985792
goddess creative,0.000205282017827487
gordon,0.0022239501837299325
goth,0.001232137284774891
goth emo,0.0014582361340909503
goths,0.00363193386425046
goths loitering,0.0036853028533108036
gundam,0.004493382012941901
gundam unreal,0.0010814077914450709
hd,0.0005893281431623992
hd goth,0.0036631890027787905
hd painting,0.0013469607696405973
hd unreal,0.0011310493669796876
headshot edwardian,0.0002597180869076833
heavy detailed,0.0012007873999816847
high quality,0.00202518326902327
himalayan,0.001218805197148293
himalayan rocksalt,0.001157210653400178
houses,0.0020131523822747377
houses built,0.0007374455976589103
hyper detailed,0.0014867704861496525
illustration art,0.0038076713510032034
imposing cyborg,1.386042697863286e-05
intricate details,0.003744914796516417
intricate hyper,0.001857886481181773
intricate royo,0.00024403195619395428
intricate volumetric,0.0022968326081559414
jacket black,0.00012143159355020101
josan,0.001500988979572626
josan gonzalez,0.00520725462014043
kylie,0.0016485985194543528
kylie minogue,0.0012737872650141731
lamp,0.0022927671657165423
landscape,0.005286202744650441
landscape colourful,0.0
lantern candle,0.0015577419565247698
length portrait,0.002272908618416373
lifelike photorealistic,0.002181219868481418
lighting,0.0038858738102421297
lightning intricate,0.004022349806116021
log houses,0.0015227677446182529
looking camera,0.00023979192262024612
low clouds,0.00111873665026534
madeira faroe,20510985452011.07
male dunmer,0.0021747488212287545
manga,0.006640583618322002
manga illustration,0.0017274489738380496
marble hourglass,0.0012641404644970526
matte,0.00514863961345199
matte painting,0.002583577978202631
media collage,0.001487300099598417
mid century,0.0034340440183111983
mila kunis,0.0019527686427096259
minogue,0.0011324821297977478
minogue barbarella,0.001632505971234607
mixed media,0.001241473829040999
modern,0.0015352375669939102
modern art,0.0011725461753864753
movie,0.004205641499867012
movie poster,0.0033228407103140845
natural scene,0.0031143832639893908
nerevarine,0.002814966665162444
neuromancer,0.001910358631102001
oblivion skyrim,0.000762323165628067
octane render,0.0010938019543575885
oil painting,0.009385609908381718
overcast thunder,0.0027762479877378593
pablo picasso,0.002862138513003265
painted,0.002130606427674329
painted pablo,0.0008287409317633843
painting,0.03025164535115384
painting aesthetic,0.003106754339384951
painting artstation,0.005401157688978866
painting beautiful,0.00237552874565903
painting character,0.0009941871589450022
painting deviantart,0.0004886578229950264
painting lurid,0.0012095077091281536
painting lush,0.0037309788940630166
painting peter,0.001801922289061213
painting ronny,0.0017113863420395539
painting sargent,20510985452011.07
painting stalenhag,0.0016095177859251552
painting unreal,0.0010819693570587902
peter,0.0038004958811131326
peter elson,0.019107580394168818
photo,0.0024011350573097463
photo realistic,0.0027173628649186095
photograph,0.004019370399355273
photograph divine,0.001383532036793011
photography,0.003226932124703182
photography awards,0.0011886477075778957
photorealistic,0.009132387901054863
photorealistic digital,0.007275181264542438
phyics entries,0.00013658882752861363
picasso,0.0026035820110736625
picasso hair,0.0021166690868497807
pikachu hannah,0.001504560143120686
pink bonsai,55517383666.861465
pink flamingos,0.0007260032219472288
pixar,0.0026401417397347495
pixie cut,0.0007760888782395967
portrait,0.025918825375497844
portrait extremely,55517383666.8627
portrait intricate,0.0033414115427292165
portrait male,0.0008586789368681699
portrait painted,0.002349718396540402
portrait painting,0.0017481227611032754
portrait photograph,0.0019405757975501088
portrait sabouts,0.0013139916408525846
portrait scifi,0.0032771538182441184
punk art,0.0012886678693415567
punk portrait,0.0011109440117086783
puppy,0.0023626581536612627
puppy sitting,0.0018527546570620843
realistic cinematic,0.0015881990497386945
render hyperrealist,0.0
robot,0.00209588592609805
rocksalt lamp,0.0009410251153489605
room,0.0023169265659014476
rpg portrait,0.0011119712768394856
ruins,0.0002559968016696476
runway,0.0013996601436161939
saitama,0.0011947356562706409
saitama anime,0.0016069383708330084
scariest looking,0.0011118126478611022
scene,0.0025412892679814807
scene science,0.002419149584951462
science,0.00011126628901312248
science fiction,0.0013693939287528544
screenshot,2.150247473237867e-05
shade talking,0.0031822035161958415
sitting snowy,0.00018032067507886201
sky,0.0023828210788652696
skyrim elegant,0.00266083369693537
snowy,0.001005285121670494
sony,0.004483467278517
sony world,0.0003107020345141037
space,0.005123577943217025
spaceship,0.001397296670987442
starmaker,0.0014902071972839816
starmaker matte,0.0003621621923174572
stars,0.0034380017649110134
statue,0.000989975609417865
steampunk,0.004602613709355097
steampunk himalayan,0.002631990144146123
studio ghibli,0.0012757580389361107
style contemporary,0.0010425887948540184
style portrait,0.005998976996182288
surreal,0.0024446866377872602
surreal concept,0.0023621937994761015
surreal dark,0.0016569518980597438
surrealism,0.0015755408059667116
surrealism surreal,0.0017377506168229234
tracing artstation,0.0007274535090574556
traits painting,0.0012525673405231262
trending artstation,0.003234271325759187
ufo,0.0028618250585260643
ufo ignoring,0.0021951420157971975
ultra realistic,0.00204250422537259
uncanny,0.0037236889693362
uncanny painting,0.006445168368816647
unreal engine,0.0067459925749126055
vallejo frazetta,0.0013470976389738903
vivec portrait,0.0010991792830842284
volumetric lighting,0.0016641480621749194
wallpaper,0.0033962828388725444
wallpaper illustration,0.0014294042365105989
wizard,0.0017299199547258911
woman,0.00074232069786197
world photography,0.009348686431794295
zdzislaw beksinski,0.0006435496507789067
