keyphrase,mean_abs_shap
abandoned,0.0003587516790233712
alien,0.0009901798589243406
alien planet,0.00048200322777092094
android cyborg,0.0004795171546903475
anime,0.0037267295508226295
anime colors,0.0005668648237865988
anime epic,0.0005813201613058569
armor daedric,0.0009440011631648986
art,0.005445344985023928
art artgerm,0.0034543338705966937
art city,3.446078211220265e-05
art hyperrealistic,0.0005461912023465924
art josan,0.00018917585831265397
art lifelike,0.0002799566724106501
art punk,39314026022.60052
art realistic,0.0005057381213092583
art sharp,0.0005086742791242273
art smooth,0.0015604594749450277
art style,0.0008913796037816971
art thorough,0.0006788003736234162
art trending,0.0008307316649732166
artistic,0.0008190286271604857
artistic painting,0.00066429193111241
artstation,0.0127944478361352
artstation cinematic,0.00252517450269501
artstation galaxy,0.0009604470671719623
artstation hyperrealism,0.0034819856193459963
artwork,0.004830665705027819
atmospheric lighting,0.0004921622887714807
avant garde,0.0007624101508128499
azores,0.0005969688092340034
azores islands,0.0005945988552466499
beautiful landscape,0.0005938887566335502
beneath cherry,0.0007348209399354739
bjork,0.0008816796391201846
black,0.0013461462233324887
body manga,0.0010081048643312775
body portrait,0.0006811397506410764
body shot,0.0005400226548796406
bonsai,0.0014992971327389495
bonsai tree,0.0005370995360865362
bull looking,0.0007134937525438316
bull modeled,0.0006368233374733531
butterfly volumetric,0.0009445134657431858
camera,0.0011298660547879413
candle butterfly,0.0005814196795202101
candle volumetric,0.0001349993747780655
canvas,0.0034260148161779206
castle,0.0011808921694938977
castle enclosed,2.027433067294694e-07
cat,0.003873824170667676
century,0.00027466494843115684
century modern,0.002208394196892989
character portrait,0.0010622621926147347
chris,0.0010678028152187496
chris foss,0.0005226156662045592
churches domes,1.4011089512324321e-05
cinematic,0.002807124005223764
cinematic composition,0.008541580471105337
cinematic deviantart,0.005298494903500557
city,0.0015387160483287716
cloud fashion,4.763395309791606e-06
clouds,0.0044140810424757315
clouds covered,0.0008835643841507702
clouds girl,2.10242148393424e-05
clouds madeira,0.0009171007629005135
collage canvas,0.0007797427218111607
colors,0.0007950425439402209
colossal,0.00046973486792505753
colossal goddess,0.0005692099407200598
comprehensive art,0.0012063872110288924
concept art,0.003722341754185819
contemporary art,0.0007424065222216709
cute fluffy,0.0013194883680512377
cyberpunk,0.00925748844452113
cyborg,0.001281169141166051
cyborg body,39314026022.60023
cyborg bull,0.0007531613087085276
daedric armor,0.001169561617267743
dark,0.001645569253457792
dark uncanny,0.00035132733486908804
detailed painting,0.0037443648428934144
detailed portrait,0.0008522936843744931
detailed ultra,0.001569890611847208
details intricate,0.0005765458172983391
detective pikachu,0.0015219220005895354
deviantart,0.0022886856556479777
deviantart hyperrealistic,0.0009301709483774886
deviantart realistic,0.0024152420841685343
digital art,0.0027813544024768468
digital painting,0.0034726208433536595
digital render,0.0004044843585144007
divine,4.721339534767291e-05
divine pink,1.0819444980745184e-05
dog,0.0020946721946123025
donald,0.002332928223077094
dragon,0.0007448110667933946
dramatic lighting,0.001590721689096848
drawing,0.0007158915343675937
dunmer nerevarine,0.0004944536683126248
einstein,0.002194843214122031
elf,0.0015551514669820247
elson,0.0005352694126479459
emo,0.0004624851173468089
emo punk,0.0005965188360240397
engine,0.0014681198965961024
entries sony,0.0
fantasy art,0.0010577148200340554
fantasy painting,0.0024279294675791955
fantasy style,2.593433729229249e-05
faroe azores,0.00073573455474444
fashion clouds,4.907949558387106e-05
fiction,0.0009122256856165509
fiction film,0.004374038005572052
fifth element,0.0012314334292515704
film,0.05241792186680124
film neuromancer,0.00016886127945221036
flamingos,0.0
flowers,0.0017844022229535545
fluffy,0.00033636155125835117
footage,0.001263325902887432
forest,0.0013640941089983314
frazetta,0.00140307574726201
frazetta fantasy,0.0006766041672619147
frazetta giger,0.0006038520244156203
futuristic,0.0005945000380385044
garden,0.0008376647587389232
garden intricate,0.0008293683733535663
giant digital,0.0005144516675982484
girl clouds,1.3201329130900384e-07
glamorous sophisticated,0.0018077135345256937
glimpse universe,3.875850347099172e-05
goddess,0.0022626160966141714
goddess creative,0.0
goddess wearing,3.618041795038072e-05
gordon,0.0015718700029465666
goth,0.0012086280647088908
goth emo,0.0005037873631022274
goths,5.33375045024538e-05
goths loitering,0.0003907855541752122
gundam,0.0016289501503901533
gundam unreal,1.3231889073523039e-06
gustav klimt,0.0011969119754397916
hd,0.00038583617287244414
hd goth,0.0006730678940663786
hd painting,0.0
hd unreal,0.0007626471033218233
heavy detailed,0.0008224372666631707
high quality,0.0029457597783254666
hills slavic,2.3754254980572745e-05
himalayan,0.0009192381815243501
himalayan rocksalt,0.0004976396560883338
houses,6.338515383026189e-05
houses built,0.0
hyper detailed,0.0006921692603825221
illustrated,0.0020029930413569077
illustration,0.0011996332560659966
illustration art,0.007915056449990673
imposing cyborg,0.0007017734935024691
intricate details,0.0008924602858922397
intricate hyper,0.0009533499281046485
intricate royo,0.0010323371882590992
intricate volumetric,0.00010552859209204283
josan,0.0003706854083080866
josan gonzalez,0.000500064777669545
knight,0.0018819586359547918
kylie,0.0005538997175152118
kylie minogue,0.0007733181324571447
lamp,0.0007251649395176406
landscape,0.002613467668178677
landscape colourful,5.493484134839638e-05
lantern candle,0.0005037486081018815
length portrait,0.0015071531142053054
lifelike photorealistic,0.004022616276040957
lighting,0.0024561547021048212
lighting hd,0.0006714025941654399
lightning intricate,0.002692103168891937
log houses,0.0
looking camera,0.0007191700741504797
low clouds,0.0012697331340421382
madeira faroe,0.0006216475145338525
male dunmer,0.0005684081808128574
manga,0.0021279081153067966
manga illustration,0.0005726963412623068
marble hourglass,2.304258690392279e-05
matte,0.0007515206543664645
matte painting,0.010651127806030778
media collage,0.0006059174299280593
mid century,0.000977181280301135
minogue,0.0006708576319512205
mixed media,0.00035332579509305485
modern,0.00015691812023153366
modern art,0.0002500845867170463
movie,0.0029499430203767003
movie poster,0.0009106120023321793
natural scene,0.0018057284862156664
nerevarine,0.001445162537201514
neuromancer,9.985182043532619e-05
oblivion skyrim,0.0005902783596500645
octane render,0.0012547841496114863
oil painting,0.0065454608736083665
overcast thunder,0.0008374246493833077
pablo picasso,0.00017288546149123903
painted,0.0013556566046497547
painted pablo,8.777356049221076e-05
painting,0.05297672869267307
painting aesthetic,0.0006077076134180469
painting artstation,0.0016131432406906248
painting beautiful,0.0011884346652314686
painting character,1.2700789721957677e-05
painting chris,0.0005741887904345656
painting deviantart,0.0016015245268662542
painting lurid,0.0007555637291465937
painting lush,0.0011207612345282268
painting peter,0.0013940832883657273
painting ronny,0.0006931585959517325
painting sargent,0.015479711545263427
painting stalenhag,0.0004399739212880877
painting unreal,0.0
peter,0.0008494101313848139
peter elson,0.0019243352183551652
photo,0.0017625534781860594
photo realistic,0.0008772129668750483
photograph,0.003096331402138098
photograph divine,0.00011387424119470516
photography,0.005526308207127652
photography awards,8.367069285390126e-05
photorealistic,0.0039059067082139317
photorealistic digital,0.0021283790183716286
phyics entries,0.00017018612371506476
picasso,0.00047579940086780597
picasso hair,3.245410897546408e-05
pikachu hannah,0.0014290404483710453
pink bonsai,0.0005976659297954023
pink flamingos,1.0239218349747854e-05
pixar,0.001787539770063417
pixie cut,0.0009828420082274194
portrait,0.0861015525740899
portrait extremely,0.00021189438420823653
portrait intricate,0.0007496448957288256
portrait male,0.0008664566673459783
portrait painted,0.0013416632926226567
portrait painting,0.0004585960143971355
portrait photograph,0.00046845073593258796
portrait sabouts,3.1294426805828285e-05
portrait scifi,0.0007222208523802827
punk art,0.0007171203885681072
punk portrait,0.0006919429762215684
puppy,0.0021524594770433547
render hyperrealist,0.000174435348297955
robot,0.0010181089409874674
rocksalt lamp,0.000549076956913195
rpg portrait,0.00029821764598273907
runway,0.0014003589404981774
saitama,0.0013370173029156071
saitama anime,0.0015654983581584975
scene,0.001978844649917452
scene science,0.0007774725421506253
science,0.00016917824136792006
science fiction,0.0005474267667157585
screenshot,0.0007253760324358938
shade talking,0.0003319615458777025
skyrim elegant,0.0009450843866960164
sony,0.0010820960917334733
sony world,3.835024700010033e-05
space,0.004495110977422041
starmaker,0.0008073085226667649
starmaker matte,0.0006112714575151513
stars,0.0001655344662200902
statue,0.0006169355971404185
steampunk,0.005606570474714907
steampunk butterfly,0.00018248733689964273
steampunk himalayan,0.0014305775414424867
studio ghibli,0.0025231841582527416
