keyphrase,mean_abs_shap
abandoned,0.0022140364669860843
alien,0.0007134001726100392
alien planet,0.0006754503243852468
android cyborg,0.00014266809515609975
anime,0.005044087443113326
anime colors,0.0008397181477118901
anime epic,0.0007363780309920523
armor daedric,0.0010192117156427318
art,0.007670139198831494
art artgerm,0.004075720053118147
art city,1.5430949051947767e-05
art hyperrealistic,0.00020345139518674571
art josan,0.0
art lifelike,0.0005396433440612231
art punk,0.00031469292345832385
art realistic,0.0008312479271517143
art sharp,0.0019033291316189287
art smooth,0.0016542964048171468
art style,0.0009815010181269956
art thorough,0.0013403229326093232
art trending,0.0009652084262174442
artistic,0.0009478805755293432
artistic painting,0.0009144575367591775
artstation,0.01014602047813162
artstation cinematic,0.0012502284484641251
artstation galaxy,0.0015185035751787135
artstation hyperrealism,0.0029056076297191307
artwork,0.006556361394646355
atmospheric lighting,2.4462751674878212e-05
avant garde,1.2566328063749931e-05
azores,0.0009762297431418524
azores islands,0.0006121217611465803
beautiful landscape,0.0011903797960447317
beneath cherry,0.0016307511874002589
bjork,0.0016437698044383792
black,0.0014773595208831835
body manga,0.0009144207324742261
body portrait,0.0010575317306210103
body shot,0.00012515827242231582
bonsai,0.0016840700582040381
bonsai tree,0.0008629795049872748
bull looking,0.00013431663844359318
bull modeled,0.00013434229771937917
butterfly volumetric,0.001451304960550233
camera,0.0005456502946717619
candle butterfly,0.000844286954528581
candle volumetric,0.0012540941516804532
canvas,0.0020789776559249984
castle,0.0017631526269853111
castle enclosed,4.410834067807893e-05
cat,0.003487934510088982
century,0.0009010179382573756
century modern,0.002193283156067637
character portrait,0.0021135842398886584
chris,0.0005107773470578088
chris foss,0.0016694992084774914
churches domes,4.0759618077873097e-05
cinematic,0.010121505278771968
cinematic composition,0.006569416615744163
cinematic deviantart,0.0020027821715121728
city,0.004026258598814283
cloud fashion,0.0001796676274363233
clouds,0.007855992167351512
clouds covered,0.0006866350824836481
clouds girl,2.529548453330623e-05
clouds madeira,0.003976279518249069
collage canvas,0.00032254956475563336
colors,0.00023696988395133117
colossal,0.0007429126896928862
colossal goddess,0.000759410487486494
comprehensive art,0.0022958178996660243
concept art,0.006798493133720647
contemporary art,0.00036211207772877176
cute fluffy,0.0017151207053830882
cyberpunk,0.007212688125598842
cyborg,0.0017746738272923306
cyborg body,6.487513923457646e-05
cyborg bull,0.0001293217413535279
daedric armor,0.001147310512153623
dark,0.0021466342309705037
dark uncanny,0.0016099206055897551
detailed painting,0.0020539677922634366
detailed portrait,3.700672379593153e-05
detailed ultra,0.0013080487493080184
details intricate,0.0005805463180744624
detective pikachu,0.0015243839050648326
deviantart,0.0016757555904155293
deviantart hyperrealistic,0.0014079179937854412
deviantart realistic,0.004814530393685631
digital art,0.0038506636261125223
digital painting,0.0036129130878050923
digital render,0.0007547469078105168
divine,0.0007504791219230984
divine pink,0.0007027714565150502
dog,0.0014096064570556046
donald,0.0004920558583827439
dragon,0.0016497640469774694
dramatic lighting,0.0017132674671233058
drawing,0.00036153440969722276
dunmer nerevarine,0.000783387615927699
einstein,0.0019603486574706133
elf,0.0005199649761705534
elson,0.001972738189144166
emo,0.001979699474015455
emo punk,0.0007711953492895272
engine,0.00018361141809192347
entries sony,0.0006924809744858904
fantasy art,0.0016904229453021194
fantasy painting,0.002137139400143071
fantasy style,0.001057482005988589
faroe azores,0.0009439432732945085
fashion clouds,0.00021818969493222944
fiction,0.0007325055759345557
fiction film,0.005420175304667513
fifth element,0.0011077007283421605
film,0.018522730815788317
film neuromancer,0.0011889291399790746
flamingos,0.000858768969417809
flowers,0.003113198383416551
fluffy,0.001293948025992105
footage,0.0013312423305114614
forest,0.0030218581292691792
frazetta,0.0021896912333097224
frazetta fantasy,0.0020698615896331406
frazetta giger,0.000176650813103098
futuristic,0.0008253638673574846
garden,0.0008793732747107069
garden intricate,0.001346623301674173
giant digital,0.0008800022575184678
girl clouds,3.1309114683920836e-05
glamorous sophisticated,0.0008132789527327173
glimpse universe,0.0008741114099495309
goddess,0.0030871473991583845
goddess creative,0.0
goddess wearing,3.697538588486846e-05
gordon,0.0006996291129420706
goth,0.0013541218393371848
goth emo,0.0006540473712698631
goths,0.00047118437958477787
goths loitering,0.0015647694999662651
gundam,0.0025279623619508767
gundam unreal,0.00012133758038683834
gustav klimt,0.0017251419071606133
hd,0.0006366572286608645
hd goth,0.0011527541383659896
hd painting,0.0005316155398765642
hd unreal,6.648674870304691e-05
heavy detailed,0.0007868390263608253
high quality,0.002384631653379956
hills slavic,9.371949812728115e-05
himalayan,0.0003954188009543813
himalayan rocksalt,6.406760196038916e-05
houses,2.0438203085115863e-05
houses built,5.332804803691439e-05
hyper detailed,0.0009516344991501944
illustrated,0.001745851123244937
illustration,0.0005797153178358695
illustration art,0.005418164224493467
imposing cyborg,8.811047666573132e-05
intricate details,0.003072453823696616
intricate hyper,0.00018922789764863856
intricate royo,0.0005225194189395507
intricate volumetric,0.000982977379597063
josan,0.0009348964274407171
josan gonzalez,0.00177258821321818
knight,0.001182292835207664
kylie,0.00012489378739031923
kylie minogue,0.00012608141108325595
lamp,4.595775305067633e-05
landscape,0.002257212250642282
