keyphrase,adjusted_mean_shap
painting sargent,5127746363002.776
madeira faroe,5127746363002.768
portrait extremely,13879345916.716259
pink bonsai,13879345916.715748
art punk,9828506505.65081
cyborg body,9828506505.650078
portrait,0.05057789682580133
painting,0.031689676205335325
film,0.028102732464848176
artstation,0.010539879886009225
matte painting,0.009681232668362025
cinematic composition,0.00837318241244045
peter elson,0.00785522143008165
cyberpunk,0.0070492071792689
art,0.0069282211554856
illustration art,0.0065581671079238
concept art,0.0064277937683878
clouds,0.006166001693114225
oil painting,0.0056672947213014255
cinematic,0.005497659856739525
fiction film,0.005416946898606199
artstation hyperrealism,0.004912989363601825
photorealistic,0.004798167036065426
steampunk,0.004652459132419875
space,0.00448451345676225
photograph,0.004427085410171625
artwork,0.0043855472267532
digital art,0.004017406627178725
cat,0.00376437981304015
digital painting,0.003740600144470575
uncanny,0.0037236889693362
anime,0.003625385554682825
canvas,0.003611444230317575
art artgerm,0.0035564029085437252
world photography,0.003375870548343425
manga,0.003347066646299175
cinematic deviantart,0.003302200717734075
lifelike photorealistic,0.00323724813373605
photography,0.003202345740820925
unreal engine,0.0031455804443845745
clouds madeira,0.003089387768239375
goddess,0.003030577985060175
food photography,0.0030280244172454
landscape,0.0029928739456801497
photorealistic digital,0.0028070168067203995
deviantart realistic,0.0027660592587308
artstation cinematic,0.002717952346668575
detailed painting,0.00271137338383855
lightning intricate,0.0026410780226396252
deviantart,0.0025870080697775254
century modern,0.00256426144685085
bernard simunovic,0.0025447316619564
dark,0.0025425341972742
city,0.0024196053263051
sky,0.0023828210788652
einstein,0.00233466102054785
room,0.0023169265659014
scene,0.002316097250143149
painting artstation,0.0022639227984775
style portrait,0.002219569080963775
high quality,0.0022183789555973
natural scene,0.0022139354510896
puppy,0.0022112258624442252
forest,0.002189084897514175
gundam,0.0021837972638005755
comprehensive art,0.00215665748490785
flowers,0.0021472499965083
cosmic,0.0021295366919406
sony,0.0021132098368684
lighting,0.002092948037918775
trending artstation,0.0020618594143417502
uncanny painting,0.00204157232509545
creatures surreal,0.0020315548761121
mid century,0.001988860915614275
movie,0.0019886549883681246
matte,0.001986344993387
dramatic lighting,0.00196760193422795
mila kunis,0.0019527686427096
dog,0.0019284325954401
intricate details,0.0019282638408213645
studio ghibli,0.001881004265537925
josan gonzalez,0.0018699769027569998
beneath cherry,0.00185397991634875
puppy sitting,0.001852754657062
scene science,0.0018040086564960474
fantasy painting,0.00178135487134845
alchemical creatures,0.0017386907028958
photo,0.001730248793582875
cute fluffy,0.0017220541439263999
photo realistic,0.0016995610866084002
blinders photography,0.0016905589359768
detailed ultra,0.00166324685338565
surreal dark,0.0016569518980597
castle,0.0016451918203448
minogue barbarella,0.0016325059712346
elson,0.001608652213966675
fiery alchemical,0.0015963735282656
movie poster,0.0015930490723318979
illustrated,0.0015883510743637998
realistic cinematic,0.0015881990497386
fifth element,0.001549550931644275
peter,0.00154271436226785
wallpaper,0.0015183912110181496
goths loitering,0.001517343946029925
painting lush,0.0015062426071641728
robot,0.00148336378798055
dragon,0.001477314813152925
portrait scifi,0.0014747201276903502
ultra realistic,0.001462229525394025
overcast thunder,0.0014409794795328
artstation concept,0.0014395072692352
hd goth,0.001435470509899175
painting peter,0.001424978551153425
footage,0.0014125524062229948
character portrait,0.0014078106810084248
pixar,0.0013986944589657678
spaceship,0.0013972966709874
art trending,0.0013849723816772251
portrait painted,0.0013661778083845
art realistic,0.0013515612500742
art smooth,0.001349733462480625
glamorous sophisticated,0.00134600012057975
ufo,0.0013386739133430796
painting ronny,0.0013359562415729501
art sharp,0.0013272007240826686
edwardian photograph,0.0013205769993582
portrait intricate,0.0013093851188668
skyrim elegant,0.001305932164213775
bonsai,0.00129349913657685
cyborg,0.001264862870433775
painted,0.00125961448927995
bjork,0.00125244726688295
black,0.001249255312343875
painting aesthetic,0.001241706487257035
steampunk himalayan,0.00122700331867415
picasso,0.001186454495948575
artstation galaxy,0.0011833265632563502
frazetta,0.001175341252742
surreal,0.001174948093270825
portrait photograph,0.00117284652694435
donald,0.001171843005603125
saitama anime,0.00116821222314995
butterfly volumetric,0.001167014900611725
fantasy art,0.001155155948153625
