keyphrase,mean_abs_shap
abandoned,5.591251545727681e-06
alien,0.0005858394611873089
alien planet,0.001341001632144772
android cyborg,0.0005596716411389132
anime,0.0004611100679806673
anime colors,0.0002719830141894128
anime epic,0.0
armor daedric,6.3613190405145226e-06
art,2019801756.3452907
art artgerm,0.0025159407993139878
art city,0.0004877612948627703
art hyperrealistic,7.612683825640815e-06
art josan,3.902246057131644e-06
art lifelike,0.0006279641987520388
art punk,0.0004682501306471747
art realistic,0.0
art sharp,2.8175178305466e-05
art smooth,0.0004988197324860947
art style,0.0
art thorough,8.246231160296263e-05
art trending,0.0008888521567711465
artistic,0.0004696077733248401
artistic painting,0.0004989993227751766
artstation,0.0020497676599049164
artstation cinematic,0.00038494713871372303
artstation galaxy,1.1893468720749792e-05
artstation hyperrealism,0.00045269095648005673
artwork,0.0023985994736104186
atmospheric lighting,0.0027822891663010366
avant garde,0.0
azores,2.049996012240819e-06
azores islands,0.0
beautiful landscape,0.00045270398238568527
beneath cherry,8.804123165992901e-08
bjork,7.246540633864355e-05
black,0.0005322898371618893
body manga,0.0
body portrait,0.0
body shot,0.0007121212719107146
bonsai,0.0008638492723471493
bonsai tree,0.0004077417133527652
bull looking,0.00033585523177517574
bull modeled,0.000578502224356729
butterfly volumetric,0.0004623091755175143
camera,0.0012774420301902634
candle butterfly,0.00047497854691612754
candle volumetric,1.1898340932237234e-06
canvas,0.0019752624848073342
castle,6.639002448770352e-05
castle enclosed,0.0
cat,1.0870768022514422e-06
century,0.0
century modern,0.0
character portrait,0.0005912605247500009
chris,0.0
chris foss,0.0
churches domes,0.0
cinematic,2.9859544890924687e-06
cinematic composition,6.666927751218689e-06
cinematic deviantart,0.00046303627151823276
city,0.00010233230839221833
cloud fashion,0.0005801465708002757
clouds,0.005712707753617986
clouds covered,0.0
clouds girl,0.0011442364048395027
clouds madeira,5.898937097915809e-06
collage canvas,0.0004089144265050829
colors,0.0003845368960440849
colossal,0.0005070649523649594
colossal goddess,0.0005146555110092324
comprehensive art,4.3882842287872343e-07
concept art,0.020987942884068238
contemporary art,0.000452305140536534
cute fluffy,6.839741791952921e-05
cyberpunk,0.00042144765498296216
cyborg,0.00042544171993994304
cyborg body,0.0004170517523670901
cyborg bull,0.00045736794300065676
daedric armor,3.138931576841203e-06
dark,0.0004974576415473802
dark uncanny,0.003392405342248885
detailed painting,0.0007934874964279413
detailed portrait,2.39561404540092e-05
detailed ultra,0.0004645456310193222
details intricate,0.0005797882728516414
detective pikachu,0.00015541134114902696
deviantart,0.0022733761725578084
deviantart hyperrealistic,0.0
deviantart realistic,0.004100731623189967
digital art,0.00783319393405818
digital painting,0.05261151461297585
digital render,0.0011636541918905248
divine,7.308424822766576e-05
divine pink,1.537597546649734e-05
dog,0.0
donald,0.00231940943584169
dragon,0.00040416200876339356
dramatic lighting,3.891542158953253e-06
drawing,0.0005419764504074122
dunmer nerevarine,0.0
einstein,0.00146478792738319
elf,3.455008085626816e-05
elson,0.0061342174362861
emo,0.0
emo punk,0.0004859217015755814
engine,0.00046406995314980616
entries sony,0.0005464934910422452
fantasy art,0.0011191646269785378
fantasy painting,0.0006317763366185836
fantasy style,0.0005057026782914392
faroe azores,0.0
fashion clouds,0.00036833634470333215
fiction,0.0006350996563907589
fiction film,0.0005100380442536045
fifth element,0.0
film,0.013305860017747063
film neuromancer,0.0019536462907756257
flamingos,0.0
flowers,0.0
fluffy,0.0
footage,0.003956203291067722
forest,0.0
frazetta,0.00044874462384411916
frazetta fantasy,0.0
frazetta giger,0.0005057241427949135
futuristic,1.5335860955539017e-05
garden,0.0
garden intricate,0.00045092174857013124
giant digital,0.0005188348932695586
girl clouds,0.0007678818148662407
glamorous sophisticated,0.0
glimpse universe,1.1202732755284569e-05
goddess,0.005665636090618286
goddess creative,0.0004467030571342683
goddess wearing,4402420763.561366
gordon,4402420763.561086
goth,0.000593699063308758
goth emo,0.0003778164253173659
goths,6.351356396658655e-06
goths loitering,1.0143047935693178e-06
gundam,0.0
gundam unreal,0.0
gustav klimt,0.0015222419238273654
hd,0.0
hd goth,0.00044867154923704537
hd painting,0.0013448493533215757
