keyphrase,mean_abs_shap
abandoned,0.0002029664940514731
alchemical creatures,0.0021083036331435534
alien,0.003221269190483038
alien planet,0.0032747712150192486
android cyborg,9.974979643690201e-05
anime,0.003205363733399212
anime colors,0.0008526146072757399
anime epic,0.0021184213725386376
armor daedric,0.004845038749318369
art,0.011500285948911844
art artgerm,0.008690707642331708
art hyperrealistic,0.002050456324641987
art lifelike,0.003510503574079888
art punk,0.0017239469837324712
art realistic,0.00010426481482898509
art sharp,0.0020181374641464983
art smooth,0.00496674663808416
art style,0.001963025514980964
art thorough,0.0017466390731831851
art trending,0.004040824180831906
artistic,0.0014200935052285024
artistic painting,0.0020038345507040717
artstation,0.011255674286315203
artstation cinematic,0.0012899861573437996
artstation concept,0.001489333899595713
artstation galaxy,0.0008274915737240722
artstation hyperrealism,0.0010310234161612136
artwork,0.004972470700912136
atmospheric lighting,0.0015826489296622828
azores,0.0020817758955639443
barbarella,1.7672045006157753e-05
beautiful,0.00021196297418345347
beautiful landscape,0.001332224241233973
beksinski,0.001031912054399726
beneath cherry,0.0010176671180810168
bernard simunovic,0.0015485294307028743
bjork,0.00046601822688006406
black,0.0011911863362107395
blinders photography,0.00028647621149345494
body manga,0.0018335154167268516
body portrait,0.003904191447254561
body shot,0.0005713204651752286
bonsai,0.003881682214886036
bonsai tree,0.003583647564759026
bull looking,3.0365375445324286e-05
bull modeled,4.9161917439876374e-05
butterfly volumetric,0.0012869743924201452
camera,0.0002535322703739098
candle butterfly,0.0019996694063392382
candle volumetric,0.00019215422513949788
canvas,0.005740806541229145
castle,0.0024609356277155736
cat,0.0021187393916345084
century,0.0020704170342342896
century modern,0.004090029991521254
character portrait,0.009359869849613378
cinematic,0.005549975091336843
cinematic composition,0.0017797097531156586
cinematic deviantart,0.0057867000453767255
city,0.002256036511872292
clouds,0.016530662370834077
clouds madeira,0.0005553509089677222
collage canvas,0.0014325234157585806
colors,0.0024163588949086805
colossal,0.0013422923660465125
colossal goddess,0.0020753710410177004
comprehensive art,0.002053914110380444
concept art,0.008822617803010021
contemporary art,0.002374798605471708
cosmic,0.0005515988640745058
creatures surreal,0.001057592566565664
cute fluffy,0.0012404549507998113
cyberpunk,0.004204724152804241
cyborg,0.000369821792706506
cyborg body,0.0005362849652548779
cyborg bull,0.0006645571097197546
daedric armor,0.0014816265328168915
dark,0.0024975162422307593
dark uncanny,0.002412093621751143
detailed painting,0.0029846982819695623
detailed portrait,0.005212284932233338
detailed ultra,0.0021271454925500823
detective pikachu,0.0008463777325996791
deviantart,0.004208130337346649
deviantart cinematic,0.0014150219702908312
deviantart hyperrealistic,0.002084789454195801
deviantart realistic,0.011641350629534284
digital art,0.011446206563814326
digital painting,0.011877639709637606
digital render,0.0033479263141218394
divine,0.0017970330110958228
divine pink,0.0011132889086355275
dog,0.0024199189390331946
donald,0.0036448419755146563
dragon,0.0032601668390561615
dramatic lighting,0.0010911436054664885
drawing,0.0007130706561144577
dunmer nerevarine,0.0018037181204721897
edwardian photograph,0.00014704023580044617
einstein,0.003644655514288771
elf,0.0021366828204260903
elson,0.004444479387797918
emo,0.001052053301837128
emo punk,0.002088243215259907
engine,0.0004993579020434922
entries sony,0.0017830168227885507
fantasy art,0.004897728856794961
fantasy painting,0.005748863669018599
fantasy style,2.5265281777311847e-05
faroe azores,0.0012233522730816264
fiction,0.0020396089532111303
fiction film,0.0029328981164116657
fiery alchemical,0.0013881814930089493
fifth element,0.0026879640786627457
film,0.010883696100752766
film neuromancer,0.0035098497458373795
flamingos,0.00017073351776414358
flowers,0.0005197128673805639
fluffy,0.0015758859148826277
food photography,0.0005231102092482319
footage,0.005991489010447141
forest,0.001455855617946623
frazetta,0.0027411014363193003
frazetta giger,0.003299815533148961
futuristic,0.00039369065810479866
garden,0.003408373225219377
garden intricate,0.0011516182864030285
giant digital,0.0019937012614939646
glamorous sophisticated,0.00020471154871130694
goddess,0.0038438022842413482
goddess creative,0.001365418224574629
gordon,0.0036569420837038844
goth,0.0020336222566773327
goth emo,0.0008380427467482704
goths,5.9431697602738366e-05
goths loitering,0.0014063120388945632
gundam,0.000626837279583102
gundam unreal,0.0007811119640805663
hd,0.0007405237476843057
hd goth,0.001236879128635491
hd painting,0.0019639500981237295
hd unreal,0.002307357987404202
headshot edwardian,0.0003426644477939581
heavy detailed,0.0034382686647894995
high quality,167748780355.7849
himalayan,0.001095766046731504
himalayan rocksalt,0.0012512977220535098
houses,0.0005347921784947486
houses built,2.0951448538684296e-05
hyper detailed,0.005285947694128295
illustration art,0.00630889395341108
imposing cyborg,0.0002990500149745082
intricate details,0.00740610275655386
intricate hyper,0.0022799447103502932
intricate royo,0.001533671960392597
intricate volumetric,0.0033982693881166957
jacket black,0.0022824744202058793
josan,0.0004937447894941125
josan gonzalez,0.0006663625108707807
kylie,0.0003185586402315551
kylie minogue,0.0005387309178419581
lamp,0.0018405919932213762
landscape,0.004852461937022969
landscape colourful,0.0
lantern candle,0.001411757734287471
length portrait,0.003089909561599955
lifelike photorealistic,0.003905169525937185
lighting,0.00250164831001576
lightning intricate,0.001074631589738647
log houses,6.0112788301495007e-05
looking camera,0.0008949262425221897
low clouds,0.0014636802151188665
madeira faroe,0.0002762808868537085
male dunmer,0.001406225542034275
manga,0.0016163484557296917
manga illustration,0.00047834312573543454
marble hourglass,0.0024001417771249652
matte,0.002580297165810398
matte painting,0.017012557730427126
media collage,0.0015778569836741652
mid century,0.003331423636515202
mila kunis,0.0030396073447365815
minogue,2.438836177191796e-05
minogue barbarella,0.0006498201576347484
mixed media,0.00223480386644209
modern,0.0016871659815008702
modern art,0.005660557647535138
movie,0.003083729454921416
movie poster,0.0019339703639626583
natural scene,0.0014252913619163686
nerevarine,0.0013779309570946352
neuromancer,0.00259347595469693
oblivion skyrim,0.0019446768446429786
octane render,0.0013784968505350526
oil painting,0.003868535719922072
overcast thunder,0.0016655955753917134
pablo picasso,0.0015427866843177613
painted,0.003877151439718482
painted pablo,0.004211660907129765
painting,0.02546497637023238
painting aesthetic,0.0018880727483883998
painting artstation,0.0019416944079762317
painting beautiful,0.006392150615785274
painting character,0.0010625194396390585
painting deviantart,0.004518581801052518
painting lurid,0.0031230734313251306
painting lush,0.0031368001340184187
painting peter,0.0033639308439427653
painting ronny,0.0041158807975889555
painting sargent,0.006702744155792104
painting stalenhag,0.0029611861902378023
painting unreal,0.0015399711141054911
peter,0.006366060811036944
peter elson,0.0014069685248221248
photo,0.0051200711836103556
photo realistic,0.0020173836155132434
photograph,0.002265038822660503
photograph divine,0.0037567004249806717
photography,0.004323524692159472
photography awards,9.403159770061227e-05
photorealistic,0.012130405457666266
photorealistic digital,0.001690297598772349
phyics entries,0.003229480445216525
picasso,0.0078106536602306174
picasso hair,0.0011865209589803428
pikachu hannah,0.0007514166318547402
pink bonsai,0.0011762435172340733
pink flamingos,0.0
pixar,0.002610961651049118
pixie cut,0.0013813502958152707
portrait,0.011948954760036434
portrait extremely,0.001514642348598545
portrait intricate,0.004978148411832341
portrait male,0.0014631507633999783
portrait painted,0.0029026447554507738
portrait painting,0.0014535007028907184
portrait photograph,0.0018273105911700202
portrait sabouts,0.0009244844493055836
portrait scifi,0.003168746562395985
punk art,0.0022776067300766182
punk portrait,0.0015455386944774828
puppy,0.003260854297798837
puppy sitting,0.001117257391252202
realistic cinematic,0.0013974768876461616
render hyperrealist,0.0029081994297930707
robot,0.002169991707349441
rocksalt lamp,0.0012618498826350425
room,0.0021393378004581753
rpg portrait,0.0020858615088664317
ruins,0.0005347508670338748
runway,0.0016402222858799655
saitama,0.0015584401627761922
saitama anime,0.0024584648723195005
scariest looking,0.000485233768260248
scene,0.003404741087606059
scene science,0.0012473063604339118
science,0.0012429195898106722
science fiction,0.005608228978311143
screenshot,0.001608359749227912
shade talking,5.838155644429917e-05
sitting snowy,0.0012656825411659662
sky,0.0024329752673419554
skyrim elegant,167748780355.7812
snowy,0.0022969124267103605
sony,0.00029506830215696183
sony world,0.0010543728687483311
space,0.0027140924356625473
spaceship,0.0012206366625122835
starmaker,0.0009189001516191515
starmaker matte,0.0018097394092003443
stars,0.0006851133834278676
statue,0.0027178977266841577
steampunk,0.004772068990279777
steampunk himalayan,0.0035166190541510304
studio ghibli,0.0008701530636259199
style contemporary,0.0032959651902596866
style portrait,0.007097502955619847
surreal,0.004327571213964151
surreal concept,0.0013990095375452048
surreal dark,0.0019072080642531105
surrealism,0.007580945982360157
surrealism surreal,0.0013426264532528087
tracing artstation,0.0002619867801227602
traits painting,0.0039186647512976765
trending artstation,0.0036146571502153383
ufo,0.002938997581067862
ufo ignoring,0.00397496410008665
ultra realistic,0.003550724473251436
uncanny,0.0019357200858313114
uncanny painting,0.0012531088310783534
unreal engine,0.016129035690004213
vallejo frazetta,0.002355385390032714
vivec portrait,0.0017094644050378409
volumetric lighting,0.005908474594985918
wallpaper,0.0016297077152994711
wallpaper illustration,0.0014408507029444967
wizard,0.0009266203909012955
woman,0.0034278551259408715
world photography,0.0014263111396723334
zdzislaw beksinski,0.001750897441995082
