keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0011986330131511433
alien planet,3.1365928844203454e-06
android cyborg,0.0009444770349060533
anime,0.0013269925051187404
anime colors,0.0008829453885752291
anime epic,0.0010938852103814668
armor daedric,0.0013408717171473877
art,0.016866542494490912
art artgerm,0.003184345795592343
art city,0.00104626843288232
art hyperrealistic,0.00022030319816218724
art josan,0.0010185517400343003
art lifelike,2.3995053999332403e-05
art punk,0.0003315909106039446
art realistic,0.0015215575384642127
art sharp,0.0013012486857128134
art smooth,0.001616053612809687
art style,0.00022402334806009602
art thorough,0.001069912696959888
art trending,0.002701439098353893
artistic,0.00048243721472501625
artistic painting,7.809037465952167e-05
artstation,0.0030785299458778647
artstation cinematic,0.001966388931752541
artstation galaxy,8.143776682612112e-05
artstation hyperrealism,0.000997667837807696
artwork,0.0041684286036228445
atmospheric lighting,0.007024973864125305
avant garde,0.0009836920883312021
azores,3.192180462439125e-05
azores islands,0.000648578598635588
beautiful landscape,7.015472693906006e-05
beneath cherry,0.0013801330715516183
bjork,0.0017440416436539038
black,0.0003287765624406393
body manga,0.0007348969282723306
body portrait,0.0011428816917727254
body shot,0.001250543606330018
bonsai,0.002433265263834289
bonsai tree,0.0008506025910076245
bull looking,0.0013571012970420662
bull modeled,0.0009338041941844235
butterfly volumetric,0.0012802125670704923
camera,0.001347868571469189
candle butterfly,0.0009889200886613579
candle volumetric,5.653643251452783e-05
canvas,0.0014822663000594084
castle,0.004610651385043902
castle enclosed,0.0010606329361806195
cat,0.0014631166250558272
century,0.00023587014295824198
century modern,0.002189761628892708
character portrait,0.0011370961678100404
chris,0.0004519483069343335
chris foss,1.7984375533119984e-05
churches domes,0.0010517876172943216
cinematic,0.0025224996861464124
cinematic composition,0.0013448978670232664
cinematic deviantart,0.0008487935499503526
city,0.001659358891294674
cloud fashion,0.00130888151016378
clouds,0.0048163362469512815
clouds covered,0.0010385248158276885
clouds girl,0.0011786850341496834
clouds madeira,0.00015700075564584938
collage canvas,0.00012233685269339776
colors,0.000277388744118635
colossal,0.0009921912889102257
colossal goddess,88977382606.01164
comprehensive art,0.0012717165267443706
concept art,88977382606.06061
contemporary art,0.00019956396818228048
cute fluffy,0.001154574441063266
cyberpunk,0.002556035547667999
cyborg,0.0011672711825545254
cyborg body,0.0009044861126833398
cyborg bull,0.0010588690046356207
daedric armor,0.00020295409445919587
dark,0.0017464107973506554
dark uncanny,0.014909936805492465
detailed painting,0.0031729805351542557
detailed portrait,0.0015328227952186334
detailed ultra,0.001340578438380164
details intricate,0.0016721533741492153
detective pikachu,0.0015842354587661664
deviantart,0.0027140540684833974
deviantart hyperrealistic,1.1088491700456746e-05
deviantart realistic,0.008347605037434862
digital art,0.009509762207708546
digital painting,0.0497782808816016
digital render,0.0
divine,0.000581953694847043
divine pink,7.469880734557632e-06
dog,0.002034318421262565
donald,0.0032889591617699
dragon,0.000878270164990547
dramatic lighting,0.0015106388313432615
drawing,0.0007271690532991398
dunmer nerevarine,2.323152532033763e-05
einstein,0.0030249295922936616
elf,0.00038858832341280385
elson,0.008576342815058742
emo,0.003653199271944783
emo punk,0.0009376749794880912
engine,0.00013258876128151783
entries sony,0.002873596861767927
fantasy art,0.003725557132115323
fantasy painting,0.005382381266654519
fantasy style,61394661621.60678
faroe azores,0.001312662863207478
fashion clouds,0.00024425165669260407
fiction,0.0011315755128525774
fiction film,0.0010877900729799822
fifth element,0.0009596700189513478
film,0.02272191160456546
film neuromancer,0.0009645060390988733
flamingos,2.2799485485936645e-05
flowers,0.00019786957181352924
fluffy,0.001774444151827147
footage,0.005477561997045342
forest,0.0008539927396605496
frazetta,0.0008410180998705826
frazetta fantasy,0.0011623447086687591
frazetta giger,0.0008998468988217533
futuristic,0.00015096530271461978
garden,0.0017918528302066014
garden intricate,0.001362123790722291
giant digital,0.0009822475695222147
girl clouds,0.0013966770968298695
glamorous sophisticated,3.534016329232571e-05
glimpse universe,0.0008716924968540658
goddess,0.013281520717352386
goddess creative,0.0008884795732730263
goddess wearing,0.001877307823065173
gordon,0.001764004007243259
goth,0.0012811009310365264
goth emo,0.0011275139944470901
goths,0.0010578782257652114
goths loitering,0.0012394050339929487
gundam,0.0012040927895929788
gundam unreal,0.001300502941470064
gustav klimt,0.0024450724361365474
hd,0.00037743564113489346
hd goth,0.0011126385298438203
hd painting,0.0018074959912741395
hd unreal,0.000935649116211052
heavy detailed,0.00015198505581510028
high quality,0.0019643476724370027
hills slavic,0.0007816692038580407
himalayan,0.00024555979475673044
himalayan rocksalt,0.0
houses,0.0010662878610713895
houses built,0.0010374608212985585
hyper detailed,0.004400195144614895
illustrated,0.0020306721793288806
illustration,0.000921656740266559
illustration art,0.002541731894888428
imposing cyborg,0.0011170769386883675
intricate details,0.0020634369149127333
intricate hyper,0.0001125823964990819
intricate royo,2.790229738119648e-05
intricate volumetric,0.0005733913395251035
josan,0.0009411950288851151
josan gonzalez,0.0011279585889697897
knight,0.0001792107140049795
kylie,9.910658747948078e-05
kylie minogue,9.566916365026086e-05
lamp,0.0
landscape,0.002625408796807514
landscape colourful,5.639028326528729e-05
lantern candle,0.0002980951439892023
length portrait,0.0015888590863518742
lifelike photorealistic,0.0014884292532002387
lighting,0.0035526339548779765
lighting hd,0.001252149189021069
lightning intricate,0.0001475760574419522
log houses,0.0010922201017961662
looking camera,0.0011588345894980694
low clouds,6.425730114385138e-05
madeira faroe,0.00044217785054972736
male dunmer,0.0
manga,0.0016996194600206183
manga illustration,0.00018997660798685518
marble hourglass,0.0023986124190499467
matte,0.0017006447605869305
matte painting,0.02739282113857827
media collage,1.2775698410215222e-05
mid century,0.0039007977751624712
minogue,7.875655502872195e-05
mixed media,0.0004431672628574109
modern,0.000112790043602831
modern art,0.0048946871140325265
movie,0.0005932387912943772
movie poster,0.0003668910604875939
natural scene,0.0011981997424044303
nerevarine,0.000141575896821394
neuromancer,0.0009739568751912126
oblivion skyrim,0.00013880901186448307
octane render,0.0002064441449385809
oil painting,0.0025086127905126414
overcast thunder,3.060320801177305e-05
pablo picasso,4.035588820003979e-05
painted,0.0021072375763078314
painted pablo,4.840097378807908e-05
painting,0.009605905634630554
painting aesthetic,6.7564477502634425e-06
painting artstation,0.0016519367151101448
painting beautiful,0.0030641135429339767
painting character,0.000916625535139833
painting chris,0.00015150715645318707
painting deviantart,0.0011432280720811946
painting lurid,0.00041222053779740815
painting lush,7.941411512240901e-06
painting peter,0.0011071204299237618
painting ronny,0.006644537998872537
painting sargent,0.0016436012671137874
painting stalenhag,0.000831846128329116
painting unreal,0.0003722053440712533
peter,0.007401276580289526
peter elson,0.0008153940856022385
photo,0.0014744131511416315
photo realistic,0.00023272335453235348
photograph,0.0014528906460427047
photograph divine,0.002762624458332004
photography,0.0027479192569199963
photography awards,0.0012104889236888878
photorealistic,0.030494927098141847
photorealistic digital,0.0011345786222986302
phyics entries,0.004159812247690942
picasso,0.014880377816951182
picasso hair,5.0073019923772565e-05
pikachu hannah,0.0017224496960422918
pink bonsai,0.0008611956363879791
pink flamingos,0.0
pixar,61394661621.60651
pixie cut,0.0013099902492792518
portrait,0.010054567225969039
portrait extremely,0.001028838014302573
portrait intricate,0.00014551750446576802
portrait male,1.9539524837008408e-05
portrait painted,0.0011995415522139219
portrait painting,0.002191522677087953
portrait photograph,0.00029671506318021873
portrait sabouts,0.0001519521514181012
portrait scifi,0.00327747779595106
punk art,0.00024091348984595507
punk portrait,0.0008442996209743024
puppy,0.0011837280041378847
render hyperrealist,0.0010166759390702004
robot,0.002095112023120695
rocksalt lamp,5.534982437149951e-06
rpg portrait,0.0010618156227729877
