keyphrase,mean_abs_shap
abandoned,0.0004884770265415253
alien,0.0006971205798697817
alien planet,0.002227274543239309
android cyborg,0.0010852647351136694
anime,0.002413112310570272
anime colors,0.0016862879400831147
anime epic,0.0011315130590505156
armor daedric,0.0018710254671589596
art,0.010168487610051397
art artgerm,0.003675505414565531
art city,0.00016959238479335412
art hyperrealistic,0.00035807343439008
art josan,1.2106220015461539e-05
art lifelike,0.0019318850731186432
art punk,0.00011274185608082636
art realistic,0.00025342754171819984
art sharp,0.0036306382482645103
art smooth,0.0006596063643825199
art style,0.001540029818192781
art thorough,0.002119031559778186
art trending,0.0037216513000810007
artistic,0.0007169808138444138
artistic painting,0.0002057831302607567
artstation,0.005983142118514328
artstation cinematic,0.0009511611975939017
artstation galaxy,0.00016308160831549244
artstation hyperrealism,0.00028423794573298727
artwork,0.00348615752206892
atmospheric lighting,0.0015118011659103908
avant garde,0.00040592421596343377
azores,0.00035327480641074617
azores islands,0.000700707980715289
beautiful landscape,0.0016271017821719933
beneath cherry,0.0010855243764110727
bjork,0.0014291243373874421
black,0.00200151944265564
body manga,0.00024173245500854585
body portrait,0.0027222928584173796
body shot,0.0010389895831286159
bonsai,0.0014743941842334128
bonsai tree,0.0002073711036448756
bull looking,0.0008786496244373748
bull modeled,0.0009744565307614214
butterfly volumetric,0.0001653415149041546
camera,0.0014641835095721997
candle butterfly,9.847423681796912e-05
candle volumetric,0.0011019046704024607
canvas,0.00255164840014467
castle,0.002875906152588269
castle enclosed,0.0011103653004691611
cat,0.0003749433654167417
century,0.00023098481895898442
century modern,0.003109706981789611
character portrait,0.002242825321621739
chris,0.0021752873944525727
chris foss,0.0012019118553606137
churches domes,0.0008831041989253956
cinematic,0.007440238267842503
cinematic composition,0.000497454140224613
cinematic deviantart,0.0012667785420573843
city,0.0016179671895350937
cloud fashion,0.00017485060462509358
clouds,0.005344021587823086
clouds covered,0.00020022937195169352
clouds girl,0.0005503750997973416
clouds madeira,0.0002636783814238004
collage canvas,0.00022478229926165151
colors,0.000419450331533682
colossal,0.0006477764498645584
colossal goddess,0.00120544713869608
comprehensive art,0.001497812320608813
concept art,0.011183469490261952
contemporary art,0.0001229590258345717
cute fluffy,0.0011604922044426444
cyberpunk,0.0013121212213054736
cyborg,0.001449350816948114
cyborg body,0.0012891826754969787
cyborg bull,0.0014043735248322395
daedric armor,0.0013673276887885084
dark,0.0048617663392574164
dark uncanny,0.0037354839626967005
detailed painting,0.0032137361131229386
detailed portrait,0.000256319055113676
