keyphrase,adjusted_mean_shap
portrait,100812066105.99207
deviantart,100812066105.98842
high quality,41937195088.94719
skyrim elegant,41937195088.945786
concept art,22244345651.525402
colossal goddess,22244345651.50386
pixar,15348665405.403244
fantasy style,15348665405.401829
goddess wearing,1467473587.854747
gordon,1100605190.8924074
art,504950439.09595656
phyics entries,504950439.0892829
digital painting,0.034568697072932725
painting,0.017632345291895325
photorealistic,0.017481485160722274
matte painting,0.016343258438284648
film,0.013647430403437523
unreal engine,0.012183130600764425
digital art,0.010003700079900424
picasso,0.009952999065639123
clouds,0.008100931989806525
elson,0.0076501635925336755
deviantart realistic,0.0076451753100409995
woman,0.0071943742796292745
peter,0.0069106910420667
style portrait,0.0063417217869773754
dark uncanny,0.00611247993304725
goddess,0.006020297646677825
artstation,0.00559177850265305
intricate details,0.005321578560845249
illustration art,0.005049600496596749
surreal,0.0050000360591087
painting beautiful,0.004983461888143624
footage,0.004899061098705125
hyper detailed,0.0048394975877498
surrealism,0.004617942516258325
art artgerm,0.004516624912950851
modern art,0.0045163496567360755
painting ronny,0.0042388594072919
fantasy art,0.003885290075380075
cinematic,0.003878924749953698
artwork,0.00375641407505355
fantasy painting,0.0036010356547171753
character portrait,0.0033327629659487498
scene,0.003328745772159675
lighting,0.0033061770607018
atmospheric lighting,0.0032254282814997
mid century,0.0032000976123051
mila kunis,0.0030396073447365
trending artstation,0.00295853532611945
ufo ignoring,0.002943185011005425
canvas,0.0029374959315601
art trending,0.00283819168400945
painting sargent,0.002834856528405025
painting deviantart,0.0028290061524692753
landscape,0.00281286102085005
donald,0.00277830519094985
lifelike photorealistic,0.00266683757457555
science fiction,0.002652702554161175
einstein,0.00256042408470355
detailed painting,0.002541225606668625
castle,0.002503470797458826
sky,0.0024329752673419
photograph divine,0.0024317775711491
oil painting,0.00242704444951125
movie,0.0024211703078041
dark,0.0024007877550965
century modern,0.002347374650550875
photography,0.0023084344368285
snowy,0.0022969124267103
jacket black,0.0022824744202058
portrait scifi,0.002260102341181775
steampunk,0.0022189943803237753
bonsai,0.002163297733825175
room,0.0021393378004581
cyberpunk,0.0021235821441901
alchemical creatures,0.0021083036331435
cinematic deviantart,0.002091327102225625
garden,0.002072955113044825
dragon,0.002067875663501375
photo,0.002059968509938
sony world,0.00202360078754685
armor daedric,0.0020158243131662536
marble hourglass,0.0019965224249210997
ultra realistic,0.0019946442180004504
painted,0.001990542380375275
body portrait,0.0019423414993611251
uncanny,0.0019357200858313
art smooth,0.00193530658694055
surreal dark,0.0019072080642531
portrait painting,0.0018827553802680998
