keyphrase,mean_abs_shap
abandoned,0.0005385381266363476
alien,0.0005311997248749349
alien planet,0.0
android cyborg,1.8587835851046678e-06
anime,0.0006243670776077343
anime colors,0.0006313833999425628
anime epic,1.506407151832485e-05
armor daedric,0.0005839920830185172
art,0.0017134396044865136
art artgerm,0.0005330205757251813
art city,2.750029107405393e-06
art hyperrealistic,1.680428206122226e-05
art josan,0.0005260465970710312
art lifelike,0.000580413130400448
art punk,0.001090590300377505
art realistic,0.0005126306738365957
art sharp,0.0004908957305750516
art smooth,0.000641575560730786
art style,0.0010887227050539617
art thorough,0.000538277403351589
art trending,0.0006219578442359562
artistic,0.0
artistic painting,0.0
artstation,0.008487358766438035
artstation cinematic,0.0026124137386710974
artstation galaxy,3.849297746613812e-05
artstation hyperrealism,0.004668395621697399
artwork,0.0004897128816085812
atmospheric lighting,0.0007061680953458223
avant garde,0.0
azores,0.000514803695292124
azores islands,0.0005053071359990181
beautiful landscape,0.0
beneath cherry,0.0005282482216819079
bjork,0.00047047729372532115
black,0.0010708691705241572
body manga,0.0
body portrait,0.001437327629942092
body shot,9.294924259396414e-06
bonsai,0.0017492463500409577
bonsai tree,0.0
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0
camera,0.0
candle butterfly,1.260970355303552e-05
candle volumetric,1.3534228330279039e-05
canvas,8.253405352927931e-06
castle,0.0005175598923634927
castle enclosed,0.0
cat,0.0
century,0.00036134997108927346
century modern,0.0005783980871327904
character portrait,0.004472419217308829
chris,0.0
chris foss,0.0
churches domes,0.0
cinematic,0.0012737284291372232
cinematic composition,0.006930391445985397
cinematic deviantart,0.0004968993603831357
city,0.0007680375227145287
cloud fashion,1.6634255726650249e-06
clouds,0.0023062453031199174
clouds covered,0.0004923970580926395
clouds girl,1.9376457140735607e-05
clouds madeira,0.0026006962360003764
collage canvas,0.0012645792389424447
colors,0.0
colossal,0.00046253128034659085
colossal goddess,0.0004404697147710766
comprehensive art,0.0026833843727625093
concept art,0.018581933583596204
contemporary art,0.0005335585761242614
cute fluffy,0.0035821303792431414
cyberpunk,0.0006885036501885965
cyborg,5.386085950707932e-06
cyborg body,1.8924569281930171e-06
cyborg bull,0.0
daedric armor,0.0004305713722281053
dark,0.0007179746935433476
dark uncanny,7.809690742841901e-06
detailed painting,0.0004110650783003168
detailed portrait,0.0005905523640074394
detailed ultra,0.0004920691029912022
details intricate,0.0005150770571008276
detective pikachu,0.00028469926468781357
deviantart,0.013552415280468123
deviantart hyperrealistic,1.9708070110899006e-06
deviantart realistic,0.006635182461323945
digital art,0.0005982312384173363
digital painting,0.0028065979515671108
digital render,0.0
divine,0.0
divine pink,0.0
dog,2.714824825617617e-06
donald,0.0016365742951749934
dragon,0.0
dramatic lighting,0.0010100489921221352
drawing,0.0
dunmer nerevarine,0.0004962451986721716
einstein,0.0005492978481321652
elf,1.0089507936131709e-05
elson,0.0007738758221694776
emo,0.0
emo punk,6.926179148261366e-06
engine,0.0
entries sony,0.0005056054094019528
fantasy art,6.985631924995431e-06
fantasy painting,3.5769350018573284e-06
fantasy style,1.572551395728965e-06
faroe azores,0.00044339272526547384
fashion clouds,0.00045905321499700393
fiction,0.0008484581516219312
fiction film,0.010944081716130072
fifth element,1.3457113475266467e-05
film,0.04033628465018555
film neuromancer,0.0005187703683098835
flamingos,0.0
flowers,0.0005471749334568472
fluffy,0.0
footage,5.1528118676033636e-06
forest,0.0002825218647067288
frazetta,0.0
frazetta fantasy,0.0
frazetta giger,0.0
futuristic,0.0
garden,0.0004984066717411942
garden intricate,0.0004654992596400587
giant digital,0.0005386748332143747
girl clouds,0.0
glamorous sophisticated,0.0013177699670959984
glimpse universe,0.00043094181044352604
goddess,0.0006387061770136349
goddess creative,4.546294268432187e-06
goddess wearing,3.574515041326239e-05
gordon,0.0004195860988050792
goth,8.91368977060439e-06
goth emo,6.475035462130258e-06
goths,0.0004906683097279043
goths loitering,0.000654273652889312
gundam,0.002372057778732198
gundam unreal,0.0005091805848555209
gustav klimt,0.0005082033271109539
hd,0.00018731759684444127
hd goth,1.3236742723744318e-05
hd painting,0.0005084890324032312
hd unreal,1.1032875186935417e-05
heavy detailed,1.3821861520163528e-05
high quality,0.0008466600273251571
hills slavic,0.0
himalayan,2.3785046879771596e-06
