keyphrase,mean_abs_shap
abandoned,0.002163239485431076
alchemical creatures,0.0022560721341241363
alien,0.0012705064368740255
alien planet,0.0011032818419547735
android cyborg,0.0015617747936391927
anime,0.006291833784639576
anime colors,0.00012914630949388922
anime epic,0.0009526012123485312
armor daedric,0.001499192325407607
art,0.01998562866032607
art artgerm,0.0022042824023147155
art hyperrealistic,0.0007152314587161822
art lifelike,0.0010918495147392033
art punk,2.9530296793118185e-05
art realistic,0.0023027181137268062
art sharp,0.001986651520328267
art smooth,0.00525881579146514
art style,0.002526666936981019
art thorough,0.003089498992630597
art trending,0.0013400227133597215
artistic,0.0022036569326793344
artistic painting,0.0004562159590786574
artstation,0.007484221745834182
artstation cinematic,0.004417155080071722
artstation concept,0.0018138860919903563
artstation galaxy,0.001657843202862618
artstation hyperrealism,0.0040855811378139465
artwork,0.0021496099034310017
atmospheric lighting,0.0017267108609327032
azores,7.908348670989415e-05
barbarella,0.001664588654535419
beautiful,0.00014596267572828994
beautiful landscape,0.0015685207809744575
beksinski,0.0011926173239168907
beneath cherry,0.0031142538722669804
bernard simunovic,0.0027975456859634174
bjork,0.0009730760999707027
black,0.004174046668265137
blinders photography,0.0013025091752200896
body manga,0.004342269941353536
body portrait,0.0018135052545964151
body shot,0.001228868961511955
bonsai,0.002796101960764708
bonsai tree,7.927552338397326e-05
bull looking,0.001077443799715787
bull modeled,0.0012568768922937164
butterfly volumetric,0.0023123717936420728
camera,0.001508985182473144
candle butterfly,0.0026585641006796486
candle volumetric,0.0001629980949280621
canvas,0.0064809038452103415
castle,0.00045149975368793737
cat,0.002394925564502712
century,0.001966330755923392
century modern,0.0027237336751901368
character portrait,0.0016140679157566778
cinematic,0.0069972933780071125
cinematic composition,0.007123482748260436
cinematic deviantart,0.0003019280841554969
city,0.003806890326849073
clouds,0.004915970721541065
clouds madeira,0.003494902221950067
collage canvas,0.0006919414283207082
colors,0.0005299319304012315
colossal,0.0010511634801295216
colossal goddess,0.001894226598449573
comprehensive art,0.005656917298301094
concept art,0.015433211843966428
contemporary art,0.00018837042689721074
cosmic,0.0006558802463643428
creatures surreal,0.0009444871309875969
cute fluffy,0.008098438716878825
cyberpunk,0.0026716840524776022
cyborg,0.005169801980253546
cyborg body,0.0010741945147229863
cyborg bull,0.0012993814739986253
daedric armor,0.0023982073047947848
