keyphrase,mean_abs_shap
abandoned,0.00163183071569075
alien,0.00126055799450259
alien planet,0.00012054359181128687
android cyborg,0.0
anime,0.0023896427560424747
anime colors,0.0006716380735947891
anime epic,3.717090822756394e-05
armor daedric,4.2392163149731806e-05
art,0.010588323869831575
art artgerm,0.0009755915459832722
art city,6.650163429991922e-05
art hyperrealistic,0.001034897669615325
art josan,1.2240493938506827e-05
art lifelike,0.0008816849751285079
art punk,0.0019060023927170869
art realistic,0.0017971608549512377
art sharp,0.000782672424138784
art smooth,0.0007498712380121119
art style,0.0021187207385705985
art thorough,0.0008053116943425418
art trending,0.0014580126849774605
artistic,0.0008484351811729928
artistic painting,0.0007781190720357509
artstation,0.01047237610924835
artstation cinematic,0.002530086335303171
artstation galaxy,0.0009819412522218435
artstation hyperrealism,0.004291419467214404
artwork,0.002172095190678854
atmospheric lighting,5.9773598964192526e-05
avant garde,0.00016134976662336606
azores,0.0
azores islands,2.785742938527465e-05
beautiful landscape,0.0001799256267550991
beneath cherry,5.3389347693655524e-05
bjork,0.0010517551248529619
black,0.003177958938289758
body manga,0.0009027175605556979
body portrait,0.003288573187449314
body shot,3.2879561459557307e-06
bonsai,0.0017257976605564483
bonsai tree,0.000734093183870068
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0007680857091324784
camera,0.0009661017011154736
candle butterfly,0.0006815858828687165
candle volumetric,0.0005803250602331969
canvas,0.002906708648997498
castle,0.0015878979498207386
castle enclosed,0.0005312700409616466
cat,0.001368207583541721
century,0.0016889985348443597
century modern,0.00024834181861763333
character portrait,0.003473578114636682
chris,0.0010826493433731836
chris foss,7.676398773381582e-05
churches domes,0.0007299021835908318
cinematic,0.0030140440635323565
cinematic composition,0.007894322641987144
cinematic deviantart,0.00027599162638340696
city,0.0009794088477319664
cloud fashion,0.0
clouds,0.004005629584104026
clouds covered,0.00041047121588846507
clouds girl,1.5265848674989297e-06
clouds madeira,0.0014186819872350736
collage canvas,0.0015025636551875897
colors,0.0009694961322632209
colossal,1.3897616350810638e-05
colossal goddess,0.00046034434457832704
comprehensive art,0.002441368714209869
concept art,0.02048843495626761
