keyphrase,mean_abs_shap
abandoned,0.0018328830009446658
alien,0.0019409436572852886
alien planet,0.00101494222651882
android cyborg,0.0
anime,0.004210509332234069
anime colors,0.0009344694008764779
anime epic,0.0013320729645171004
armor daedric,5.7436710963518476e-05
art,0.010393892232560752
art artgerm,0.0014019515641464661
art city,0.0009442171036437578
art hyperrealistic,0.0002321507380959988
art josan,0.0008847015294364051
art lifelike,0.0017562362149143218
art punk,0.0005192401267007958
art realistic,0.00042304898496164825
art sharp,0.0017228361889974294
art smooth,0.0011768082598692968
art style,0.002242244669808014
art thorough,0.0021627010717534313
art trending,0.0013533862313637173
artistic,0.0020834148105957923
artistic painting,0.0010255687488374137
artstation,0.007290788471876858
artstation cinematic,0.0007794653086182856
artstation galaxy,0.0014041660595092984
artstation hyperrealism,0.0020075031758696525
artwork,0.0014186461370671313
atmospheric lighting,5.5066386031197206e-05
avant garde,0.00017792635376714635
azores,3.2342761533763664e-05
azores islands,8.171555204107972e-05
beautiful landscape,0.0010290470965792454
beneath cherry,0.00023777030129404543
bjork,0.0003706093627356488
black,0.0027301470244963538
body manga,0.0036401817503125466
body portrait,0.0012454261616356762
body shot,0.0
bonsai,0.0020094545698504163
bonsai tree,0.0013282012759576693
bull looking,0.0
bull modeled,9.84800935688511e-06
butterfly volumetric,0.0011631337833342672
camera,0.0005908961844287132
candle butterfly,0.001133201456966478
candle volumetric,7.228839422214428e-05
canvas,0.0030936076639485484
castle,0.00040715763382615476
castle enclosed,6.035896039525176e-05
cat,0.0011505807935290164
century,0.0016323765520235224
century modern,0.0013084952440301453
character portrait,0.0023769409015505193
chris,0.0005631007598779044
chris foss,0.00103642917740603
churches domes,4.674313960572483e-05
cinematic,0.00238346609672852
cinematic composition,0.006029240226155032
cinematic deviantart,0.0014145761405430118
city,0.0030292654447508756
cloud fashion,7.931043788759745e-06
clouds,0.001844380526028943
clouds covered,0.00046231063258493784
clouds girl,0.0001631267201226447
clouds madeira,0.0017861786088965294
collage canvas,0.0007003925640616866
colors,0.0009978895144417855
colossal,0.0010976134478937983
colossal goddess,0.0014401481242721028
comprehensive art,0.004016913170461172
concept art,0.02497163749316313
contemporary art,0.0003869244959891398
cute fluffy,0.00804305925205187
cyberpunk,0.003702894155748909
cyborg,0.0014415497224936535
cyborg body,1.1577482353861073e-05
cyborg bull,0.0
daedric armor,0.00016983097337467596
dark,0.0017190073634907222
dark uncanny,1.1588252213634756e-05
detailed painting,0.00316227436280557
detailed portrait,0.0019792747069478007
detailed ultra,0.0011277140280896597
details intricate,0.0013619278594353733
detective pikachu,0.0011670288759642604
deviantart,0.002974871846804445
deviantart hyperrealistic,0.0013268971439537366
deviantart realistic,0.006712615663977134
digital art,0.003837372115160816
digital painting,0.006460488317411149
