keyphrase,adjusted_mean_shap
film,0.0266646802736944
concept art,0.019868804469248325
surrealism,0.019089589606610297
portrait,0.013421896592569574
painting,0.012050718059428749
matte painting,0.01197912899963625
art,0.010670321091801176
artstation,0.008433686273349299
deviantart,0.00828519988011305
unreal engine,0.007359249347592901
cinematic composition,0.00699435926559695
cute fluffy,0.006935207474070976
fiction film,0.006826217863218949
portrait scifi,0.006491687317724475
photorealistic,0.0062798969123817
deviantart realistic,0.006181880310517725
photo,0.005384984762223425
photography,0.005330938942051725
deviantart cinematic,0.0052743143224324
peter elson,0.0048911051426943
photograph divine,0.00479948436720775
oil painting,0.0046267632745014
digital painting,0.00434973591600765
ufo,0.004299872173379425
painting sargent,0.004270036622555625
illustration art,0.004165955648155225
saitama anime,0.0041647522660564
space,0.004119029088335175
josan gonzalez,0.0040224722160738
surreal concept,0.003955775301515375
steampunk,0.0039511713941552
gundam,0.003844421338202275
artstation hyperrealism,0.0037632248506488004
comprehensive art,0.0036996458889336
manga,0.00365974824082985
zdzislaw beksinski,0.00361736207674
landscape,0.003615567067470775
cinematic,0.0034171329918512754
digital art,0.003414034927784425
anime,0.0033790882376309
lightning intricate,0.0032897296856050254
photo realistic,0.00328681096101035
clouds,0.00326805653369845
high quality,0.00325286757714275
canvas,0.003122368390877282
intricate details,0.003070187265886025
character portrait,0.0029842515373131252
painting deviantart,0.002982568483922675
world photography,0.0029041517919446
movie,0.00287195539480805
bernard simunovic,0.0027975456859634
black,0.0027882554503938003
ruins,0.0027780188670334
minogue barbarella,0.0027745554126019
movie poster,0.00276965050018975
lighting,0.0027562730172435252
heavy detailed,0.002745205308759866
trending artstation,0.0025876329450843748
artstation cinematic,0.0025847801156660003
puppy sitting,0.0025282669247779
goddess,0.0025167218063392002
detailed portrait,0.002493459056256375
josan,0.002472235771929075
stars,0.002426028354499225
cyberpunk,0.002393567399155275
clouds madeira,0.00232511476352045
painting artstation,0.00232467799631255
woman,0.002278592263355245
painting peter,0.00226901906294145
alchemical creatures,0.0022560721341241
natural scene,0.0022406825607424
body manga,0.0022212923130554
detailed painting,0.0022058581878122
dark,0.0022031289945086997
photograph,0.0021912269116342365
uncanny painting,0.002166489864612175
city,0.00214590053551155
glamorous sophisticated,0.0021444035019750752
hyper detailed,0.0020876194580080817
bonsai,0.0020701501353031
surreal,0.002047034029476075
donald,0.00201636906178395
art style,0.00199408876260335
ultra realistic,0.0019892571439124648
cyborg,0.0019644210778661016
art smooth,0.001956767712519275
uncanny,0.0019519818397648
sky,0.0019495787326076
body portrait,0.001946208058405825
portrait painting,0.001935791701523225
realistic cinematic,0.001921714207008
forest,0.0019182237317543248
length portrait,0.0019165495335271
scene,0.0018786835670809
goths,0.0018461289946664287
artstation concept,0.0018138860919903
landscape colourful,0.0017603422012623748
portrait sabouts,0.001708250264548325
modern art,0.001693504674232375
painting lush,0.001690757635239425
dramatic lighting,0.0016882962112623248
fantasy art,0.0016739657506939737
barbarella,0.0016645886545354
photography awards,0.0016643537656231748
painting beautiful,0.0016642889776921502
matte,0.0016576650080197001
art thorough,0.0016489472905194748
rpg portrait,0.0016462710855761748
fifth element,0.0016281432882751417
mila kunis,0.0015971777433274
male dunmer,0.00158261413320525
painting lurid,0.0015626955383048272
artwork,0.0015575160281963499
portrait painted,0.0015438886780825998
abandoned,0.00154162283217565
surreal dark,0.0015173727409745
fiery alchemical,0.0015137713022934
footage,0.0015028211862563507
vallejo frazetta,0.001501787664955975
nerevarine,0.00149363412384055
pikachu hannah,0.0014490934071631
portrait extremely,0.001426877256935375
peter,0.0014191273830168002
century,0.0014122639534700752
painting aesthetic,0.001401392371257375
runway,0.0013990578088825217
saitama,0.001387573290047925
elf,0.0013782389667308579
elson,0.0013688107604828748
sony,0.0013489257326439249
picasso hair,0.0013299714340106294
portrait photograph,0.001322859932603475
blinders photography,0.00130250917522
detailed ultra,0.001283912360303975
artistic,0.001283876731111975
art artgerm,0.00127871152204235
intricate volumetric,0.0012698213358559507
low clouds,0.001265262935028325
art realistic,0.0012588896568690251
detective pikachu,0.00125407577602045
edwardian photograph,0.0012521747051968
alien,0.00125080195338415
art sharp,0.001245763966009825
cat,0.0012284284853933498
goth emo,0.0012226695943597576
portrait male,0.0012213206143204
century modern,0.001214742206242625
flowers,0.0011941030824368002
art trending,0.001193344868484175
beksinski,0.0011926173239168
robot,0.001181532650445672
wizard,0.0011796107472809999
surrealism surreal,0.0011752850970394501
lifelike photorealistic,0.00117080419894365
fantasy painting,0.0011613544270014393
manga illustration,0.0011485990970772
garden,0.00114562749335925
candle butterfly,0.0011214902860169338
puppy,0.00111981797668145
shade talking,0.0011127077586408748
garden intricate,0.0011124520845321251
mid century,0.001102973098749625
emo,0.001097239014414975
goths loitering,0.0010928800520048501
dunmer nerevarine,0.001088805513250625
fantasy style,0.0010845589773067074
glimpse universe,0.0010800521126855334
art lifelike,0.0010775459587955998
pixar,0.00106758301176455
drawing,0.00106553031384725
butterfly volumetric,0.00106089782152715
colossal goddess,0.001058797195517725
photorealistic digital,0.001048423469773275
octane render,0.001039963401286675
collage canvas,0.00103986922162805
hd goth,0.001037246902895611
modern,0.0010359775629409
pink bonsai,0.001032453511500725
gundam unreal,0.001031964523726025
einstein,0.001031721240023175
punk portrait,0.0010289106870119131
engine,0.00102284192018945
studio ghibli,0.001021539334218925
surreal glimpse,0.0010212119883222332
artstation galaxy,0.0010206108730149346
painting character,0.0009926857371999002
phyics entries,0.0009919127951599
beneath cherry,0.000983415435734114
