keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0004264974673497555
alien planet,0.00021958697620939722
android cyborg,5.681800996535678e-07
anime,0.00036462489784826104
anime colors,0.0005096930045529572
anime epic,0.0002892679166933523
armor daedric,0.0
art,0.004068264993384834
art artgerm,0.0022300533774574356
art city,5.138002860941525e-06
art hyperrealistic,0.0
art josan,0.00035986289984857203
art lifelike,0.0006715451275829056
art punk,0.0
art realistic,0.0
art sharp,0.00037324604738719224
art smooth,0.00033714847112485837
art style,0.00040918994438233016
art thorough,0.0004079026284979911
art trending,0.0007671424131869609
artistic,0.0003796631654316101
artistic painting,0.000363985009818829
artstation,0.0003146355534274314
artstation cinematic,6.409215200240423e-06
artstation galaxy,9.578046151308563e-06
artstation hyperrealism,0.0
artwork,0.0007035489107250809
atmospheric lighting,0.0023954362162048486
avant garde,0.00041543599381395834
azores,1.554973780933006e-07
azores islands,0.0
beautiful landscape,4.375900616864211e-06
beneath cherry,6.381114338982084e-06
bjork,0.0004926166857086006
black,0.00035574444581487716
body manga,2.5206905920209578e-05
body portrait,0.00038649678877209143
body shot,0.0
bonsai,6.142777494693051e-06
bonsai tree,1.3722890290232268e-06
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0
camera,0.0
candle butterfly,2.2353012460661254e-06
candle volumetric,0.0
canvas,0.001387577214435201
castle,0.0007766505475630326
castle enclosed,2.8797014506130474e-06
cat,0.00035653801601856234
century,2.4218004228919817e-05
century modern,0.00026156877157345476
character portrait,0.0005589842023687329
chris,0.0004223955629794744
chris foss,0.0004082234423193457
churches domes,3.979574880108173e-06
cinematic,0.000431396864518403
cinematic composition,0.00040440103280420703
cinematic deviantart,0.0004618098420838602
city,0.00039958535814062034
cloud fashion,0.0004170291633237875
clouds,0.001126001251467566
clouds covered,0.0004160606492443545
clouds girl,0.0010707444022697182
clouds madeira,7.306079118944328e-06
collage canvas,1.7386543642413502e-05
colors,0.0
colossal,0.0
colossal goddess,6.177272958765009e-06
comprehensive art,0.00040600365969724973
concept art,0.005738409925197064
contemporary art,5.762362138702377e-07
cute fluffy,3.766057434147685e-06
cyberpunk,0.0033244915052464134
cyborg,1.4050578087402635e-06
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00043618737304332316
dark,0.00035512691045158987
dark uncanny,4.811995560762015e-06
detailed painting,8.148472099157634e-06
detailed portrait,0.0004732608540823146
detailed ultra,0.000362823798702284
details intricate,0.0004296604231408373
detective pikachu,0.0
deviantart,0.005754413120791921
deviantart hyperrealistic,1.044103848247255e-05
deviantart realistic,0.010925932815843866
digital art,0.004014643631843788
digital painting,0.03837227369361498
digital render,0.0004127362624632135
divine,0.0003787340500552428
divine pink,0.0
dog,5.347304037238229e-07
donald,0.003231047946056404
dragon,0.0
dramatic lighting,0.0003723243328357175
drawing,0.00042838315262857363
dunmer nerevarine,0.0003313396665258106
einstein,0.0
elf,0.0003374611992595016
elson,0.00037769508717948384
emo,0.0001156521688013581
emo punk,0.0010386312042489632
engine,0.00035675875371234887
entries sony,0.005793858447034132
fantasy art,0.00038879872388595507
fantasy painting,0.0
fantasy style,0.0
faroe azores,3.684070698341976e-06
fashion clouds,0.00037869129781331503
fiction,0.0
fiction film,6.961278612758331e-06
fifth element,0.0003430251758088039
film,0.013332610265941191
film neuromancer,0.0006258464305015861
flamingos,6.917005468382701e-06
flowers,7.923660898585599e-06
fluffy,0.000483067817211644
footage,0.003937876612912456
forest,9.294845857099726e-06
frazetta,0.0003932692331653084
frazetta fantasy,0.0
frazetta giger,0.0004216336163771913
futuristic,0.0
garden,0.0
garden intricate,2.929349819527788e-06
giant digital,3.0353075228114927e-06
girl clouds,0.0005990268140068474
glamorous sophisticated,7.383852142982432e-05
glimpse universe,0.0004753506353880882
goddess,0.01544142422310431
goddess creative,0.0
goddess wearing,0.0003607767438669556
gordon,0.0009058171539078697
goth,5.95956311161574e-07
goth emo,8.179729829013596e-05
goths,0.0
goths loitering,0.0
gundam,1.975348772843056e-06
gundam unreal,8.41300392461873e-07
gustav klimt,0.0009409600227188202
hd,0.0
hd goth,3.0663090173761578e-06
hd painting,0.003438356126582403
hd unreal,0.0028195716410031484
heavy detailed,0.0003624971790741827
high quality,0.0004272896253089072
hills slavic,3.696407456581475e-06
himalayan,0.0012116526265109522
himalayan rocksalt,0.0
houses,2.269818432904658e-06
houses built,3.502046602454577e-06
hyper detailed,0.0023021131496769563
illustrated,0.0
illustration,0.0004573757198241376
illustration art,0.0011986801547644184
imposing cyborg,0.0
intricate details,0.00037783327003498217
intricate hyper,0.0
intricate royo,1.1707601433958644e-05
intricate volumetric,0.000364026003913586
josan,0.0004246540704138227
josan gonzalez,0.0004012775838171996
knight,0.0007143105697350118
kylie,4.7821639888497426e-06
kylie minogue,0.0
lamp,3.055245875645775e-05
landscape,0.00034829046282450644
landscape colourful,3.475231375591546e-06
lantern candle,6.5795515751236895e-06
length portrait,0.00038933273601386665
lifelike photorealistic,0.002770506785008286
lighting,0.000421101325926337
lighting hd,0.0004466267118025281
lightning intricate,0.0
log houses,0.0
looking camera,0.0
low clouds,0.0
madeira faroe,0.0
male dunmer,0.00039521528487301133
manga,0.0005802606804383986
manga illustration,0.0
marble hourglass,4.4950577932688805e-06
matte,0.0041411143223984695
matte painting,0.027670058273055267
media collage,0.0
mid century,0.0009681543183983077
minogue,2.4646329295828027e-06
mixed media,0.0
modern,0.0010168024636791728
modern art,0.005762110651871839
movie,0.0
movie poster,0.0003485073137607367
natural scene,0.0004616953713867014
nerevarine,0.0004005217815371366
neuromancer,0.0023670037716436256
oblivion skyrim,0.00042479762303020304
octane render,0.0
oil painting,0.00046085299687865307
overcast thunder,0.0
pablo picasso,0.0
painted,0.000421762585525167
painted pablo,3.246170678164026e-05
painting,0.00138479491645968
painting aesthetic,0.0004032164745383824
painting artstation,0.00036385040423043903
painting beautiful,0.003737910778470014
painting character,1.2462452485491135e-05
painting chris,0.00043762958261127577
painting deviantart,8.563693829440552e-05
painting lurid,0.0005588190686629126
painting lush,6.641705015142815e-06
painting peter,1.3017631527897987e-05
painting ronny,0.0013169371675841063
painting sargent,0.000857449484301487
painting stalenhag,0.0007885454914157418
painting unreal,2.83161380250636e-06
peter,0.00038263729757128154
peter elson,0.0004625668824344563
photo,0.0
photo realistic,0.00037510288111510475
photograph,0.0004484051771967194
photograph divine,0.004497497572129827
photography,0.00039818725770556445
photography awards,0.0004589156287059751
photorealistic,0.016161527717929402
photorealistic digital,0.0004270638619095598
phyics entries,0.00039390980975475355
picasso,0.009662577583758906
picasso hair,2.3723133044512767e-05
pikachu hannah,0.0
pink bonsai,5.210094684632342e-06
pink flamingos,0.0
pixar,0.0
pixie cut,0.0
portrait,0.0005003052019450588
portrait extremely,9.806799222350597e-06
portrait intricate,0.0003382789984558439
portrait male,0.0003985590449537374
portrait painted,0.002307988480676972
portrait painting,0.003089392859549691
portrait photograph,0.0006668790928555206
portrait sabouts,0.0
portrait scifi,0.0014858852944934756
