keyphrase,mean_abs_shap
abandoned,0.0018551718061722454
alchemical creatures,0.0002523961027761221
alien,0.001970065455589964
alien planet,0.0006437890759776263
android cyborg,1.2511017580818795e-05
anime,0.0046238005955341905
anime colors,0.0011875661179248996
anime epic,0.00011219414009513806
armor daedric,0.00035275551041351344
art,0.012537431099010544
art artgerm,0.004747485661708716
art hyperrealistic,0.0015473289022733536
art lifelike,0.0006138278560467123
art punk,0.002041847635303323
art realistic,0.002426041295120025
art sharp,0.004357433559097033
art smooth,0.0028926355897637246
art style,0.000963164199472493
art thorough,0.0011087043831531063
art trending,0.004781232994841799
artistic,0.00207616505743974
artistic painting,0.004655239685480016
artstation,0.00735776266421663
artstation cinematic,0.0014102377139191555
artstation concept,0.0032072091725440523
artstation galaxy,0.0013850934436993138
artstation hyperrealism,0.002610730443856467
artwork,0.00355459724438538
atmospheric lighting,0.002668890326005248
azores,0.0020496729829263607
barbarella,2.1055759654877954e-06
beautiful,0.0007487904650009927
beautiful landscape,0.0009024197609698151
beksinski,130494471475.34279
beneath cherry,0.00047640083061346254
bernard simunovic,0.000490840469169603
bjork,0.0014588925950337229
black,0.002426299823190137
blinders photography,0.0005217242578818424
body manga,0.0021618548671648885
body portrait,0.0024572410511355196
body shot,4.405485501053526e-05
bonsai,0.0029321219884956063
bonsai tree,0.0019062065768715357
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.00167398526026038
camera,0.0019085419777251913
candle butterfly,0.0023955594909928594
candle volumetric,0.0025688083989971085
canvas,0.006946054665966077
castle,0.006353535387736278
cat,0.0016087232712927962
century,0.001166547494486473
century modern,0.003020366306621337
character portrait,0.0027199247888602387
cinematic,0.006614837084873997
cinematic composition,0.003916230258485804
cinematic deviantart,0.0020823894663712364
city,0.0038461749269578607
clouds,0.00798467176733062
clouds madeira,0.0013468703415450503
collage canvas,0.0016921054681168952
colors,0.003612281661793687
colossal,0.0017933969222901883
colossal goddess,0.0018713932266357987
comprehensive art,0.0020957753590613915
concept art,0.008772334730891658
contemporary art,0.0018671194407428589
cosmic,0.0004577668721421291
creatures surreal,0.00032964433374352026
cute fluffy,0.0020480498468106252
cyberpunk,0.004091325458772894
cyborg,0.002917681567345053
cyborg body,0.00022182168809491826
cyborg bull,0.0003769471279729678
daedric armor,0.0003425466721476612
dark,0.001827171113912274
dark uncanny,0.0004584282521346342
detailed painting,0.00379898310851621
detailed portrait,0.005279878315317818
detailed ultra,0.002765949762551799
detective pikachu,0.002778546410505069
deviantart,0.007235694371076852
deviantart cinematic,0.0018203193297938655
deviantart hyperrealistic,0.0019821369104255616
deviantart realistic,0.008999751726154507
digital art,0.012312903701120615
digital painting,0.005412728064350416
digital render,0.0011158192152494258
divine,0.0002804845408912011
divine pink,0.00036546080762826734
dog,0.0021273613657936796
donald,0.0034709984456759327
dragon,0.002525316464830737
dramatic lighting,0.002855769927817697
drawing,0.0011680662382492456
dunmer nerevarine,0.0012209781647423968
edwardian photograph,3.5540737900872656e-05
einstein,0.00045606541208621126
elf,0.006630373469203377
elson,0.004291644470942218
emo,0.000841883741319165
emo punk,0.0005171938336883128
engine,0.001997092839936202
entries sony,0.003631327204397662
fantasy art,0.006265735946418416
fantasy painting,0.0014525519798429067
fantasy style,0.0016339299743086575
faroe azores,0.0037892896686312766
fiction,0.0012325945305195875
fiction film,0.005624587899706541
fiery alchemical,0.0008503543393181589
fifth element,0.0018456012052713694
film,130494471475.3486
film neuromancer,0.001602497753310992
flamingos,0.0
flowers,0.002747793910503756
fluffy,0.0008271422528875091
food photography,0.00046097821289892876
footage,0.006725249105125025
forest,0.001188291961745656
frazetta,0.002398789955557299
frazetta giger,0.004680570046136191
futuristic,0.0025533645022583497
garden,0.0015532669655754945
garden intricate,0.0017216192206436977
giant digital,0.001145489394928061
glamorous sophisticated,0.002760915035289153
goddess,0.00875583704371774
goddess creative,0.006891282854614047
gordon,0.0030505454015427452
goth,0.001247415111867504
goth emo,0.0002766181156252929
goths,0.00014936416601407258
goths loitering,0.0003377315219687299
gundam,0.0006204674415372397
