keyphrase,mean_abs_shap
abandoned,0.0006543769585903331
alien,0.0006491224296420537
alien planet,0.0009968969939253747
android cyborg,0.000766789487698417
anime,0.001989647762371054
anime colors,0.0005920855922035923
anime epic,0.000838778650929683
armor daedric,0.0007863258344212896
art,0.011697156274813542
art artgerm,0.0028841826667151847
art city,5.626446706209486e-06
art hyperrealistic,0.0008845679033184505
art josan,6.019629555393698e-05
art lifelike,7.61199721495142e-05
art punk,0.0012242244557854488
art realistic,0.0005614688991170208
art sharp,0.0010821242421220501
art smooth,0.0010001189773681004
art style,0.0010407923797256296
art thorough,0.0018484509040081827
art trending,0.0026734190216600134
artistic,7.317958386744216e-05
artistic painting,0.0008866701734026038
artstation,0.004393725322530165
artstation cinematic,0.0004332689082680711
artstation galaxy,5.4391137316781774e-05
artstation hyperrealism,0.0009864512387401149
artwork,0.001222355152066425
atmospheric lighting,0.00352929060080812
avant garde,0.00010903534391862747
azores,0.0010835583428472476
azores islands,0.002483592957604702
beautiful landscape,0.0008959141176984854
beneath cherry,7.648727953754992e-05
bjork,0.0008975178121124959
black,0.0005386208410991545
body manga,0.00022557648456271153
body portrait,0.0014293319816031844
body shot,0.0007139271737292449
bonsai,0.0010096392490559877
bonsai tree,0.00014329366827281492
bull looking,0.0007285022450570692
bull modeled,0.0010000086008197604
butterfly volumetric,8.043977789649043e-05
camera,0.0015216962125622392
candle butterfly,7.512394458485908e-06
candle volumetric,0.0001714629479482662
canvas,0.0014661228258049984
castle,0.0038737817599635207
castle enclosed,0.0
cat,0.0007515917463086593
century,0.00034461735303141413
century modern,0.0012802514026390218
character portrait,0.0021864561791840684
chris,0.0014155025146351072
chris foss,0.0009760836374426232
churches domes,0.0
cinematic,0.0025060756812567493
cinematic composition,0.0020269832102207414
cinematic deviantart,0.00010677816853357768
city,0.0026779353351871972
cloud fashion,0.00019993911719853118
clouds,0.003145732653717521
clouds covered,0.00017200577343076684
clouds girl,0.00017195028275488513
clouds madeira,0.0012416581855369166
collage canvas,0.0008523535177332358
colors,0.0016046113525232894
colossal,4.421725130175912e-05
colossal goddess,7.192637435827883e-06
comprehensive art,35089093250.328636
concept art,0.021126944459649365
contemporary art,0.0008451429114389297
cute fluffy,0.002595021740341868
cyberpunk,0.0048928524274004315
cyborg,0.0009592499197956381
cyborg body,0.0007357448941005749
cyborg bull,0.000935837908691736
daedric armor,0.0009955014759950105
dark,0.001726760415376955
dark uncanny,0.000830515943562906
detailed painting,0.0023079951896010807
detailed portrait,0.001195133945855361
detailed ultra,0.00019362518188342914
details intricate,0.00025475336342757626
detective pikachu,0.0018468953898232582
deviantart,0.0034730895505900965
deviantart hyperrealistic,0.0012294334072091634
deviantart realistic,0.007284666294689541
digital art,0.020710293926108084
digital painting,0.05838264077850585
digital render,0.0010168887114363233
divine,0.00030749599352363844
divine pink,0.0
dog,0.000515235541509279
