keyphrase,mean_abs_shap
abandoned,0.0019271443412585772
alien,0.0009637156732802308
alien planet,0.00080591793976444
android cyborg,0.0
anime,0.0023522804087281724
anime colors,0.00011623410363511472
anime epic,0.0007011121541710697
armor daedric,0.0011607794762534842
art,0.011604859951530795
art artgerm,0.0017287940655927756
art city,0.001521374237491053
art hyperrealistic,3.759854663607023e-05
art josan,0.0
art lifelike,0.00016562344047159054
art punk,3.0512922721415353e-05
art realistic,0.001772713057567933
art sharp,6.502307155919533e-05
art smooth,0.0017136391850823913
art style,0.0002783439751253321
art thorough,0.00013870028608317748
art trending,0.0017005594537243633
artistic,0.00025202034223595067
artistic painting,0.0010950566020987032
artstation,0.004507706739449567
artstation cinematic,0.0004256762601099221
artstation galaxy,6.920734801708817e-05
artstation hyperrealism,0.000592787246479292
artwork,0.0018595974161952006
atmospheric lighting,0.0025138643487154035
avant garde,0.00098025361191818
azores,0.0012891417151167587
azores islands,0.0013472939833943
beautiful landscape,0.00036429348760822053
beneath cherry,0.0019221633262849333
bjork,0.0010609456525798842
black,0.0014473657124735686
body manga,0.0006143542908717766
body portrait,0.0011382149279757212
body shot,0.0
bonsai,0.0007090974768666573
bonsai tree,8.736302413635272e-05
bull looking,1.629048242150941e-05
bull modeled,0.0
butterfly volumetric,6.697026335089403e-05
camera,0.001176610669823098
candle butterfly,5.311610582156878e-05
candle volumetric,0.0006395774122578106
canvas,0.004125730284570337
castle,0.002967372411227174
castle enclosed,0.0
cat,0.001098982016295922
century,0.0013789680062535952
century modern,0.0024902159914204844
character portrait,0.0016858989876521852
chris,0.002415299750327661
chris foss,0.0016297619735737452
churches domes,0.0
cinematic,0.003534304582334991
cinematic composition,0.0032375911446484084
cinematic deviantart,0.00136171695059545
city,0.0026112947317165893
cloud fashion,3.969184969093194e-05
clouds,0.0031549821360667674
clouds covered,2.879246324577663e-05
clouds girl,0.000557519195999096
clouds madeira,0.0011196882270650308
collage canvas,2.4936534015589835e-05
colors,0.0008099544700547456
colossal,0.0004864373742281596
colossal goddess,0.0007025476850760486
comprehensive art,0.0002629134360458596
concept art,0.0063298082415063905
contemporary art,4.150417993888863e-05
cute fluffy,0.002282823926240288
cyberpunk,0.0033630514512220386
cyborg,0.00011425933780908357
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0013009804427576595
dark,0.0008928097220166774
dark uncanny,4.191571019109572e-05
