keyphrase,adjusted_mean_shap
beksinski,130494471475.3428
film,32623617868.846478
pikachu hannah,8772273312.583292
comprehensive art,8772273312.582851
digital painting,0.030013900249844874
matte painting,0.023893328913162076
photorealistic,0.012950453235845975
portrait,0.012570788589736299
painting,0.012238871208937274
digital art,0.011429599557852249
goddess,0.0109097598362707
concept art,0.01049187433931105
unreal engine,0.010489002748541774
art,0.009976928079684876
picasso,0.0088081248982069
deviantart realistic,0.00855713165613625
skyrim elegant,0.0078745045938181
hyper detailed,0.0068457382913257245
illustration art,0.0061868345152916
painting beautiful,0.006122340126490699
modern art,0.006046868622212299
deviantart,0.005429655196966549
painting ronny,0.00520324744054385
footage,0.00497831440893925
hd unreal,0.004638003015826275
zdzislaw beksinski,0.0045828169779656
photograph divine,0.004341049095609725
hd painting,0.004183110555654675
room,0.0041777794003215
artstation,0.0041434575699059
entries sony,0.004048190565577424
oil painting,0.0039633434973422
cyberpunk,0.0039179302106604
clouds,0.003852846952145575
style portrait,0.0038184397975986753
donald,0.003715963502049
landscape,0.0035755974097288505
fantasy art,0.00357077877819
portrait scifi,0.0035561139195704247
castle,0.00349283502662245
canvas,0.0034813712476941
screenshot,0.003426051327506925
steampunk,0.0033353456535239996
cinematic,0.0032716535532459753
artstation concept,0.003207209172544
matte,0.0030996305781412752
woman,0.003072477333975175
photography,0.003062981912321025
portrait painting,0.0030252367038619754
peter,0.0029979375245400503
painting sargent,0.0029806086054444503
sony world,0.002914825577905875
art artgerm,0.0028976289428684753
trending artstation,0.00286097668961985
lifelike photorealistic,0.0028364673029271
atmospheric lighting,0.002776870372933375
gordon,0.0027015537600038253
elf,0.002689496917152875
vallejo frazetta,0.0026795039145717002
snowy,0.0026516311917532
ruins,0.0026129778216348
puppy sitting,0.0025813482121874
lightning intricate,0.0025751527181811502
art trending,0.002480588470853225
portrait extremely,0.0024687886472255878
surrealism surreal,0.00243933638029275
cinematic composition,0.002396301411539775
city,0.0023837475880005
lighting,0.002364473337557375
scene,0.0023356138278211457
anime,0.00233258841612035
science fiction,0.002286203830662175
elson,0.0022666664456078814
portrait painted,0.00225680723601505
frazetta giger,0.00221278055031165
detailed painting,0.0021493660400415393
painting artstation,0.002129052215667825
fiction film,0.0021259820360467396
realistic cinematic,0.0021218919144115
rpg portrait,0.002116435661499425
studio ghibli,0.002113548798557875
detailed portrait,0.002095702860999575
ultra realistic,0.00209261220320805
faroe azores,0.002060771908165636
mid century,0.002053629807551175
manga,0.0020515824600582
goddess creative,0.0020308996910067437
portrait male,0.0019763630281318502
spaceship,0.0019557793607455
modern,0.0019293111885875
mila kunis,0.0019266137593568
portrait photograph,0.0019175744426773499
dramatic lighting,0.00189677939083165
photo,0.0018805109981953
volumetric lighting,0.001874416256377675
neuromancer,0.0018513742927314999
starmaker matte,0.001851249806392893
length portrait,0.0018467174374693501
artwork,0.0018350246808429749
deviantart cinematic,0.0018203193297938
surreal,0.001804458166896475
painting stalenhag,0.001799774710777825
character portrait,0.00178781603951625
render hyperrealist,0.001763959661278325
century modern,0.001763100618063525
sony,0.0017618697796704
painting deviantart,0.0017553823893386267
artistic painting,0.001750237867700025
stars,0.0017444609522763
cute fluffy,0.001732415392706687
detective pikachu,0.001687415974241725
style contemporary,0.0016799825083625274
surrealism,0.00166871680123855
gustav klimt,0.0016572959726153665
fantasy painting,0.00163813624007225
frazetta,0.0016172725863370999
glamorous sophisticated,0.001576388540151606
dragon,0.00157134119529735
high quality,0.0015633444308528
saitama anime,0.001557991704824515
low clouds,0.00154880153593235
heavy detailed,0.0015480195801461
uncanny,0.0015224393620123
ufo ignoring,0.001517648752883325
colors,0.001506711871092875
photograph,0.00150248333247595
natural scene,0.0014991368110648749
puppy,0.0014916573636783751
phyics entries,0.00148946737233805
art smooth,0.0014858855558347248
art sharp,0.001469456730041324
overcast thunder,0.0014655764715156001
photography awards,0.0014429716376688502
sitting snowy,0.0014333701269277
knight,0.0014245258128776333
scene science,0.001420653137750614
film neuromancer,0.0014185991018082248
chris,0.0014177326093140336
painting unreal,0.0014047552981339266
intricate volumetric,0.00139954694208535
