keyphrase,mean_abs_shap
abandoned,0.0025208096444797904
alien,0.00015457349499332733
alien planet,0.0001799789179558411
android cyborg,0.00013511616962991345
anime,1.7178535489436323e-06
anime colors,0.0
anime epic,0.0
armor daedric,2.7294842493762108e-06
art,0.0016689048703458372
art artgerm,0.000886277522363147
art city,0.00037238038427435
art hyperrealistic,0.00015300933189807186
art josan,0.0
art lifelike,1.8115400914981322e-06
art punk,0.0008870267539591214
art realistic,0.0
art sharp,0.00018535301129832135
art smooth,0.0006860125647678782
art style,0.0025037085376563967
art thorough,3.476892887382635e-06
art trending,0.00012568661804874108
artistic,1.1432750305567274e-06
artistic painting,0.0012892003855775433
artstation,0.0002598938944942832
artstation cinematic,0.00017816556232355042
artstation galaxy,0.0
artstation hyperrealism,0.0009608788501530213
artwork,1.730662145490343e-05
atmospheric lighting,0.0
avant garde,3.561521403092664e-08
azores,0.0012049360194545727
azores islands,1.499437245901883e-06
beautiful landscape,0.0001380459577041869
beneath cherry,0.00015355512956788048
bjork,3.407495888782862e-05
black,0.0009611149513971813
body manga,2.533067444672304e-07
body portrait,0.0023477916436294567
body shot,0.00013697387080410708
bonsai,0.0001543763034140172
bonsai tree,0.00015736280367480555
bull looking,0.0001679517299684247
bull modeled,0.00014707539184134795
butterfly volumetric,2.3228976619808007e-06
camera,0.00033691262405332527
candle butterfly,0.0
candle volumetric,0.0002002724694108833
canvas,0.00024559859317354997
castle,3.0045721860906115e-06
castle enclosed,0.0
cat,1.1369603689407723e-06
century,0.002859363911140488
century modern,1.1016853418036632e-06
character portrait,0.004882696137142421
chris,0.0
chris foss,2.493029249419688e-06
churches domes,0.0
cinematic,4.077346491802823e-05
cinematic composition,0.0014088812862039551
cinematic deviantart,0.0
city,0.00014137390275044225
cloud fashion,0.0
clouds,0.00021199037983447565
clouds covered,3.5045086900161497e-07
clouds girl,0.0
clouds madeira,3.3765111811537574e-05
collage canvas,0.00012259060969835021
colors,0.0007590935491378478
colossal,0.00017611343956174094
colossal goddess,0.00017968488022099903
comprehensive art,0.00015041264972321687
concept art,0.002997758256492789
contemporary art,0.00015333148091816978
cute fluffy,0.00020700153689836063
cyberpunk,0.00019093777441417167
cyborg,0.001334532763016003
cyborg body,0.0001479860102984477
cyborg bull,0.00017080434959865256
daedric armor,0.0
dark,8.300207910986483e-05
dark uncanny,1.6238408278050442e-06
detailed painting,0.0017453398483847026
detailed portrait,0.0001699617432009809
detailed ultra,0.0003576751704508965
details intricate,0.0005323654901588831
detective pikachu,0.00018031867564936364
deviantart,0.00017997645910730706
deviantart hyperrealistic,0.0
deviantart realistic,0.0
digital art,9423625215.266115
digital painting,0.0007134978371519918
digital render,0.00018055481181165054
divine,0.0005544105177086598
divine pink,7.961521504504949e-05
dog,0.00016303643961830238
donald,0.00017306604093136966
dragon,2.3431836002959533e-05
dramatic lighting,0.00012173310877178052
drawing,0.0032892855337503125
dunmer nerevarine,0.0013252694157528473
einstein,0.0004809886241195184
elf,0.00018732603173425927
elson,0.00016183864221690455
emo,0.0001454395159316784
emo punk,0.00015409247171978776
engine,0.0003959523099292564
entries sony,0.00015025539229799313
fantasy art,0.002961566654998204
fantasy painting,2.462433165721709e-06
fantasy style,5.856386198449433e-07
faroe azores,0.00020763616941475396
fashion clouds,0.0
fiction,1.1918251641071048e-06
fiction film,0.00015776156845168115
fifth element,1.7327311041889444e-06
film,0.004572946647878712
film neuromancer,2.5638667969677055e-06
flamingos,0.0
flowers,0.00019790385771409767
fluffy,0.0012525925361198387
footage,3.2237613990841305e-06
forest,0.001025649903623711
frazetta,0.0006940767584491959
frazetta fantasy,0.0
frazetta giger,7.547637723806575e-07
futuristic,0.004606780313449968
garden,0.00015275069604124715
garden intricate,0.0013986057795043942
giant digital,0.0001748752733042385
girl clouds,0.0
glamorous sophisticated,9.551674278241375e-07
glimpse universe,0.0
goddess,0.0001852456776018254
goddess creative,0.000125357172134405
goddess wearing,2.536133597909258e-07
gordon,0.004709662709057945
goth,0.00016060035586337135
goth emo,0.00014394668065953743
goths,0.001028001359973288
goths loitering,0.0001692438942309279
gundam,0.0001761531402556054
gundam unreal,0.0
gustav klimt,0.001089426049322173
hd,0.0
hd goth,0.0001641332705724994
hd painting,3.506556252912825e-07
hd unreal,1.972527933711973e-06
heavy detailed,0.0
high quality,0.0012944488711957981
hills slavic,3.1990723137082824e-06
himalayan,0.0
himalayan rocksalt,0.0
houses,4.502696227105185e-07
houses built,0.0
hyper detailed,0.0006344700995918292
illustrated,0.0001884253354946703
illustration,6.618741212221451e-05
illustration art,9423625215.264013
imposing cyborg,0.0001412274685550642
intricate details,6.66138120684185e-05
intricate hyper,0.0
intricate royo,2.136558192228988e-06
intricate volumetric,0.00040340584624609286
josan,6.275725452428276e-07
josan gonzalez,0.0049878419847409795
knight,9.46786541124387e-07
kylie,1.8956756998271304e-06
kylie minogue,0.0
lamp,0.0
landscape,0.0001525073756279735
landscape colourful,0.00014637333785761346
lantern candle,0.0027465873746278123
length portrait,0.00015467114291466241
lifelike photorealistic,6.375633820366918e-07
lighting,1.2603987461162279e-06
lighting hd,1.5895385112860606e-06
lightning intricate,0.00012532330380903497
log houses,1.7218659396082514e-07
looking camera,0.00014941432119387383
low clouds,7.370872382904409e-07
madeira faroe,0.0
male dunmer,0.0009686793122607323
manga,8.288854866067052e-08
manga illustration,4.220409381909278e-07
marble hourglass,0.0010931230124156008
matte,0.00017564484267008616
matte painting,0.0017659228680369328
media collage,0.00014677847516121565
mid century,0.0002523635171417882
minogue,0.00020275070032448175
mixed media,0.0002496402229596768
modern,0.0
modern art,0.00017254724151091644
movie,0.00014779959057319937
movie poster,0.0002573941308367251
natural scene,0.00016521285112229754
nerevarine,1.6795082279949669e-06
neuromancer,1.8464444117028814e-06
oblivion skyrim,3.34509902383582e-06
octane render,0.004134633945882275
oil painting,0.0004777608963266009
overcast thunder,0.0
pablo picasso,0.0013761867935958643
painted,0.00015596786844962967
painted pablo,7.122257913696088e-07
painting,0.004275115046373687
painting aesthetic,1.6314897634597176e-06
painting artstation,0.00015899341759622492
painting beautiful,0.001345945872128218
painting character,5.579679779974101e-07
painting chris,0.0
painting deviantart,0.0011916161397760308
painting lurid,3.676236798110836e-06
painting lush,0.00014571588736825137
painting peter,0.0004386946998963058
painting ronny,0.00016152225202050837
painting sargent,4.86459024713267e-06
painting stalenhag,3.4889043367398043e-06
painting unreal,8.092010677549136e-07
peter,0.0011417401706145895
peter elson,0.0023912486132025516
photo,0.0008199256368204128
photo realistic,0.0014056108021733883
photograph,0.0006169711081075254
photograph divine,7.483410388456463e-06
photography,0.0006824286144559577
photography awards,0.0004353651907638735
photorealistic,6.112505619180339e-05
photorealistic digital,0.0
