keyphrase,mean_abs_shap
abandoned,0.004787645089815635
alchemical creatures,0.0
alien,0.002730205364699539
alien planet,0.0002738110675851554
android cyborg,0.0
anime,0.006342800667795038
anime colors,0.002148678517475763
anime epic,0.003269604433783522
armor daedric,5.4727214621340766e-05
art,0.013789646765232099
art artgerm,0.004926535279415895
art hyperrealistic,0.00014608286182173704
art lifelike,0.003973019742034916
art punk,0.0008595694502608985
art realistic,0.004061756031893052
art sharp,0.001774961617791801
art smooth,0.005710886723045712
art style,0.006816712117995487
art thorough,0.0011825484962910157
art trending,0.0013600138749018133
artistic,0.005052584405968274
artistic painting,0.004187513635526346
artstation,0.010070558852356885
artstation cinematic,0.00286890355150521
artstation concept,0.0010478139892011618
artstation galaxy,0.00028822719835117837
artstation hyperrealism,0.0011378676844678698
artwork,0.005591801591087787
atmospheric lighting,0.0002821957309994894
azores,0.004255361386164768
barbarella,0.00421248139231646
beautiful,0.003259781684577732
beautiful landscape,0.0021591734637029978
beksinski,0.0006845638176210266
beneath cherry,0.0010394343785131881
bernard simunovic,0.0007942916113555235
bjork,0.000983690942494262
black,0.0018791825241402974
blinders photography,2.3781624168482204e-05
body manga,0.0004890781903166836
body portrait,0.005221340010476452
body shot,0.0002506250785389588
bonsai,0.0009426521870234648
bonsai tree,0.0002828587557536205
bull looking,0.0007070493883449293
bull modeled,0.0010795952237174329
butterfly volumetric,0.0002044798266975897
camera,0.0014046121708403032
candle butterfly,0.0006514059268269481
candle volumetric,0.004043481619545184
canvas,0.0041222326722380595
castle,0.003228360661868956
cat,0.0017686650667529025
century,0.00430444056521614
century modern,0.0027117455616576633
character portrait,0.008665422236537497
cinematic,0.0033310430424342875
cinematic composition,0.0030263805413444957
cinematic deviantart,0.0009893568626261162
city,0.0013835365067781647
clouds,0.005216166473360225
clouds madeira,0.004754492187602647
collage canvas,0.00018956776380443235
colors,0.0022565823161254414
colossal,0.00028062739229498093
colossal goddess,9.008914843677272e-05
comprehensive art,0.0046775321592423735
concept art,0.022475900939937
contemporary art,0.0007669565633502071
cosmic,0.0011950809347503167
creatures surreal,0.00015344725626930674
cute fluffy,0.0017580223743668408
cyberpunk,0.003257589606303038
cyborg,0.008506677378260465
cyborg body,8.243781206846938e-06
cyborg bull,0.0
daedric armor,0.00018628399585173054
dark,0.0017510752011104427
dark uncanny,9.141373864599548e-05
detailed painting,0.006410317468129044
detailed portrait,0.003388929690104134
detailed ultra,0.0039036585462652604
detective pikachu,0.0005827649563806634
deviantart,0.005565204082129168
deviantart cinematic,0.003741370911222425
deviantart hyperrealistic,0.0014868995555955933
deviantart realistic,0.0009195502410173117
digital art,0.0039057051341304105
digital painting,0.010835068972209053
digital render,0.0007022986099453804
divine,0.002585470895079025
divine pink,9.546616956242027e-05
dog,0.0022901512711715867
donald,0.003277425740184486
dragon,0.0019546748414015166
dramatic lighting,0.0012187050217347282
drawing,0.00407612787005936
