keyphrase,mean_abs_shap
abandoned,0.00478938011242328
alien,0.00020547478614062908
alien planet,0.0006500272642182949
android cyborg,0.000694152448680328
anime,0.0010710038801482354
anime colors,2.1420220558614146e-05
anime epic,0.00043330225730605737
armor daedric,0.0004444501704123923
art,0.00922199913321861
art artgerm,0.001513428521051907
art city,0.0014103674630335627
art hyperrealistic,0.00012419604164577014
art josan,0.0005013223954888237
art lifelike,0.00046358164746409717
art punk,0.000401962293548286
art realistic,0.0004639320898004398
art sharp,0.0010819713189805236
art smooth,0.002058803186314606
art style,0.008303446418134504
art thorough,0.0002895486941734282
art trending,0.0008700120641196852
artistic,7.305662852205078e-05
artistic painting,0.0022726863404373327
artstation,0.005860253063165679
artstation cinematic,0.0017732669626914501
artstation galaxy,0.00020405384144054373
artstation hyperrealism,0.001742692419487645
artwork,0.0017763814959703241
atmospheric lighting,0.00012456676192934774
avant garde,0.0007041421560126275
azores,0.0023040868835863333
azores islands,0.0005011713309431441
beautiful landscape,0.0004732795317413743
beneath cherry,0.0004167825262361933
bjork,9.993440145783523e-05
black,9506211177.194168
body manga,8.869805822947334e-05
body portrait,0.0010703885444336293
body shot,0.0004977458005496674
bonsai,0.0005351601686756094
bonsai tree,0.0003778663136596676
bull looking,0.0005557995226064996
bull modeled,0.0008155702195043135
butterfly volumetric,0.0003857773898198398
camera,0.001107305261978688
candle butterfly,0.0005112089224933498
candle volumetric,0.00026247578895965436
canvas,0.00036498863283153957
castle,0.0014381784268112441
castle enclosed,0.00044325076081464616
cat,0.001479225261734495
century,0.0030392710144302067
century modern,0.0011004393021683927
character portrait,0.009003512797626598
chris,0.0012573745837861387
chris foss,0.0007133989951772369
churches domes,0.00037751635226219716
cinematic,0.0018026537692093457
cinematic composition,0.0041322010629958805
cinematic deviantart,0.00015561178808407792
city,0.001105407519231912
cloud fashion,0.000614089594165943
clouds,0.00252975602526626
clouds covered,0.0006986959164611425
clouds girl,0.0004467841985565194
clouds madeira,0.0007939750729142732
collage canvas,0.0003066894093102628
colors,0.002327421012256638
colossal,0.00036503888557468193
colossal goddess,9506211177.191362
comprehensive art,0.0006865679461917468
concept art,0.01161320189077547
contemporary art,0.00031961563258896367
cute fluffy,0.0010037600370152702
cyberpunk,0.0031613401452669355
cyborg,0.003325112513833524
cyborg body,0.0005872245033546528
cyborg bull,0.0004985225834016611
daedric armor,0.0005413709645262079
dark,0.002403472107827613
dark uncanny,0.00030938543550466805
detailed painting,0.004844438370511197
detailed portrait,0.00088941153508962
detailed ultra,0.0013958534013079936
details intricate,0.0010559911885836242
detective pikachu,0.00030508812839930135
deviantart,0.0017203382622728515
deviantart hyperrealistic,0.000563200713019192
deviantart realistic,0.001413455810571505
digital art,0.004561830535789167
digital painting,0.004248045956825341
digital render,0.0006024062441268438
divine,0.0014760842327092229
divine pink,0.0006790660905718585
dog,0.001364800913691718
donald,0.0006402576653033638
dragon,0.0008413699481977568
dramatic lighting,0.001435392479982887
drawing,0.004200511981481957
dunmer nerevarine,0.002157514465941903
einstein,0.002971579656028043
elf,0.001324338621037598
elson,0.0010783264050098075
emo,0.0011185156899271523
emo punk,0.0005081811461353092
