keyphrase,mean_abs_shap
abandoned,0.0037184534227479556
alien,0.0004831627419024123
alien planet,0.0008933164938631912
android cyborg,0.0006974625384627231
anime,0.0013206243732908187
anime colors,0.0007335461236818462
anime epic,0.0008084800726868087
armor daedric,6.578176263338021e-06
art,0.006694762190647196
art artgerm,0.0017059449240516896
art city,0.0011715216720366926
art hyperrealistic,0.0
art josan,9.703368553709082e-05
art lifelike,0.0011874145409953689
art punk,0.00029420296698725896
art realistic,0.0005016011399421613
art sharp,0.0014140866582571432
art smooth,0.002207638451183903
art style,0.002844229730184403
art thorough,0.0008306095412894294
art trending,0.0008065719032794421
artistic,0.00046146383674132327
artistic painting,0.0015556133657370387
artstation,0.0029699824882819183
artstation cinematic,0.000496855364729152
artstation galaxy,5.2484269908886305e-05
artstation hyperrealism,0.00039741982184494413
artwork,0.0014162300202306961
atmospheric lighting,0.0006345178957594372
avant garde,0.000894129393407924
azores,0.0014082658617466692
azores islands,0.0006754859813066084
beautiful landscape,0.0007235740204432039
beneath cherry,0.00030318745543516946
bjork,0.0008713706354874407
black,0.002292390057031584
body manga,0.0009183464160896659
body portrait,0.0016304440722066896
body shot,0.0006154246135461834
bonsai,0.00021463915318568818
bonsai tree,6.344101428898341e-05
bull looking,0.0006624262322576671
bull modeled,0.0009814082510095992
butterfly volumetric,1.2660033450478926e-05
camera,0.0009696255100209972
candle butterfly,0.00026392018295811834
candle volumetric,0.00034829446358095105
canvas,0.0011464416433051383
castle,0.001229838954420587
castle enclosed,0.000671885351428092
cat,0.0007037898289036357
century,0.0008506586904776889
century modern,0.0020262064211230904
character portrait,0.0048078557621337
chris,0.000571133487727247
chris foss,0.0003455284436389172
churches domes,0.0005600805275918423
cinematic,0.0017833429396316633
cinematic composition,0.003987243562317894
cinematic deviantart,0.0006368761595799285
city,0.001184856412976611
cloud fashion,1.0384615762184734e-05
clouds,0.0014453298508238775
clouds covered,0.0005147668288702724
clouds girl,2.627910940059657e-05
clouds madeira,0.001174470824610798
collage canvas,0.000276907374521096
colors,0.004018449972333271
colossal,0.000821833404825273
colossal goddess,0.0008231025590402864
comprehensive art,0.0010499143383777138
concept art,0.005543983864187933
contemporary art,0.00026390453105234454
cute fluffy,0.0019463867331095755
cyberpunk,0.002145991872433598
cyborg,0.0027914993840698218
cyborg body,0.0008164341795223096
cyborg bull,0.0006926815236347531
daedric armor,8.291308147721352e-05
dark,0.0023362219572222107
dark uncanny,0.00015796235145812716
detailed painting,0.007169856337102876
detailed portrait,0.00013268001194189198
detailed ultra,0.0007764330141682951
details intricate,0.0010685837649521167
detective pikachu,0.0003030522787952545
deviantart,0.0018273397175541338
deviantart hyperrealistic,0.000759712629273348
deviantart realistic,0.0019092617259180637
digital art,0.005663479427071154
digital painting,0.004248697356393049
digital render,0.0009119427330585836
divine,0.0012648960905910168
divine pink,0.0008172306443962788
dog,0.0012677586796086555
donald,0.0003674729711709086
dragon,0.0007320814055382593
dramatic lighting,0.0008613678869316037
drawing,0.0016652508977380617
dunmer nerevarine,0.0013473673748326236
einstein,0.0023030526046786204
elf,0.0010134255465249736
elson,0.0013146470338288756
emo,0.00029727414633649857
emo punk,0.0007791828825551353
engine,0.001187960106802311
entries sony,0.0007601625941001916
fantasy art,0.003786819868161706
fantasy painting,0.002653620983666333
fantasy style,0.001110734508108703
faroe azores,0.0015095928880289476
fashion clouds,0.0006551030987736894
fiction,0.00025721459989027875
fiction film,9.880963749137038e-05
fifth element,0.0022082178481477805
film,0.004530427530661836
film neuromancer,0.00036331492021320284
flamingos,0.0008217212477697896
flowers,0.0014795185240922336
fluffy,0.0027737723582975326
footage,0.0014610931420716534
forest,0.0014021860988543034
frazetta,0.0013146668122223388
frazetta fantasy,0.00014094874005364885
frazetta giger,0.002700254826755704
futuristic,0.0032013635733356503
garden,0.0008626622286324424
garden intricate,0.0013679689902493034
giant digital,0.0008066161623079435
girl clouds,1.2115259025031116e-05
glamorous sophisticated,0.00023598278752343089
glimpse universe,0.00048304847479098656
goddess,0.001136577629075689
goddess creative,0.0011545547144976517
goddess wearing,0.0001560034462512315
gordon,0.005724634071915846
goth,0.0008037539246753046
goth emo,0.0010034978923793066
goths,0.00045349286518386574
goths loitering,0.0002447738468168622
gundam,0.0005895097107590857
gundam unreal,0.0012842240463424419
gustav klimt,0.0020797828066793766
hd,0.003131280329264312
hd goth,0.0022597485165576576
hd painting,0.0008070532935617342
hd unreal,0.0007452504015393765
heavy detailed,0.00043344751413128567
high quality,0.002910432504127126
hills slavic,0.0006924365263470645
himalayan,0.00015306333550826505
himalayan rocksalt,3.364246912694052e-05
houses,0.0008331836687550104
houses built,0.0008726243876803322
hyper detailed,0.0022795698700478965
