keyphrase,adjusted_mean_shap
photo realistic,23702287496.90087
pablo picasso,23702287496.89983
octane render,18815709759.956493
painted pablo,18815709759.95404
black,2376552794.299825
colossal goddess,2376552794.298114
digital art,2355906303.8200617
illustration art,2355906303.819115
nerevarine,537353691.9055116
giant digital,537353691.9052926
painting,0.01437531955455685
unreal engine,0.012980084690863525
concept art,0.01065771123784825
mila kunis,0.0088030498951222
portrait,0.008722829170344525
art,0.007843828239860875
surreal,0.007842506010592575
gordon,0.007608912361336075
character portrait,0.0068398717333599994
portrait painted,0.006580341439723274
fantasy art,0.00581948132202135
film,0.005549367342451975
josan gonzalez,0.005127735155413225
art style,0.00511702420099265
detailed painting,0.0050424880060319
ruins,0.0050228563221407
digital painting,0.0050113275306448
artstation,0.004790172074574625
matte painting,0.004667952759052925
photorealistic,0.004498193631728401
barbarella,0.0042124813923164
world photography,0.0041250344561158
futuristic,0.004094791515940125
cyborg,0.003989455509794925
abandoned,0.0039540720673666005
deviantart cinematic,0.0037413709112224
trending artstation,0.003541697415616825
drawing,0.003307794070757375
oil painting,0.003303690977236525
beautiful,0.0032597816845777
cinematic composition,0.003138676613215475
spaceship,0.003029381486935
peter,0.003012509505107725
high quality,0.002906383683115
painting beautiful,0.00284899890118155
photo,0.0028383923464127252
fluffy,0.0028241024047829253
century,0.002763433545316075
render hyperrealist,0.002727487916723475
painting deviantart,0.00268730528266505
art smooth,0.0026658352313280002
photography,0.002646433905642675
peter elson,0.0025800561826033004
body portrait,0.0025674910676865
lifelike photorealistic,0.002564313290659634
woman,0.0024922738698945853
lantern candle,0.0024782389352653
manga,0.0024457115769041153
clouds,0.00235081068232115
colors,0.00234038671246325
artistic painting,0.002326253431819525
deviantart,0.002323214630265825
runway,0.0022944831138335753
azores,0.0022931625377380247
art artgerm,0.0022580465617206003
frazetta giger,0.002233373124083795
artwork,0.0022004299321858756
cyberpunk,0.002188964849604375
anime,0.0021840366936957357
screenshot,0.002180993207983375
male dunmer,0.0021748385405616502
sky,0.0021422511300986
room,0.0021153377951841
dunmer nerevarine,0.0021118424606213
saitama,0.002095557110800675
food photography,0.0020844413468126
intricate volumetric,0.002072395466871725
garden intricate,0.002069363035763475
movie,0.001959282705242575
minogue barbarella,0.0019406631873436
gustav klimt,0.0018997615800444333
landscape,0.0018888454859743
fantasy painting,0.0018847708916072555
wallpaper illustration,0.0018801665722720249
scene,0.00177673211566655
photorealistic digital,0.00176070269805875
portrait scifi,0.00174954024553765
cinematic,0.001739453304048282
forest,0.001701660009203025
clouds madeira,0.0016891757992347593
pixar,0.001649824872444375
dark,0.0016434428363175163
comprehensive art,0.001641106773383725
painting stalenhag,0.001629125529500985
length portrait,0.001623856332811975
steampunk,0.0016151680324407252
detailed ultra,0.001608405033048025
photography awards,0.001607284008953325
lightning intricate,0.001602822359371025
einstein,0.0015881039443791998
lighting,0.001581160420865104
footage,0.001575995258211546
ufo ignoring,0.0015442392179194748
ufo,0.0015304639750601998
painting sargent,0.001499529668196083
matte,0.001492006026465025
scariest looking,0.0014861063411403
castle,0.0014748456538216726
divine,0.0014702154340219499
canvas,0.0014698153853870248
space,0.0014646485514474752
realistic cinematic,0.001463348771942
photograph,0.001461996454138525
century modern,0.001459873242572676
illustration,0.0014594947799969381
hd,0.0014265859407870249
hyper detailed,0.001425034113925375
art lifelike,0.0014064568676464247
faroe azores,0.00140368204881395
style portrait,0.0014021154003855947
artistic,0.0013970620365655268
photograph divine,0.001366829091155764
overcast thunder,0.001355534120997925
flowers,0.001352166886762275
starmaker,0.001347041092141
painting artstation,0.0013394346071798503
painting peter,0.0013383840679199498
artstation cinematic,0.0013292978603123
frazetta,0.001310506506771025
dog,0.001271436826022525
shade talking,0.0012679945410454501
elf,0.0012676644566637502
ultra realistic,0.00125885717712005
art realistic,0.0012568223154088751
stars,0.001247742778068175
wallpaper,0.001243230698179725
goddess,0.0012315907247451
cute fluffy,0.00122879267034745
vallejo frazetta,0.0012182283446997
candle volumetric,0.0012136310853740999
cosmic,0.0011950809347503
marble hourglass,0.0011949715426012
fifth element,0.001190601409876047
rpg portrait,0.0011882189883067
phyics entries,0.001185430243926325
sitting snowy,0.0011820128047656
mid century,0.0011814976538536749
pink bonsai,0.0011738846360063498
fantasy style,0.0011721518753909862
engine,0.001153799104293775
detailed portrait,0.0011452457450841
surrealism,0.0011422548466220748
surrealism surreal,0.0011315248180623367
anime epic,0.001127846690944075
donald,0.001114555604397475
art sharp,0.001114093151581925
movie poster,0.0011007584952666002
science fiction,0.00109121791125965
josan,0.0010799319052500608
wizard,0.0010685414141749963
deviantart realistic,0.0010605669443766999
artstation hyperrealism,0.001059714693988325
artstation concept,0.0010478139892011
surreal concept,0.0010238581182144657
goth,0.001014762756978325
hd goth,0.0010097184094443501
garden,0.0009999413100442
natural scene,0.0009928227837798002
cat,0.0009882042794399602
art city,0.0009847565064481333
goths,0.0009648026000016749
camera,0.0009546138917232751
city,0.00095379358543425
sony world,0.0009516319836713501
pixie cut,0.0009390539191498749
madeira faroe,0.00091651231631625
jacket black,0.0009143888735554
dramatic lighting,0.0009092996243552
kylie minogue,0.00089941053418985
alien,0.00089335409693395
dragon,0.0008878895077850899
details intricate,0.0008856468145648334
headshot edwardian,0.000878087556043
modern art,0.0008740577041491999
beautiful landscape,0.000873518243397875
portrait photograph,0.0008618763926971925
houses built,0.000856747092909775
elson,0.000854564307912425
sony,0.0008399110659536
houses,0.0008370613739205527
hd painting,0.0008362386085917479
entries sony,0.0008320706623594499
snowy,0.0008214072580919
painting ronny,0.000808343165937275
bernard simunovic,0.0007942916113555
art trending,0.000790571115087375
gundam,0.0007882147335086001
tracing artstation,0.0007794631570115347
knight,0.0007768340460249414
minogue,0.0007667820273217
bull modeled,0.0007559122715181251
flamingos,0.00074933166013785
saitama anime,0.0007396929726144911
starmaker matte,0.0007374479894176499
painting aesthetic,0.0007365861788201899
heavy detailed,0.0007307375615826499
anime colors,0.0007259112154290285
log houses,0.0007224466215006652
pink flamingos,0.000713408971045975
emo,0.0007132303934768501
low clouds,0.0007038522322571726
deviantart hyperrealistic,0.0007024532244719751
landscape colourful,0.000697758472627475
volumetric lighting,0.000694043162877075
portrait extremely,0.00068531504935664
beksinski,0.000684563817621
modern,0.0006842285781306999
kylie,0.0006815790371875567
glamorous sophisticated,0.0006814153675510049
goddess creative,0.000673545436937175
illustrated,0.0006720631952961666
uncanny,0.000669929345865
painting character,0.0006690940385456589
traits painting,0.0006662299198798357
picasso,0.000646998088640375
fiction,0.0006435328392637018
film neuromancer,0.0006346842688551669
fiery alchemical,0.0006302303251268
portrait painting,0.000627584918300255
art punk,0.000610690366188825
chris,0.0006095026905044333
painting unreal,0.0006075244323417387
digital render,0.0005993005997355499
style contemporary,0.0005940044946265685
fashion clouds,0.0005923836161756333
puppy,0.000586102678783325
gundam unreal,0.0005768163113870723
art thorough,0.0005765459061602956
painted,0.000573493566268675
punk portrait,0.000558461822474616
robot,0.000547269199051826
avant garde,0.000532769054878177
portrait sabouts,0.0005244655801961741
studio ghibli,0.0005238285839650749
bull looking,0.000523306718294325
mixed media,0.0005032941587092
painting lurid,0.0005003806810227027
alien planet,0.00049928343590555
bjork,0.000497267734581816
puppy sitting,0.0004953986532794
intricate details,0.0004866805665787046
goth emo,0.00048626560559222496
statue,0.000483031904630325
beneath cherry,0.000478239872438025
intricate royo,0.0004773879677501072
emo punk,0.0004675069320363
bonsai,0.00046170695307465
cinematic deviantart,0.0004454612025725
lamp,0.0004284628650645761
painting lush,0.0004243040108749287
skyrim elegant,0.00042085839108219416
divine pink,0.00041784452989386745
colossal,0.0004109032805641
clouds covered,0.00040460439873343383
frazetta fantasy,0.00039523516252053335
hd unreal,0.000394050729954703
azores islands,0.000392718916498534
portrait intricate,0.0003912120073789
cyborg body,0.00038997211859553675
zdzislaw beksinski,0.0003882300442237
looking camera,0.0003841265301899
imposing cyborg,0.00038268025122960807
android cyborg,0.00038168278919322503
contemporary art,0.00037595205197737497
body shot,0.000375192340859675
body manga,0.0003740939928450352
castle enclosed,0.00037171203741419995
punk art,0.00036408360758722496
tall castle,0.00035965674330866665
hills slavic,0.0003569107932984027
candle butterfly,0.000356633758069575
chris foss,0.0003538068226885066
intricate hyper,0.0003500738444053
manga illustration,0.00034865411583984775
neuromancer,0.0003479268648354507
wooden churches,0.0003479014086887
lighting hd,0.00034317010923216705
detective pikachu,0.0003428060098061
cyborg bull,0.00034050211415872497
scene science,0.00032001768487322505
pikachu hannah,0.00031375598624680003
vivec portrait,0.00031272224565597297
churches domes,0.0003125322932846333
surreal glimpse,0.00031140604166523335
uncanny painting,0.000304950056428475
painting chris,0.00030465836433719997
portrait male,0.00030233625375400734
glimpse universe,0.0003008856633102333
goddess wearing,0.00028160022335863027
media collage,0.0002650033359925
atmospheric lighting,0.00026032009717202496
goths loitering,0.0002538260243798
fiction film,0.00025222066237696756
picasso hair,0.00022434145961210448
collage canvas,0.00022393878933347502
bonsai tree,0.00022038222184424586
cloud fashion,0.00020815806997602826
daedric armor,0.0002026420104637784
art josan,0.00019945202700863028
edwardian photograph,0.0001958789455723
rocksalt lamp,0.00019576818166611078
science,0.00019095126011968623
himalayan rocksalt,0.00018473465539540042
steampunk butterfly,0.00017144388158217336
himalayan,0.000160419057740375
clouds girl,0.0001576877693190322
creatures surreal,0.0001534472562693
butterfly volumetric,0.00015131003690743993
girl clouds,0.0001470388955788437
wearing cloud,0.00014373000588979143
dark uncanny,0.00014009634160912514
artstation galaxy,0.00013619132742512157
armor daedric,0.00012712126138658876
art hyperrealistic,0.00010582205884135001
steampunk himalayan,2.9086348930824747e-05
blinders photography,2.3781624168482204e-05
surreal dark,1.6602261453157516e-05
oblivion skyrim,1.2443116012582959e-05
alchemical creatures,0.0
