keyphrase,mean_abs_shap
abandoned,0.003022654869704273
alien,0.0
alien planet,51360468552.667694
android cyborg,0.0
anime,0.004959807013869673
anime colors,0.00012904843221959184
anime epic,0.00016663848629569584
armor daedric,3.9113357506236945e-07
art,0.0005623929732891393
art artgerm,0.0
art city,0.00015441707642584914
art hyperrealistic,0.00018747154965916422
art josan,1.0583504579767337e-06
art lifelike,0.00015788886633665993
art punk,0.0012689395279757289
art realistic,0.00039365320146626294
art sharp,0.004950419471247097
art smooth,0.00017452398644531597
art style,0.0017095098673302683
art thorough,0.00013008177721888036
art trending,0.0007030748013
artistic,0.0001495745617251552
artistic painting,0.00014696756059156662
artstation,0.0016115223537182806
artstation cinematic,0.00044236113130751673
artstation galaxy,0.00015009064914288863
artstation hyperrealism,0.000214122769106337
artwork,0.00016002075176059957
atmospheric lighting,0.0
avant garde,0.0
azores,0.0001740924706766561
azores islands,0.0001799959176158733
beautiful landscape,0.0008608818833809441
beneath cherry,1.8710190514194093e-06
bjork,0.0
black,0.0
body manga,0.0011010233968980021
body portrait,0.00017720142873986093
body shot,6.386664912179404e-07
bonsai,0.0008276209043444404
bonsai tree,0.0
bull looking,2.769728457032318e-07
bull modeled,7.116211864889001e-07
butterfly volumetric,0.0
camera,0.0
candle butterfly,3.573796812026361e-06
candle volumetric,0.0
canvas,0.00013018799832657086
castle,0.00010968989311589198
castle enclosed,0.00013655509674402307
cat,0.0001190882965658514
century,0.0004045039841011045
century modern,0.0038510657274073547
character portrait,0.00326738775194914
chris,0.0
chris foss,0.0001241323377474333
churches domes,0.0001547351406721075
cinematic,0.00015911678850665033
cinematic composition,0.00020292609408563758
cinematic deviantart,0.00016877563832221653
city,0.0002995490079919568
cloud fashion,1.3382079109435581e-06
clouds,0.00020787149230629161
clouds covered,0.0014190372482624889
clouds girl,1.2979441039984956e-05
clouds madeira,0.00018756065630936455
collage canvas,0.0018786593641759058
colors,5.626278181494891e-05
colossal,0.00015413320195158795
colossal goddess,0.0001477519030766045
comprehensive art,0.00012395828793908912
concept art,0.00024260971632656178
contemporary art,0.0006771773447547433
cute fluffy,0.00048670185028118273
cyberpunk,0.0006602601678051353
cyborg,0.000766684679721908
cyborg body,2.088206209248197e-06
cyborg bull,2.275334050191327e-06
daedric armor,0.00013856160723216046
dark,0.0
dark uncanny,0.0
detailed painting,0.00013571363111272792
detailed portrait,14986675917.443947
detailed ultra,0.0008658301762590216
details intricate,0.0002443500864053868
detective pikachu,0.00010163530731303015
deviantart,0.00019177054224616278
deviantart hyperrealistic,0.00011427289451517335
deviantart realistic,0.00015741068801092593
digital art,0.005066102937385583
digital painting,0.0004918998250506086
digital render,5072544707.946837
divine,0.00016783584740642814
divine pink,0.0
dog,3.0436901800670623e-07
donald,0.0001506886992390465
dragon,0.00010743771667278334
dramatic lighting,0.0
drawing,0.0013752454914875434
dunmer nerevarine,0.0009562222209272657
einstein,1.4196922144729447e-06
elf,0.0001339904202761681
elson,0.00014499333001755078
emo,0.0001805991086944811
emo punk,0.00016390625889838216
engine,9.279000132122597e-07
entries sony,0.00016083872656210503
fantasy art,0.003995404544715052
fantasy painting,0.0
fantasy style,0.0
faroe azores,0.0005766611392612077
fashion clouds,0.0
fiction,0.00016685697272920857
fiction film,0.00015305130234265305
fifth element,2.1869058711781703e-05
film,0.0017843239789328402
film neuromancer,0.001334145972251356
flamingos,0.0
flowers,0.0
fluffy,0.0001433836276934697
footage,2.15747648145445e-06
forest,0.0026197001118869355
frazetta,0.0011065897609621206
frazetta fantasy,0.0
frazetta giger,0.0031053217558684757
futuristic,0.0009247451912965247
garden,0.0
garden intricate,0.00493040736940589
giant digital,0.00014309000085372013
girl clouds,7.82798323055949e-06
glamorous sophisticated,0.00014508013174686297
glimpse universe,0.0
goddess,0.0001333426387307373
goddess creative,0.0001497579539164964
goddess wearing,1.0739726514887084e-05
gordon,0.0030338110613904647
goth,0.00012602165768971747
goth emo,0.00012644052286205196
goths,0.0
goths loitering,0.0
gundam,1.1191678789651738e-07
gundam unreal,1.7262917501092662e-06
gustav klimt,0.0
hd,0.0
hd goth,0.0007242203487328623
hd painting,0.00015649698841336908
hd unreal,0.0
heavy detailed,0.00017985741380450667
high quality,0.0002708688531792842
hills slavic,5072544707.946837
himalayan,14986675917.43475
himalayan rocksalt,0.0
houses,0.0008725041233673145
houses built,0.0001382185464733486
hyper detailed,0.00014978368026346013
illustrated,0.0
illustration,0.0003461888989881448
illustration art,2.62408910390968e-06
imposing cyborg,1.1350610748331049e-07
intricate details,0.0002540844751965102
intricate hyper,0.0010832270889428019
intricate royo,0.0
intricate volumetric,0.0009448528482606641
josan,2.5168190896194406e-06
josan gonzalez,9.092042714398853e-07
knight,1.641553475219334e-06
kylie,0.00019964747998218768
kylie minogue,0.00018223030943009306
lamp,2.715607433504585e-06
landscape,0.00045144615612930186
landscape colourful,0.00014671499933966898
lantern candle,0.0030582530692455923
length portrait,0.00012025514960548083
lifelike photorealistic,0.00013279879654418703
lighting,0.0008616632850740512
lighting hd,0.0
lightning intricate,0.0
log houses,0.00014887182101771526
looking camera,0.0
low clouds,0.00014758402307727563
madeira faroe,0.00016649410066905704
male dunmer,0.0037454237204070885
manga,0.00016188647700207285
manga illustration,0.0006764668468547747
marble hourglass,0.000845388386821867
matte,51360468552.66796
matte painting,0.0013190847813912064
media collage,0.00012326470235099384
mid century,0.00015390544159941906
minogue,0.00015451668421925558
mixed media,0.0001891245578853129
modern,0.0
modern art,0.00018439869770190366
movie,0.00012295806957392762
movie poster,0.000834142659577218
natural scene,0.00012793640717770113
nerevarine,0.0
neuromancer,0.00026535717048314
oblivion skyrim,0.00014125609443425404
octane render,0.0025915668248951986
oil painting,52811948943.06462
overcast thunder,0.0010265361990473892
pablo picasso,0.0028450386836584465
painted,1.2265482943851858e-05
painted pablo,0.00016026023113515994
painting,0.0033271916923978653
painting aesthetic,0.00017467601217027249
painting artstation,0.00018484407985356124
painting beautiful,0.00693783819978009
painting character,0.00013669584795790533
painting chris,0.0003045061322898701
painting deviantart,0.00024212694868801422
painting lurid,0.0007390468640904558
painting lush,0.001836206940626094
painting peter,0.00018938414227151403
painting ronny,3.2112260278080063e-06
painting sargent,0.006174156081915279
painting stalenhag,0.0
painting unreal,0.00013636162217811392
peter,0.0038988327244402314
peter elson,0.0001779555024456325
photo,0.0007412241795578086
photo realistic,0.0008124182982861764
photograph,3.1080475954696066e-06
photograph divine,0.0007908341164002046
photography,0.00020969191451093852
photography awards,0.0
photorealistic,0.0002255541948069084
photorealistic digital,0.00015591939628083562
phyics entries,0.0
picasso,0.0002859007369352985
