keyphrase,mean_abs_shap
abandoned,0.007999130856149877
alchemical creatures,0.0
alien,0.001605507768454352
alien planet,0.0005098112526527475
android cyborg,0.0014329920745760963
anime,0.0030416613578124123
anime colors,0.0020261222091631295
anime epic,0.0014233465835476083
armor daedric,5.581072298088999e-05
art,0.010407387722337477
art artgerm,0.003767125477455129
art hyperrealistic,0.0
art lifelike,0.0015097361520601546
art punk,0.001953494274731003
art realistic,0.002899033004828634
art sharp,0.0017618884822435976
art smooth,0.004211757754644819
art style,0.0028826412492682515
art thorough,0.0018781687251442688
art trending,0.0024535580215620124
artistic,0.0009477345194834697
artistic painting,0.00042971683150934225
artstation,0.007240112918120697
artstation cinematic,0.002805552362186262
artstation concept,0.0006027566105820231
artstation galaxy,0.00010261652932729298
artstation hyperrealism,0.0010958773044185538
artwork,0.0031485334119165224
atmospheric lighting,0.0011973533809964611
azores,0.002286434653674716
barbarella,0.0018570555803049333
beautiful,0.0027869510110142895
beautiful landscape,0.002698244429659558
beksinski,0.00061917345397213
beneath cherry,2.9080116122048825e-05
bernard simunovic,0.0011746919100083574
bjork,0.000843073979604899
black,0.0008865745712741556
blinders photography,0.00013174615539648043
body manga,0.0031265032018382203
body portrait,0.004068196390842173
body shot,0.0010922574847284218
bonsai,0.0027205535225492987
bonsai tree,0.0014088752703246548
bull looking,0.0010804967199584715
bull modeled,0.0017370301865534527
butterfly volumetric,0.0016824833587688165
camera,0.0022537526968764245
candle butterfly,121383652661.18195
candle volumetric,0.003918161029109622
canvas,0.0010187288002221908
castle,0.0027023275407200417
cat,0.002380605659603106
century,0.002074549250533533
century modern,0.0011368103257915188
character portrait,0.007997521832495797
cinematic,0.004242135828299229
cinematic composition,0.0017493097838210071
cinematic deviantart,0.0019845539300737997
city,0.0033515216728128077
clouds,0.004353119618044788
clouds madeira,0.0014240115366805455
collage canvas,0.0004438974533512412
colors,0.0027081157934873952
colossal,0.0018106049881408686
colossal goddess,0.0004342598862420003
comprehensive art,0.0022803903003571885
concept art,0.013714408549965949
contemporary art,0.0013558300901604858
cosmic,0.00038679914691528214
creatures surreal,9.480890189918285e-05
cute fluffy,0.003757099922576847
cyberpunk,0.005265978514931909
cyborg,0.004541733020824371
cyborg body,0.0011139326735463016
cyborg bull,0.0014647376018316963
daedric armor,0.0001612601931856097
dark,0.001569524000736832
dark uncanny,0.0005026944062986015
detailed painting,0.002247976320683951
detailed portrait,0.017529182921036782
detailed ultra,0.004855489678486468
detective pikachu,0.001904498578451415
deviantart,0.003963819648008008
deviantart cinematic,0.0022296314257648263
deviantart hyperrealistic,0.0013365733272922258
deviantart realistic,0.0018114781509269637
digital art,585164619850.0304
digital painting,0.0061790771379228076
digital render,0.0008535252245708498
divine,0.003550321803251978
divine pink,0.0014477926939172583
dog,0.0017534346751718398
donald,0.0008588474232383341
dragon,0.0019301949770495629
dramatic lighting,0.0010227821256762798
drawing,0.002826711339433553
dunmer nerevarine,0.003584309567519393
edwardian photograph,3.5687841577800163e-05
einstein,0.00022109515404953768
elf,0.002296963221392226
elson,0.0033638158689384993
emo,0.0014237320146374068
emo punk,0.0013948859753194754
engine,0.0026875362114774184
entries sony,0.0003650292489756993
fantasy art,0.006125045895222572
fantasy painting,0.0020062127976346695
fantasy style,0.00045336840690279667
faroe azores,0.0019986120530062776
fiction,0.0013710576585410081
fiction film,0.0015139285505000148
fiery alchemical,0.00038949766499540123
fifth element,0.0024897671430357976
film,121383652661.18358
film neuromancer,0.001725013628644004
flamingos,0.0013980046819772776
flowers,0.004238952879496499
fluffy,0.0014675164458180616
food photography,0.001580346039016198
footage,0.00047006979958205203
forest,0.007270534503182998
frazetta,0.0022247328087316902
frazetta giger,0.0030776612957123593
futuristic,0.002307509020305131
garden,0.0036386108588845347
garden intricate,0.006819357448399554
giant digital,0.0037365043304111423
glamorous sophisticated,0.003715603089098808
goddess,0.0007448885124435454
goddess creative,0.0003056818656827566
gordon,0.01636189749579686
goth,0.00206024647405341
goth emo,0.0009314944747047012
goths,0.0022491738725991337
goths loitering,0.0004089257902897844
gundam,0.0030822342320162796
gundam unreal,0.003785865036965545
hd,0.0023152423744303725
hd goth,0.001712904620997959
hd painting,0.0010431254657440954
hd unreal,0.0026420429849319934
headshot edwardian,0.001225259916461545
heavy detailed,0.0021162361606825095
high quality,0.003985388653145954
himalayan,0.0002651758666882312
himalayan rocksalt,0.0002858630066657221
houses,0.0002026262560440103
houses built,0.0004729852768708606
hyper detailed,0.003570621000358402
illustration art,0.005229546179607345
imposing cyborg,0.0015227561430272117
intricate details,0.001847413993279461
intricate hyper,0.0008270043052990868
intricate royo,0.0010661183767824993
intricate volumetric,0.005632872280047284
jacket black,0.00043871145098740665
josan,0.0024573831462939
josan gonzalez,0.0015491229205402677
kylie,0.00020483526030964938
