keyphrase,mean_abs_shap
abandoned,0.0065979420205703075
alien,0.0009826613435366433
alien planet,0.0009928457944510137
android cyborg,0.0
anime,0.0023797556795751287
anime colors,0.0005801557279355742
anime epic,0.000615974917974393
armor daedric,2.5267527690451906e-05
art,0.007524613406194527
art artgerm,0.0011939046393189307
art city,0.00035560433054264624
art hyperrealistic,0.0007879722858547407
art josan,0.00011157120780773969
art lifelike,0.0006443893345113261
art punk,0.002703209014308753
art realistic,0.0009275685776971346
art sharp,0.006039180346382824
art smooth,0.0013688780680189347
art style,0.003220525830304622
art thorough,0.0010503641414859486
art trending,0.0017426974654277904
artistic,0.00013250748831809784
artistic painting,0.00024854744299758014
artstation,0.0048940807162468165
artstation cinematic,0.0020904812810434896
artstation galaxy,6.694464394303666e-05
artstation hyperrealism,0.0003185422249788713
artwork,0.0015329711217098748
atmospheric lighting,0.00022882600546384607
avant garde,0.0012980020047253886
azores,0.0008498101032091622
azores islands,0.0007016725340770603
beautiful landscape,0.00040713050648894433
beneath cherry,5.265498657229671e-05
bjork,7.373738571018481e-05
black,0.001281956099472982
body manga,0.0011439136229905833
body portrait,0.0012944886261097236
body shot,3.316890177256455e-06
bonsai,0.0013571142645446438
bonsai tree,0.0006068254146668851
bull looking,0.0
bull modeled,4.709517225220112e-06
butterfly volumetric,0.0005269304953110721
camera,0.00030221465824594433
candle butterfly,0.0005189840715156
candle volumetric,0.0005759728959525445
canvas,0.0004413286849232391
castle,0.002829592108090067
castle enclosed,7.53590374439899e-05
cat,0.0011135185076206543
century,0.0010065532028730847
century modern,0.004033736416904067
character portrait,0.005209993803534877
chris,0.0006785453855685358
chris foss,0.00045967624618637094
churches domes,0.0
cinematic,0.0029387800450249744
cinematic composition,0.002774663947083466
cinematic deviantart,0.00028326407651543947
city,0.0010319636130280358
cloud fashion,0.0007771491074574836
clouds,0.001074844097307344
clouds covered,0.0034003697436391454
clouds girl,0.0006811291036832273
clouds madeira,0.0006235283008766434
collage canvas,0.002987088904319674
colors,0.001984355242431366
colossal,1.947324478150808e-05
colossal goddess,1.6570850962168703e-05
comprehensive art,0.0010235671019431293
concept art,0.004206146373797406
contemporary art,0.0028036553265207856
cute fluffy,0.0018201833385227788
cyberpunk,0.0031813974668650287
cyborg,0.0028694012653999548
cyborg body,1.4737963416197496e-06
cyborg bull,0.0
daedric armor,0.0005804120204788972
dark,0.0016381006293569574
dark uncanny,0.0007033699833725564
detailed painting,0.0014895655472206167
detailed portrait,0.009816660879640473
detailed ultra,0.0029206698859540574
details intricate,0.00212548534029171
detective pikachu,0.0008246475845079686
deviantart,0.0011013554852411195
deviantart hyperrealistic,0.0005030324116296275
deviantart realistic,0.00020040397423444514
digital art,0.008853282299132877
digital painting,0.00799378194406569
digital render,0.001074115279283753
divine,0.0004708670269249493
divine pink,0.0004901599142658829
dog,0.0015190133908612618
donald,0.0007342634616303835
dragon,0.0010050785670017801
dramatic lighting,0.0011707346674234933
drawing,0.003025256569463752
dunmer nerevarine,0.003145277255105737
einstein,0.0008395786162658378
elf,0.0009566657929507805
elson,0.0008190784186494253
emo,0.0004856177400296827
emo punk,4.8423944336805544e-05
engine,0.002223081863743158
entries sony,0.0004999852186974788
fantasy art,0.00790276995583203
fantasy painting,0.0010082297830598756
fantasy style,0.0
faroe azores,0.0017004360562453227
fashion clouds,0.0005924488128722801
fiction,0.0003115555709547316
fiction film,0.00013428496216308586
fifth element,0.0007792790947172548
film,0.004446492522201069
film neuromancer,0.0014873389496376343
flamingos,0.00046981263675099016
flowers,0.0008770981429679129
fluffy,0.00025428403750985554
footage,0.0016807579768018891
forest,0.006484686880160856
frazetta,0.0020266498104406774
frazetta fantasy,0.0003577307965355748
frazetta giger,0.0037987617183182494
futuristic,0.004197561288005597
garden,0.0010633892507246937
garden intricate,0.011838611597439926
giant digital,8.013055631651105e-06
girl clouds,0.0005080611716928859
glamorous sophisticated,0.0013299309717319727
glimpse universe,0.00023300137330363937
goddess,0.0003526357293175999
goddess creative,0.0002970524472930996
goddess wearing,0.0005577948850609747
gordon,0.005264537006185839
goth,0.0005773241449676151
goth emo,0.00010458710502118429
goths,0.00016137370618347552
goths loitering,8.531365529790901e-05
gundam,0.001404931553511606
gundam unreal,0.0007543765408467776
gustav klimt,0.0011169743041853555
hd,0.0005589981736656958
hd goth,0.0023199960428077152
hd painting,0.0002839832760087464
hd unreal,0.00012277713198015895
heavy detailed,0.001236603267152829
high quality,0.003092813534316148
hills slavic,4.500691292384156e-05
himalayan,4.9626147699021405e-05
himalayan rocksalt,0.0001638777754688724
houses,0.0012577198300709317
houses built,0.0
hyper detailed,0.001613764927951441
illustrated,0.00012535342016695305
illustration,0.0025075736427299954
illustration art,0.0043832608897625015
imposing cyborg,1.5702680200202353e-05
intricate details,0.0010849060473724997
intricate hyper,0.0017958688858318557
intricate royo,0.0005815651544059916
intricate volumetric,0.0038591894250480756
josan,0.00037355419032009156
josan gonzalez,0.0007768069378454246
knight,0.0008822573214516615
kylie,0.0008020549948207687
kylie minogue,0.001176059284013661
lamp,0.00019825639948531937
landscape,0.0018510943005941552
landscape colourful,0.0006148583282421615
lantern candle,0.0026701461641222527
length portrait,0.0005997770171559933
lifelike photorealistic,0.000611077712791293
lighting,0.002091879008964573
lighting hd,1.3798143409136382e-05
lightning intricate,0.0005790324004753781
log houses,0.0
looking camera,3.033494257187139e-06
low clouds,0.0008116961352539278
madeira faroe,0.0005895472614871562
male dunmer,0.004209955474455146
manga,0.0007921072520898935
manga illustration,0.001602363640662131
marble hourglass,0.0023510619458545342
matte,0.0017106666387459721
matte painting,0.0031706892210931026
media collage,0.0005814567932199793
mid century,0.0007818923026651661
minogue,0.0007515744660320715
mixed media,0.0005307609356792543
modern,0.0009135630874690253
modern art,0.0002737886363083926
movie,1862434524.0371754
movie poster,0.002103895870932421
natural scene,0.0009601221478969438
nerevarine,3.626522780528698e-05
neuromancer,0.001309377048361948
oblivion skyrim,0.0005202830017736775
octane render,0.003704555848248028
oil painting,0.00388003100725906
overcast thunder,0.0014563408407228043
pablo picasso,0.0030702103291659457
painted,0.0007301145664245685
painted pablo,0.0015060002219330654
painting,1862434524.0505786
painting aesthetic,0.000655817895601416
painting artstation,0.0014492968800652773
painting beautiful,0.01069118449172741
painting character,0.0009398339690282745
painting chris,0.0005538043425916237
painting deviantart,0.0022442723301940005
painting lurid,0.0010320967387488892
painting lush,0.0026745898068437335
painting peter,0.0010046408578980597
painting ronny,0.0008696708094429917
painting sargent,0.010682013820366853
painting stalenhag,6.934420700460397e-05
painting unreal,6.490948392000409e-06
peter,0.010387416569833018
peter elson,0.0009208386379980424
photo,0.00449620990439191
photo realistic,0.0020710658222916002
photograph,0.0013892341228817515
photograph divine,0.002634899552850746
photography,0.002249467276388055
photography awards,0.0010721980746761812
photorealistic,0.003119484155019401
photorealistic digital,0.0004876358374015222
phyics entries,0.0007327835342168075
picasso,0.0007783822845720879
picasso hair,0.0005214859236414342
pikachu hannah,0.0007614533039559288
pink bonsai,0.0008316703063391824
pink flamingos,0.00048160354570298946
pixar,0.0008711081683773608
pixie cut,0.0006839767169210769
portrait,0.008702450874597653
portrait extremely,0.0
portrait intricate,0.000620826437544633
portrait male,0.0006732846280172796
portrait painted,0.004062153469565233
portrait painting,0.0018358780698388313
portrait photograph,0.001450533818181702
portrait sabouts,0.0
portrait scifi,0.0016793423619298746
punk art,0.0018092224726374466
punk portrait,0.0003070084840853566
puppy,0.003514566201689957
render hyperrealist,0.0015510111983245362
robot,0.000765556465860226
rocksalt lamp,0.0002760859018330487
rpg portrait,0.0007961727492803306
runway,0.0025303774573124838
saitama,0.005573224738214477
saitama anime,0.002307067357526506
scene,0.0015424683504320176
scene science,0.00010314970223261757
science,4.925715349939064e-06
science fiction,0.0008270267889791362
screenshot,0.0003358010196124116
shade talking,6.839460303060173e-05
skyrim elegant,0.0005637579127549016
sony,0.0013654311401439545
sony world,0.0006406046298749617
space,0.0019527810424200983
starmaker,0.0005132193759594648
starmaker matte,6.846641747865824e-05
stars,0.0007517064064446355
statue,0.0014489784073033378
steampunk,0.0017966932673023628
steampunk butterfly,0.0009578394262812505
steampunk himalayan,5.75608229472988e-05
studio ghibli,0.00018210195215214245
style contemporary,0.00057790786062621
style portrait,0.0014887971453303812
surreal,0.006976227179480118
surreal concept,0.0010482408270505905
surreal glimpse,0.00010143560609907504
surrealism,0.0013212586369616855
surrealism surreal,0.0006230751733523538
tall castle,0.00010414408646436488
tracing artstation,4.9794659136452224e-05
traits painting,0.0006966858311986586
trending artstation,0.002224128237003853
ufo,0.003053955341551437
ufo ignoring,3.1439569697840594e-05
ultra realistic,0.0034115414183165005
uncanny painting,0.0011765173528974007
unreal engine,0.003383127492929916
vallejo frazetta,0.0004659181782329609
vivec portrait,3.326895928887653e-05
volumetric lighting,0.000672715368756539
wallpaper,0.002254654469603319
wallpaper illustration,0.004103369641498147
wearing cloud,0.0008030080117136071
wizard,0.0007600349549306228
woman,0.0015173714970144786
wooden churches,6.631391590374823e-05
world photography,0.002173302994685443
