keyphrase,mean_abs_shap
abandoned,0.003059810039403349
alien,0.001119849929577948
alien planet,0.0011459202980603866
android cyborg,7.135567161096308e-06
anime,0.004422423833328882
anime colors,0.0008065725503609996
anime epic,0.0009584961126619965
armor daedric,0.0
art,0.010040609865777555
art artgerm,0.0029724687002560795
art city,0.001171370138290664
art hyperrealistic,0.0006476293711372161
art josan,0.00044336734118754736
art lifelike,0.0011654352993293964
art punk,0.002026669287034482
art realistic,0.0006843634911808322
art sharp,0.00274263980069286
art smooth,0.0017574235675811684
art style,0.002763548776068031
art thorough,0.001045135624344016
art trending,0.0008598617912443156
artistic,0.0004231222095486297
artistic painting,0.00018459193115400005
artstation,0.003999635901409432
artstation cinematic,0.001005038207542466
artstation galaxy,0.000901537898096058
artstation hyperrealism,0.00028748280754142727
artwork,0.002093977188770347
atmospheric lighting,0.00039714532402978614
avant garde,0.0018951044673151095
azores,0.00024191277298236458
azores islands,0.00015342652185137032
beautiful landscape,0.0011814344093293333
beneath cherry,0.000853216174105919
bjork,0.0002457315883583551
black,0.001566714263875204
body manga,0.0016073524341527696
body portrait,0.0005988421402982493
body shot,1.2290361007141597e-05
bonsai,0.0013657101075194766
bonsai tree,0.00028937689917272954
bull looking,1.5453224547493205e-05
bull modeled,2.397334899935622e-05
butterfly volumetric,0.0008324067784507188
camera,0.0009722762529385654
candle butterfly,0.0006731555649271484
candle volumetric,0.00042280839947332513
canvas,0.001527683401247446
castle,0.0014006977442297605
castle enclosed,0.0009915663194193553
cat,0.0008369753115954543
century,0.0008860154434681522
century modern,0.00274554498280224
character portrait,0.0032863387724236586
chris,0.0002374004216373881
chris foss,2.8707501972554327e-06
churches domes,0.0007558137454818865
cinematic,0.0023263629789841917
cinematic composition,0.0015541965498519776
cinematic deviantart,0.0009199389583481485
city,0.001612286750871456
cloud fashion,0.0010088311394832858
clouds,0.0014778971044137528
clouds covered,0.0015032017799499248
clouds girl,0.0010393516531323143
clouds madeira,0.00047418003406650053
collage canvas,0.0014164086981558917
colors,0.000757437152077737
colossal,0.0011344636117993775
colossal goddess,0.0011332363094980584
comprehensive art,0.0009946199955372863
concept art,0.004165654464924014
contemporary art,0.0018017656399697485
cute fluffy,0.002582442543572168
cyberpunk,0.001503128183541558
cyborg,0.0018825342644297259
cyborg body,7.293111991082767e-06
cyborg bull,8.751638901049524e-06
daedric armor,0.00027615047212206976
dark,0.00020386544625036285
dark uncanny,0.00014300820867068332
detailed painting,0.0003647345959035655
detailed portrait,0.004717537072774225
detailed ultra,0.003027753155764988
details intricate,0.0013755691168097434
detective pikachu,0.0020695029523570352
deviantart,0.0022314658652396683
deviantart hyperrealistic,0.0005361125777837465
deviantart realistic,0.0013506218607544048
digital art,0.00794560738445878
digital painting,0.003972283315007601
digital render,0.0008348154077127024
divine,0.0007655044593911356
divine pink,0.00016715128217841476
dog,0.0011699538477063767
donald,0.00025173541766811765
dragon,0.001751399946003154
dramatic lighting,0.0016861583919491427
drawing,0.0029198553168744545
dunmer nerevarine,0.0011634010894353293
einstein,0.0004358242671058144
elf,0.0012550320359649735
elson,0.0007815981724172765
emo,0.0011979946434908983
emo punk,0.00035872227436424786
engine,0.0005147250176547961
entries sony,0.0006647103483672479
fantasy art,0.006385899159802037
fantasy painting,0.0003414045646518124
fantasy style,3.495582038462336e-05
faroe azores,0.00044091778025893296
fashion clouds,0.0007372129409508921
fiction,0.0013660630862843573
fiction film,0.0007000468849911919
fifth element,0.001390881077811287
film,0.004852595519115911
film neuromancer,0.0016442362391193824
flamingos,0.0001422138145352412
flowers,0.0009740532991843181
fluffy,0.0012942486600832483
footage,0.0009665976782267548
forest,0.004078416198283021
frazetta,0.0012097944934632162
frazetta fantasy,0.0008943896534268316
frazetta giger,0.0030070257306398437
futuristic,0.0015866177794369198
garden,0.0014846588164895925
garden intricate,0.002939173508701048
giant digital,0.0009710992178851469
girl clouds,0.0009108607024352896
glamorous sophisticated,0.0009406670446699085
glimpse universe,0.0005186063830187864
goddess,0.0012360763103918145
goddess creative,0.0011680698099373658
goddess wearing,0.0011378717469721462
gordon,0.003664413634023382
goth,0.00015685896321553176
goth emo,0.0004665099534258325
goths,0.001336298701002737
goths loitering,0.0005529556773909055
gundam,0.001303269998239719
gundam unreal,0.0013638626815648074
gustav klimt,0.00023043391248284947
hd,0.000734705886281189
hd goth,0.0020149293195385787
hd painting,0.0011674950422102988
hd unreal,2.4290212804094685e-05
heavy detailed,0.0009441040304776475
high quality,0.0021013774811532685
hills slavic,0.0008543989370023092
himalayan,0.0008130845910392509
himalayan rocksalt,0.0008623230256616372
houses,0.0014029590052882517
houses built,0.0007708440557927831
hyper detailed,0.0026821051837572505
illustrated,0.0013609255646623642
illustration,0.002787740308377578
illustration art,0.003794173152021065
imposing cyborg,3.59022562319302e-05
intricate details,0.0013120413634717613
intricate hyper,0.0016789308163054112
intricate royo,0.0005984485832323718
intricate volumetric,0.002476102695200985
josan,0.0003615331179824523
josan gonzalez,0.0005365865712036814
knight,0.0005737926988208796
kylie,0.0012731625151468791
kylie minogue,0.0012180729387479515
lamp,0.0009313132860192616
landscape,0.0016534505315940232
landscape colourful,0.0006359368063645444
lantern candle,0.001990373219210242
length portrait,0.0010154992379970069
lifelike photorealistic,0.0009997331700033077
lighting,0.003412567272872413
lighting hd,0.00047861693958247987
lightning intricate,0.0008618384252468121
log houses,0.0007215397400254755
looking camera,4.801427231159308e-06
low clouds,0.0010138058508493996
madeira faroe,0.0008245064153241255
male dunmer,0.0012209908669959673
manga,0.001155674856296618
manga illustration,0.0024902406216424865
marble hourglass,0.0015231029382428531
matte,0.00205864794097981
matte painting,0.0029323957736429435
media collage,0.0011742087501795757
mid century,0.0005091859084444759
minogue,0.001343625497798548
mixed media,0.001092310307015896
modern,0.0003420009678161722
modern art,0.001205315624841995
movie,0.0012120549073278768
movie poster,0.0013675294886453526
natural scene,0.0008970989108497341
nerevarine,0.0004241857805843938
neuromancer,0.0018996628051032056
oblivion skyrim,0.00023307151795603148
octane render,0.002746302486514955
oil painting,0.0037875006434817914
overcast thunder,0.0010013935054891557
pablo picasso,0.00037126032985027035
painted,0.0003685121331688631
painted pablo,0.0003263926498538547
painting,0.013573820721940619
painting aesthetic,0.00016146667215636654
painting artstation,0.001698153078506448
painting beautiful,0.0064423300043768604
painting character,0.0011302100718284809
painting chris,1.827748589274748e-05
painting deviantart,0.0026886758967312333
painting lurid,0.00016563216695612262
painting lush,0.0010553904733407687
painting peter,0.0008475123578346806
painting ronny,0.0004510801728382216
painting sargent,0.007295644328212078
painting stalenhag,0.0009679259433988953
painting unreal,4.781503458224794e-05
peter,0.004733204343770314
peter elson,0.002073129980704006
photo,0.0021292999638199777
photo realistic,0.002973519080914266
photograph,0.0008760859581429033
photograph divine,0.0016205300610693586
photography,0.002075552880056261
photography awards,8.427538261805482e-05
photorealistic,0.003529410312080867
photorealistic digital,0.0012297109546790365
phyics entries,6.755564194209978e-05
picasso,0.0008474847372947172
picasso hair,0.00019818940784232318
pikachu hannah,0.0021010246961683104
pink bonsai,0.0012851793676641593
pink flamingos,6.839339612173174e-05
pixar,0.0007331499362804386
pixie cut,0.00011809989856854282
portrait,0.007198719512020389
portrait extremely,0.0007362252977444861
portrait intricate,0.00014766421267219348
portrait male,0.00014774033728739492
portrait painted,0.0013428591209421155
portrait painting,0.0010492906590962752
portrait photograph,0.00041628493204480847
portrait sabouts,0.0
portrait scifi,0.004287752394806659
punk art,0.001555581020357781
punk portrait,0.00047858320509904325
puppy,0.0014214989470266075
render hyperrealist,0.0015446117021910676
robot,0.000743589022347573
rocksalt lamp,0.000896241841622039
rpg portrait,0.0016313980982559865
runway,0.0017563137713742343
saitama,0.002746613668917989
saitama anime,0.001382886100186286
scene,0.0016191340221161721
scene science,0.0009047314255424061
science,0.0008108607413491356
science fiction,0.0015261244581602303
screenshot,0.001274522705711886
shade talking,0.0010913003865955144
skyrim elegant,0.00017554716280491643
sony,0.0012651948996920874
sony world,0.0008586327182154141
space,0.0005031066975402003
starmaker,0.0005632659235356189
starmaker matte,0.00048193954128340966
stars,0.0025278999951910824
statue,0.0004599297768810242
steampunk,0.001994695563648255
steampunk butterfly,0.0
steampunk himalayan,0.001403546789577262
studio ghibli,0.00018365981200909034
style contemporary,0.0006058853607340376
style portrait,0.00215371330464514
surreal,0.0011556582643697647
surreal concept,0.0009761277258681084
surreal glimpse,0.000520242952147649
surrealism,0.000360350631263244
surrealism surreal,0.001766601772203066
tall castle,0.0008837220510669776
tracing artstation,0.001045576574655467
traits painting,0.0009638239038681248
trending artstation,0.0038802146550557335
ufo,0.0030847705665260836
ufo ignoring,0.0005624482775845222
ultra realistic,0.0018623497877060108
uncanny painting,0.0011770929574242625
unreal engine,0.004674955206796371
vallejo frazetta,0.0006062970018818491
vivec portrait,0.0005145906438600421
volumetric lighting,0.0009845921046352998
wallpaper,0.0011285957861985674
wallpaper illustration,0.002193689457412097
wearing cloud,0.0009148469629237855
wizard,0.0002773533631795649
woman,0.0007248462618509782
wooden churches,0.0009186379339690017
world photography,0.00152092647655244
