keyphrase,adjusted_mean_shap
digital art,146291154962.5131
style portrait,146291154962.50797
film,30345913165.298664
candle butterfly,30345913165.295788
oil painting,13202987235.768425
punk art,13202987235.76797
matte,12840117138.168867
alien planet,12840117138.167585
detailed portrait,3746668979.369003
himalayan,3746668979.358969
hills slavic,1690848235.982579
digital render,1268136176.9873998
painting,465608631.02326596
movie,465608631.0111321
painting beautiful,0.008125864272589324
portrait,0.007931410371697275
painting sargent,0.00790672590131335
mila kunis,0.007902866591827
peter,0.007298333482973851
art,0.007133750991899625
gordon,0.007081164799349075
garden intricate,0.0066318874809865504
saitama,0.006565382131317075
fantasy art,0.006102279888892875
concept art,0.00558220477625345
abandoned,0.0051698844464569
forest,0.0051133344233784
character portrait,0.0049403105401008
digital painting,0.00465926055551165
artstation,0.0044363379723737495
surreal,0.004066544300956925
art sharp,0.003873532025141525
spaceship,0.0037881835329404
matte painting,0.0037047413068854
anime,0.003700911971146475
realistic cinematic,0.00361686778909
male dunmer,0.0034932615382367
puppy sitting,0.0034787424283924
photorealistic,0.003472733190395425
unreal engine,0.0034584860866017
illustration art,0.0033524010776236775
frazetta giger,0.003247192625134675
portrait painted,0.003235599715173375
intricate volumetric,0.003228254312139175
photo,0.003186337079517625
lantern candle,0.003034684962211825
century modern,0.0029417893632262496
detailed ultra,0.002917435724116075
wallpaper illustration,0.0028961056276004754
octane render,0.002887127497572175
ruins,0.0028191796612738
snowy,0.0027892043916351
beautiful,0.0027869510110142
puppy,0.002687177478652675
cyberpunk,0.002652691083285875
art style,0.00264405643074275
trending artstation,0.00256768970153185
scene,0.0025628345735903
photo realistic,0.0025531358304703503
drawing,0.0025367671793147754
cyborg,0.0025150883075939503
world photography,0.0025143465661877753
ufo,0.0024793665827315503
cinematic,0.0024165989102037
photography,0.0023766828716879
high quality,0.0023626121304486
runway,0.002334901236607375
futuristic,0.002254108319761
room,0.0022358993540203
deviantart cinematic,0.0022296314257648
dunmer nerevarine,0.002212302533246875
lighting,0.002185733250146375
cute fluffy,0.002161606913738175
portrait scifi,0.002146161075268525
steampunk,0.0021374640567548
photograph divine,0.0021112960647233997
clouds covered,0.0021075362572838
pablo picasso,0.002088546584475
hyper detailed,0.0020040686980826
art punk,0.00198807802601245
art artgerm,0.0019833747042575
ultra realistic,0.001932022909194225
illustration,0.0018805009500318336
art smooth,0.001878145844172525
deviantart,0.0018721028851837003
barbarella,0.0018570555803049
sitting snowy,0.0018418680606453
painting deviantart,0.0017975821648969748
clouds,0.0017784330780179752
castle,0.001760576821538875
body manga,0.00174469816396985
artwork,0.001733875618539275
woman,0.00172122849048105
marble hourglass,0.001701111223686325
surreal concept,0.001699120169976475
manga illustration,0.0016938771009596502
hd goth,0.0016930125830192252
collage canvas,0.0016815136050006248
contemporary art,0.001659607100351375
frazetta,0.001641941718399375
movie poster,0.00161095421025225
artstation cinematic,0.001585858245519875
food photography,0.0015803460390161
city,0.001573830261176025
cinematic composition,0.001570274093710475
bonsai,0.0015677496997394
film neuromancer,0.00154768369741305
garden,0.00154666473152465
body portrait,0.0015346821464974497
glamorous sophisticated,0.0015328203093118498
pikachu hannah,0.001528766876393178
science fiction,0.0015261491318896499
flowers,0.00152252608041215
painting lush,0.00150939769704115
painting artstation,0.0015005189977328002
statue,0.0014977202110425252
wallpaper,0.0014882339069935248
gundam unreal,0.0014764576377817773
render hyperrealist,0.00146423528686055
portrait painting,0.0014603406732933502
zdzislaw beksinski,0.0014580654191901
vallejo frazetta,0.00145581912292095
gundam,0.0014476369251388492
art trending,0.0014397980198835
length portrait,0.001438590886426175
overcast thunder,0.0014079372285583749
space,0.0013919352538901
colors,0.0013765427424528123
engine,0.0013565677482221033
intricate hyper,0.0013462577740947501
saitama anime,0.001325275565700425
nerevarine,0.0013240892617583718
neuromancer,0.001290876094937075
peter elson,0.00128796427295935
beautiful landscape,0.00128692280721465
lightning intricate,0.0012801753240339999
elson,0.001277371447505625
uncanny painting,0.0012680949266759
details intricate,0.0012484681811689
divine,0.001238632284243575
candle volumetric,0.00122923558113385
art realistic,0.001226154568793175
headshot edwardian,0.0012252599164615
detective pikachu,0.001225071105657325
giant digital,0.0012146766511953878
ufo ignoring,0.001214512564977785
dragon,0.00119852780168175
photograph,0.0011820165134289174
faroe azores,0.0011791567571929
bernard simunovic,0.0011746919100083
landscape,0.001173651420993275
fifth element,0.0011704490935689706
elf,0.001160662867645975
surrealism surreal,0.0011529689132504751
photorealistic digital,0.001142718731984325
modern art,0.001136092948754525
intricate details,0.00112461146983
heavy detailed,0.00111920021802935
scene science,0.001118759068712975
cat,0.001112546943846225
dog,0.0011106765706893266
comprehensive art,0.0011056339214441
pink bonsai,0.0011054681292387001
century,0.001092905470243925
madeira faroe,0.0010872380968741501
rpg portrait,0.001081063316993975
pixar,0.001068090764939675
avant garde,0.0010643688240134666
detailed painting,0.001059497523730175
robot,0.0010531248530343
painting lurid,0.001048240853749325
stars,0.0010477048175194501
picasso,0.00104559975626705
art thorough,0.001025937567048225
manga,0.001020732375080375
portrait intricate,0.0009986718465631
painting peter,0.0009882734853748501
painted pablo,0.0009733866799347
dramatic lighting,0.0009699187962621751
painting character,0.00094887576713205
goths,0.0009367115699463
houses,0.0009339523036926
black,0.0009338112336555501
alien,0.0009270047603921999
surrealism,0.000926231591886325
screenshot,0.00090501191889375
hd,0.00090223660859425
mid century,0.000899993354106825
natural scene,0.0008887550056611751
azores,0.000888062500135675
sony,0.0008859907396436001
anime colors,0.00088547472991975
low clouds,0.000882630062495425
camera,0.0008820609020152
deviantart realistic,0.00087997866848165
art lifelike,0.0008693624130593251
portrait photograph,0.0008679909299420818
landscape colourful,0.000863539294273325
dark,0.000852872519086
sky,0.0008495626177317
painted,0.0008459250608161129
cinematic deviantart,0.00083913315081485
fantasy painting,0.0008389617863365501
kylie minogue,0.0008237045016215
emo,0.0008219858767130499
shade talking,0.0008120437651659516
fiction,0.0008038833221273
josan,0.0007987468184214799
volumetric lighting,0.0007977383720369858
anime epic,0.00079111402511985
fluffy,0.0007898581927761
scariest looking,0.0007892852985843
footage,0.0007798957327729886
colossal,0.000779668761668277
canvas,0.0007794822211798
lifelike photorealistic,0.0007744365408278249
traits painting,0.0007630178600930501
butterfly volumetric,0.0007604551581326251
tracing artstation,0.0007520220334574381
style contemporary,0.0007394648029084
painting ronny,0.000737722345281852
goth,0.00073011280998155
josan gonzalez,0.00071585640846516
phyics entries,0.0007132050149709999
minogue barbarella,0.0007120531755407
minogue,0.000707570695545475
painting stalenhag,0.000706428009009551
hd unreal,0.0006972775824290238
mixed media,0.00068868060080985
media collage,0.000680224191778175
clouds madeira,0.0006773201319832249
hd painting,0.00066277519309405
portrait extremely,0.000639362473508775
picasso hair,0.000637109514374575
skyrim elegant,0.0006317045367934001
fiction film,0.000625327924999175
deviantart hyperrealistic,0.00062249780280515
kylie,0.0006199250625648
beksinski,0.0006191734539721
goddess,0.000616735797720875
artstation concept,0.000602756610582
modern,0.0006014425720548
cloud fashion,0.0005957728182838479
clouds girl,0.0005778200659518284
wearing cloud,0.0005768446288222769
bonsai tree,0.000576269396041025
goddess wearing,0.0005688021195159623
intricate royo,0.0005615330286051501
art city,0.0005604638484196666
pink flamingos,0.0005514721494711929
vivec portrait,0.0005468620404491691
uncanny,0.0005455372009979
punk portrait,0.0005341164681863
divine pink,0.00052627597259035
portrait male,0.0005046468803475499
flamingos,0.000502507783315825
donald,0.0004988837504439251
illustrated,0.0004954263282764001
emo punk,0.0004914846132296764
knight,0.00048589719124920647
goddess creative,0.00048014051920735
starmaker,0.0004797152165053755
artstation hyperrealism,0.00047900627651125
girl clouds,0.0004755832857861865
sony world,0.0004661820027319
atmospheric lighting,0.00045583117762247496
gustav klimt,0.0004491360722227
fashion clouds,0.0004432205846076666
bull modeled,0.00044160616849111634
lamp,0.00043890914996872615
jacket black,0.0004387114509874
colossal goddess,0.00043295473744469216
steampunk himalayan,0.00042421656000234966
entries sony,0.00042264088565057496
frazetta fantasy,0.0004173734833207666
artistic,0.00041323469476877496
pixie cut,0.00040822015370963036
goth emo,0.0004072580140034
art hyperrealistic,0.00040576830166275
castle enclosed,0.00040116015120242993
imposing cyborg,0.000393618646391704
fiery alchemical,0.0003894976649954
looking camera,0.00038795531933136164
wooden churches,0.0003872128709145161
cosmic,0.0003867991469152
photography awards,0.0003827964589001387
tall castle,0.0003822665763150333
einstein,0.00037447943240889324
wizard,0.000369595344516975
cyborg bull,0.0003689411436957102
android cyborg,0.00036003191043427405
houses built,0.0003455119697842
azores islands,0.00034503165784803336
dark uncanny,0.000337268149585425
himalayan rocksalt,0.000328015951949025
steampunk butterfly,0.0003192798087604
chris,0.0003053152690686
artstation galaxy,0.00030529743012725917
churches domes,0.00030351629538463335
science,0.00029416541455325976
rocksalt lamp,0.0002935789694694132
painting chris,0.0002921959869247158
bjork,0.0002906357384183212
daedric armor,0.000289096073254625
log houses,0.000282743328188925
cyborg body,0.0002811969470220627
body shot,0.000277125850601004
studio ghibli,0.000275741862477625
bull looking,0.0002740567293378991
painting aesthetic,0.00026870824147158317
oblivion skyrim,0.00026618138756520003
goths loitering,0.00026179878074462725
artistic painting,0.000252455941563075
glimpse universe,0.0002505359187741
starmaker matte,0.0002423558282950263
beneath cherry,0.00023420557396291623
portrait sabouts,0.000225224889560225
surreal glimpse,0.0002074696808302592
chris foss,0.00019555977804365182
art josan,0.00018533229981772554
lighting hd,0.00016413836099717883
painting unreal,0.0001446147739369371
blinders photography,0.0001317461553964
fantasy style,0.00012208105682183084
creatures surreal,9.480890189918284e-05
surreal dark,7.052662123103165e-05
edwardian photograph,3.5687841577800163e-05
armor daedric,2.0367346061601064e-05
alchemical creatures,0.0
