keyphrase,mean_abs_shap
abandoned,0.0
alien,0.00016441842065812685
alien planet,0.0004456065998429816
android cyborg,0.00024250036053092314
anime,0.007190494405377006
anime colors,1.0895850840136287e-07
anime epic,4.7478561680618e-06
armor daedric,2.0573896370448694e-06
art,0.00047366734529259437
art artgerm,8.532729282466014e-06
art city,0.0023818167029053122
art hyperrealistic,0.00022317771661759344
art josan,0.00016100660166097202
art lifelike,0.00022733167320885425
art punk,0.0007854497515065052
art realistic,0.0016612215432139088
art sharp,0.0044331182892034336
art smooth,0.0014556506823362313
art style,4.869432431716553e-06
art thorough,0.00022243433874833698
art trending,0.0
artistic,0.0001747767426229815
artistic painting,0.00017817789857211652
artstation,0.007744828601872031
artstation cinematic,2.6957479819886257e-06
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,5.0253107252394406e-05
atmospheric lighting,0.0013514831938599163
avant garde,0.0001244729331557134
azores,0.00018372052227102966
azores islands,0.0
beautiful landscape,3.259761884514046e-06
beneath cherry,0.00023043892591035286
bjork,4.238294095745393e-07
black,0.00015954114859145267
body manga,0.00021179784036976483
body portrait,0.0
body shot,0.00017892968169867267
bonsai,0.0001756714755888938
bonsai tree,0.0
bull looking,0.00016966854345441124
bull modeled,0.00017297914520015938
butterfly volumetric,0.0
camera,0.0024390662441554837
candle butterfly,0.0
candle volumetric,0.00019507220012293978
canvas,0.0
castle,0.00557423620140505
castle enclosed,0.0
cat,0.0008465716452043305
century,0.0010114341567954276
century modern,0.00023923984124045984
character portrait,0.0006455996514157015
chris,5.326700403791135e-05
chris foss,7.291783090905697e-07
churches domes,0.0
cinematic,6.708278393007852e-05
cinematic composition,0.0015917148405855985
cinematic deviantart,0.0001761939195735987
city,0.0009795989564308882
cloud fashion,0.0009009764592037607
clouds,0.0023059378888707375
clouds covered,0.0
clouds girl,3.1608529939229565e-06
clouds madeira,0.0
collage canvas,0.00022513702379664386
colors,0.0006023427242903546
colossal,1.64548541754845e-05
colossal goddess,0.0
comprehensive art,0.001977036922166349
concept art,0.0018012992107374953
contemporary art,0.00017004434003800665
cute fluffy,0.00022929850630532344
cyberpunk,0.0002894188028455364
cyborg,0.00019958784063351946
cyborg body,0.00015426623372212752
cyborg bull,0.00017214409032310937
daedric armor,0.0
dark,0.000818462382712865
dark uncanny,0.00017127568212128857
detailed painting,0.00022798139141769222
detailed portrait,0.00015991917553339596
detailed ultra,0.0033888447172020935
details intricate,0.0
detective pikachu,0.00019936215830208137
deviantart,0.0017131748915182184
deviantart hyperrealistic,7.393611258497232e-06
deviantart realistic,0.0002744537507053291
digital art,0.00048064160308257945
digital painting,0.003268039308386622
digital render,0.001150611731239039
divine,0.00020297681977762602
divine pink,0.0002637871054366803
dog,0.0
donald,1.6277075737425363e-06
dragon,2.374974284501993e-05
dramatic lighting,0.0
drawing,0.0002021829773594737
dunmer nerevarine,4.202367483753464e-06
einstein,0.0
elf,0.0035843288733824023
elson,0.0023595182053434195
emo,0.0001809139263794886
emo punk,0.0002308421498684945
engine,0.00013227808687046535
entries sony,0.00015813299280268407
fantasy art,0.007010314377557397
fantasy painting,0.004439214222114487
fantasy style,0.0010148380909417174
faroe azores,0.00024816829329457336
fashion clouds,1.0555268542232621e-06
fiction,0.00015771047047489584
fiction film,0.0025620531778328213
fifth element,0.0013721678487322126
film,0.00828044450905882
film neuromancer,3.4218554530689814e-06
flamingos,0.00016097546216347966
flowers,3.021099698334646e-06
fluffy,0.00019606454297362401
footage,10291460169.035788
forest,0.0
frazetta,0.0021559941426070855
frazetta fantasy,0.00018103791278226782
frazetta giger,0.0015462112633039533
futuristic,6.294434739736765e-06
garden,0.0
garden intricate,0.00017782185655736116
giant digital,3.5456188097386614e-06
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,2.6317844536312676e-06
goddess,0.0005452999949361123
goddess creative,0.0002755951435153305
goddess wearing,0.0
gordon,0.0015707073024180424
goth,3417331836.472017
goth emo,0.00015889185945763332
goths,0.00019095257235539941
goths loitering,0.0001856278346199053
gundam,2.495049792497024e-06
gundam unreal,0.0
gustav klimt,0.0005551378653038245
hd,0.0
hd goth,0.0001450010569657074
hd painting,0.00019759063977563363
hd unreal,2.6989420077872355e-06
heavy detailed,0.00019125075705170636
high quality,0.0007228030427617638
hills slavic,0.0
himalayan,3417331836.4726024
himalayan rocksalt,0.00024853778605619156
houses,3.3000846550406596e-06
houses built,0.0
hyper detailed,0.000788580923742929
illustrated,4.111963190227761e-05
illustration,0.00022622656881297906
illustration art,0.0013457391913544996
imposing cyborg,0.00017128715483054625
intricate details,0.00016825178030913793
intricate hyper,0.00016492298861326982
intricate royo,3.180295587886889e-05
intricate volumetric,10291460169.041122
josan,0.00028949023423314535
josan gonzalez,0.00023429298294477317
knight,0.0002557803783274253
kylie,0.0
kylie minogue,0.0
lamp,1.5868191689862417e-05
landscape,0.00025153768842459844
landscape colourful,6.022664681464486e-06
lantern candle,0.00010805294709399359
length portrait,0.00017354456801062592
lifelike photorealistic,0.005216774470132315
lighting,0.0015818363835006924
lighting hd,0.0
lightning intricate,0.0001817062064738446
log houses,0.0
looking camera,0.00023217264039443426
low clouds,0.00015104741381172313
madeira faroe,0.00019510559479879273
male dunmer,0.0
manga,0.00016358180895670118
manga illustration,0.0002642581784405277
marble hourglass,0.00017806484863326814
matte,0.0002001934107931055
matte painting,0.007943511266927081
media collage,0.0
mid century,6.293135988046712e-07
minogue,1.6160972500119348e-07
mixed media,2.3784607114350713e-06
modern,0.0004179701630077371
modern art,0.0
movie,0.003221246773407127
movie poster,0.00023432515204681548
natural scene,0.0013917000515272704
nerevarine,0.0
neuromancer,4.378598752688872e-06
oblivion skyrim,0.0
octane render,9.993119096137508e-05
oil painting,0.0003479604624913738
overcast thunder,4.759756475984481e-07
pablo picasso,0.00015514840671134402
painted,5.254042177266255e-05
painted pablo,0.0002140832905015863
painting,0.05518948829603737
painting aesthetic,2.0852264266670587e-06
painting artstation,0.00045635268052424854
painting beautiful,0.0036785707136500617
painting character,0.00018755597693845063
painting chris,1.0367082992103916e-06
painting deviantart,2.982414027165896e-05
painting lurid,0.00015624674300375782
painting lush,0.0005990629304306176
painting peter,0.0002372531524974475
