keyphrase,mean_abs_shap
abandoned,0.000345490774962181
alchemical creatures,0.0006470676057148323
alien,0.0019072986653618723
alien planet,0.005079754418582408
android cyborg,0.0014456638296853558
anime,0.01618923072116815
anime colors,0.0010920860671135783
anime epic,0.0022482580253120384
armor daedric,0.001229210360712858
art,0.015675056110640406
art artgerm,0.002873566904427609
art hyperrealistic,0.0
art lifelike,0.002262089101811479
art punk,0.0009867973530408255
art realistic,0.004881987644448521
art sharp,0.0016848232441952322
art smooth,0.009386003982470092
art style,0.0035464867317577544
art thorough,0.0005043544472558167
art trending,0.0028846151434104893
artistic,0.0011127151911292
artistic painting,0.002576495041519755
artstation,0.006339360022538252
artstation cinematic,0.0029143762987142983
artstation concept,0.000272391292508572
artstation galaxy,0.0014447718990198495
artstation hyperrealism,0.0017520248900736802
artwork,0.0033987974662203434
atmospheric lighting,0.001572476183328807
azores,0.00012000998043809315
barbarella,0.0025756358544997983
beautiful,0.0012904551135241155
beautiful landscape,0.0020137116967297555
beksinski,0.0002949792854838401
beneath cherry,0.001401936787886377
bernard simunovic,0.0038665838355685877
bjork,0.000760563453700301
black,0.004511002462503046
blinders photography,0.0016457339585584884
body manga,0.0014652850070937529
body portrait,0.0014598423906300134
body shot,0.0013134807784313612
bonsai,0.00018179153962026492
bonsai tree,0.0010020947542242647
bull looking,0.0011819458810681713
bull modeled,0.001003087786356
butterfly volumetric,0.0008172258781354707
camera,0.0010102934636635644
candle butterfly,0.000101617217538043
candle volumetric,0.0018781390050622807
canvas,0.0010168830628106266
castle,0.005606265950486789
cat,0.004984887899584952
century,0.0031426760301869216
century modern,0.009482950815746074
character portrait,0.0026561128734789445
cinematic,0.0024002617551092975
cinematic composition,0.004489036484060807
cinematic deviantart,0.0015456915264941387
city,0.003169296385319983
clouds,0.008828280504350342
clouds madeira,0.0004486956898876998
collage canvas,0.0004371922242183222
colors,0.0026057691997039886
colossal,0.0025496257817900505
colossal goddess,0.0019436349250577297
comprehensive art,0.004340117527057969
concept art,0.00708872673860705
contemporary art,0.0010487627757844859
cosmic,0.0013796603550233163
creatures surreal,4.456242555854751e-05
cute fluffy,0.0059810308025052975
cyberpunk,0.002125123686878523
cyborg,0.0013996458149583197
cyborg body,0.0018928278619604764
cyborg bull,0.0022419650324851936
daedric armor,0.0016372548977464608
dark,0.0018714645566288962
dark uncanny,3.0458993037398377e-05
detailed painting,0.0025019193936524323
detailed portrait,0.011612373442275191
detailed ultra,0.00235770780360686
detective pikachu,0.0028763051335650553
deviantart,0.0038110650391351376
deviantart cinematic,0.0009387741490142081
deviantart hyperrealistic,0.002937764444447033
deviantart realistic,0.0008892182718130775
digital art,0.00550887929639613
digital painting,0.0035579024643299343
digital render,0.0016269619956204373
divine,0.002033257536900435
divine pink,0.0014546702255282351
dog,0.00282479109233899
donald,0.001693673952667746
dragon,0.002629506244073186
dramatic lighting,0.0031016760347110746
drawing,0.002094183092907606
dunmer nerevarine,0.0
edwardian photograph,0.001246280493451881
einstein,0.0018046241636093645
elf,0.008108832768009474
elson,0.011965864164351848
emo,0.001537570321692992
emo punk,0.0015000369099765947
engine,0.002751774146047302
entries sony,0.0015972335415387468
fantasy art,0.010447354099421309
fantasy painting,0.013262041698059515
fantasy style,0.0020740956789394843
faroe azores,0.00020663268362039233
fiction,0.0014919266422183418
fiction film,0.0064831515211644175
fiery alchemical,2.0047806526040353e-05
fifth element,0.0017227829754687314
film,0.006657844289152455
film neuromancer,0.00010483995048416337
flamingos,0.0003351470864623794
flowers,0.0011472346911183067
fluffy,0.002176841794683844
food photography,0.002622127803753629
footage,0.002905193003289342
forest,0.002800965624799854
frazetta,0.004921575815067972
frazetta giger,0.00537408103200818
futuristic,0.0008284082822862738
garden,0.0012589211036961726
garden intricate,0.0017076657398817138
giant digital,0.0013825352309152755
glamorous sophisticated,0.004010290469841335
goddess,0.0029364967307843413
goddess creative,0.0002484539297914921
gordon,0.00769598024960727
goth,0.004916033586409576
goth emo,0.0010216443720820804
goths,0.00444428976489432
goths loitering,0.0011392492642662954
gundam,0.0010396275291223954
gundam unreal,0.0007380862223431622
hd,0.003159535899820222
hd goth,0.0017722452905251148
hd painting,0.00160569014349892
hd unreal,0.002116479948499442
headshot edwardian,0.0011042424608172293
heavy detailed,0.005484256190849825
high quality,0.0041149380870019224
himalayan,0.0003145570342153126
himalayan rocksalt,0.00026884427030402126
houses,0.0020084689898090453
houses built,0.001965387804915135
hyper detailed,0.004785934895551016
illustration art,0.003561667338475056
imposing cyborg,0.0013537295058745223
intricate details,0.0004633155293662754
intricate hyper,0.0011269751369290023
intricate royo,0.0019614845701383453
intricate volumetric,0.0017812165948705848
jacket black,0.0001718195330979799
josan,0.000654901660461842
josan gonzalez,0.000984659607603533
kylie,0.0013506380497785911
kylie minogue,0.0023653007156569936
lamp,0.0003605446340649353
landscape,0.006213983269270605
landscape colourful,0.0010384643762113331
lantern candle,0.0027356726920323205
length portrait,0.0005526152129794858
lifelike photorealistic,9.347420204013859e-05
lighting,0.003700653229775495
lightning intricate,0.0015519863823984762
log houses,0.003234855990912392
looking camera,0.0014574702169026462
low clouds,0.002600767064965977
madeira faroe,0.000917356192002758
male dunmer,3.7455838007289456e-05
manga,0.0033971082542725937
manga illustration,0.00020882098811452434
marble hourglass,0.0024056980803195288
matte,0.0017461057208193209
matte painting,0.008426749835353391
media collage,0.0
mid century,0.004981876219151598
mila kunis,0.002768637098593677
minogue,0.0015629959375351896
minogue barbarella,0.0021563779961510875
mixed media,0.00020976030700085128
modern,0.0016820279547374792
modern art,0.0026620117337571147
movie,0.006115904937197905
movie poster,0.0016455629765311877
natural scene,0.001712647369263223
nerevarine,0.0037903914539659154
neuromancer,0.0010366390920412462
oblivion skyrim,3.3551445655727204e-05
octane render,0.0018528107757367393
oil painting,0.006165948104692907
overcast thunder,0.0015205148488579708
pablo picasso,0.0015118307273435955
painted,0.0008134892387449275
painted pablo,0.0014259917867581683
painting,0.032830230462683074
painting aesthetic,0.0032426580063356766
painting artstation,0.003327449725233102
painting beautiful,0.01391699370910804
painting character,0.0008510601611850828
painting deviantart,0.0037251660702944805
painting lurid,0.001310676230243724
painting lush,0.0025898380411388832
painting peter,0.0018420377895047352
painting ronny,0.0005430595102014843
painting sargent,0.005711307693908947
painting stalenhag,0.0008237055035425588
