keyphrase,mean_abs_shap
abandoned,0.0003252292356776742
alien,0.0008057265256596957
alien planet,0.0010254576939763857
android cyborg,9.423457342445852e-05
anime,0.007266546131797603
anime colors,0.0003190111769425474
anime epic,2.3399337704511298e-05
armor daedric,3.137340456342279e-06
art,0.006345838201518419
art artgerm,0.0012622544565071435
art city,0.0025053078429025898
art hyperrealistic,0.0
art josan,0.0009620235022847244
art lifelike,0.0010559326997977314
art punk,0.0010682689114908316
art realistic,0.00334363412616795
art sharp,0.006359467490806373
art smooth,0.00259492357410261
art style,0.0008343409375293745
art thorough,0.0011567361999677303
art trending,0.0005201943032987498
artistic,0.0010653046765754044
artistic painting,0.0003435155134903883
artstation,0.017517794589612386
artstation cinematic,0.0006485669372465404
artstation galaxy,0.0005582371572567801
artstation hyperrealism,5.000407784003813e-05
artwork,0.0018631752290998057
atmospheric lighting,0.00315983779295999
avant garde,0.0001491740672637081
azores,0.0006621953364969783
azores islands,6.569539902718188e-05
beautiful landscape,0.0007138752758245552
beneath cherry,5.049521634074493e-06
bjork,0.0005878927520709403
black,0.0017728952285803162
body manga,0.00013215821909549688
body portrait,7.610933893089332e-05
body shot,2.3935803271023184e-05
bonsai,0.0001112369659359467
bonsai tree,9.60336382451858e-05
bull looking,6.04062056478114e-05
bull modeled,0.00011017142606607557
butterfly volumetric,3.415165620689272e-05
camera,0.0019140417822651019
candle butterfly,0.00020085353481884353
candle volumetric,0.0
canvas,0.0014893514448955565
castle,0.007884973044018589
castle enclosed,0.0
cat,0.0021430330864645186
century,0.0010845370724899056
century modern,0.0021360040607774308
character portrait,0.0015110651587132828
chris,0.0008300190076209764
chris foss,0.0007089796391194588
churches domes,0.0
cinematic,0.000573736394416471
cinematic composition,0.002485051761825649
cinematic deviantart,0.0005962260565100311
city,0.0016195412981981979
cloud fashion,0.0012927486719229598
clouds,0.0036493762613362193
clouds covered,0.0009877284890923825
clouds girl,0.0006697464398642874
clouds madeira,6.762244242268862e-05
collage canvas,0.0011720649102697574
colors,0.002353607452625993
colossal,0.0008833080972321261
colossal goddess,0.0006956189682281693
comprehensive art,0.0031828402007637382
concept art,0.002251700089074342
contemporary art,0.0009228386944980107
cute fluffy,0.0009613931051642722
cyberpunk,0.0017922446232341799
cyborg,0.0004531756309031596
cyborg body,5.050262154594367e-05
cyborg bull,7.762877405570615e-05
daedric armor,0.0003049810249278482
dark,0.0021265693906022815
dark uncanny,0.0005818490560730461
detailed painting,0.0020457742121788277
detailed portrait,0.0006075104414258891
detailed ultra,0.0026414186395887253
details intricate,0.00046487811511325785
detective pikachu,0.0004587996937461564
deviantart,0.003895214007710898
deviantart hyperrealistic,0.00011976167533961899
deviantart realistic,0.0017040194817596458
digital art,0.0060530165505404765
digital painting,0.019989180442779173
digital render,0.0017119924234785806
divine,0.0006514676617494754
divine pink,0.0009464946957587529
dog,0.0017780566418811523
donald,0.0004509848275839986
dragon,0.0005087230326065468
dramatic lighting,0.0011526515707709802
drawing,0.000709570020634148
dunmer nerevarine,2.693554159783283e-05
einstein,0.0013054894069919041
elf,0.006260742416964958
elson,0.0008399640942092875
emo,0.0009304662861232667
emo punk,0.0007435430892720589
engine,0.0016579713493122164
entries sony,0.0005804939065726381
fantasy art,0.008288210447689631
fantasy painting,0.003533134054373605
fantasy style,0.0027214534398062665
faroe azores,0.0008413294722203648
fashion clouds,3.56466536180636e-05
fiction,0.0012290532901627594
fiction film,0.0037841548314335696
fifth element,0.002293388416984975
film,0.018391276258172422
film neuromancer,0.0009638209794556114
flamingos,0.0009568468094608448
flowers,0.0016906520306059947
fluffy,0.0003610516598462358
footage,0.0014760645800895773
forest,0.0013466059041103361
frazetta,0.0028094434788517347
frazetta fantasy,0.0006289539844414781
frazetta giger,0.002763085432784116
futuristic,0.00019549547318638744
garden,0.0004208955460260608
garden intricate,1.8065893739784532e-05
giant digital,0.0008823260224665556
girl clouds,0.000795718648888988
glamorous sophisticated,0.0008696683878342065
glimpse universe,0.00019052823996947783
goddess,0.002807050815897508
goddess creative,0.0003834292973978638
goddess wearing,0.0004962893668757288
gordon,0.006189702220168369
goth,0.0007810144884360558
goth emo,0.0006097749617377278
goths,0.00010062121305304577
goths loitering,1.9705849994539254e-05
gundam,0.000998279055936784
gundam unreal,0.000585024948350437
gustav klimt,0.0014500307274890112
hd,0.00031088590547649294
hd goth,0.0006973645690584972
hd painting,0.00015705931309153377
hd unreal,4.2216963276269436e-05
heavy detailed,0.0010303111558030843
high quality,0.0021422349268375744
hills slavic,6.714072941376311e-06
himalayan,0.0019824809731169937
himalayan rocksalt,0.00020773021891225488
houses,6.967852174332147e-05
houses built,1.9787615512034755e-05
hyper detailed,0.002359904797962361
illustrated,0.000665099217810047
illustration,0.0003539952023019215
illustration art,0.0016908417114165585
imposing cyborg,3.016649484287744e-05
intricate details,0.00044921239514602256
intricate hyper,0.0
intricate royo,3.112907682851815e-05
intricate volumetric,0.004830332206837236
josan,0.0007505776502603176
josan gonzalez,0.000697402066208863
knight,0.0005765485370177522
kylie,0.0009083577758140793
kylie minogue,0.0007756221379232747
lamp,0.00014811718948665642
landscape,0.0027734635590555123
landscape colourful,0.0005805828252047681
lantern candle,0.002154864093039921
length portrait,0.0007850445615736816
lifelike photorealistic,0.006890079293214669
lighting,0.0034317166669291656
lighting hd,0.0012985307098381206
lightning intricate,0.0009626168903151696
log houses,2.8763547585790344e-06
looking camera,2.9862304482049596e-05
low clouds,0.0007682429302133014
madeira faroe,0.0010971081221299106
male dunmer,3.692621592558646e-06
manga,0.0005021251321691516
manga illustration,1.2790202410835617e-05
marble hourglass,6.320565265326939e-05
matte,380828180917.3691
matte painting,0.010989242987802988
media collage,0.0007501868901307878
mid century,0.0010972848297361051
minogue,0.0009228484119338119
mixed media,0.0007719417638684174
modern,0.000371193837994332
modern art,0.001051071782257081
movie,0.004668207716973198
movie poster,0.0011415743035352865
natural scene,0.00236984060931627
nerevarine,0.0004684661218199164
neuromancer,0.0007035741568821674
oblivion skyrim,4.4128429336145784e-06
octane render,0.002515468361208752
oil painting,0.0025798203198850646
overcast thunder,7.09138651620756e-05
pablo picasso,0.0006372901483470113
painted,0.0009948466767205294
painted pablo,0.0006246864214298205
painting,0.10725693687144679
painting aesthetic,0.0004570898196255899
painting artstation,0.0026540746239678732
painting beautiful,0.005629241133821923
painting character,0.0007146217451831896
painting chris,0.0008049041620865883
painting deviantart,0.0003073600629071944
painting lurid,0.00016021009894227092
painting lush,0.0007879124643828004
painting peter,0.0007157042492183323
painting ronny,0.0009083394166450791
painting sargent,0.004000957624937708
painting stalenhag,0.0001712322870959046
painting unreal,1.8335437291544158e-05
peter,0.003590349071202318
peter elson,0.0008290224351960824
photo,0.004400724381583479
photo realistic,0.0006507704574822078
photograph,0.0011831922229455399
photograph divine,0.005345340256628956
photography,0.0010806487905998658
photography awards,0.0005907067605471711
photorealistic,0.008480523582255864
photorealistic digital,0.000687197874134352
phyics entries,0.0014238586844063743
picasso,0.007087966498191011
picasso hair,0.0006525185188655016
pikachu hannah,0.0005291671402416392
pink bonsai,8.462173390338152e-05
pink flamingos,0.0009432850361300776
pixar,0.0009559724048914111
pixie cut,0.000915396349571381
portrait,0.020957422501916047
portrait extremely,0.0008715186381099629
portrait intricate,4.650738002224299e-05
portrait male,1.575193586674971e-05
portrait painted,0.0007225606773294339
portrait painting,0.0014430384248957713
portrait photograph,0.0010395409389071203
portrait sabouts,0.0007138283594312231
portrait scifi,0.0013997372218873853
punk art,0.0014492849512340955
punk portrait,0.0006045022042135417
puppy,0.0014621957991513782
render hyperrealist,0.0010962334613089425
robot,0.00017833961369266422
rocksalt lamp,0.00029960324241996893
rpg portrait,380828180917.37115
runway,0.002215412273544372
saitama,0.00031842524547800105
