keyphrase,mean_abs_shap
abandoned,0.0016817466387142911
alien,0.0021100967587535015
alien planet,0.0006365085891409281
android cyborg,4.447240946006231e-05
anime,0.009222619018070552
anime colors,0.00036929985937443583
anime epic,0.0008969953043230252
armor daedric,0.0013050379277761196
art,0.008438471469353703
art artgerm,0.0024707364697095524
art city,0.002950065462058669
art hyperrealistic,0.00017811289228763486
art josan,0.00315297737751221
art lifelike,0.0025030717082666232
art punk,0.0007288791234656316
art realistic,0.0031708867566069407
art sharp,0.0012268350645005162
art smooth,0.008149450895306071
art style,0.002344925774328325
art thorough,0.003382549412075986
art trending,0.002570316513799623
artistic,0.0012235807022803686
artistic painting,0.0013851028556643575
artstation,0.025083758560515
artstation cinematic,0.00010176713167581224
artstation galaxy,0.0003640089040257003
artstation hyperrealism,0.0007916574647668397
artwork,0.002467581176334934
atmospheric lighting,0.0025442412533487097
avant garde,0.0015800990731875836
azores,0.0012107130024316423
azores islands,0.0004948903304734812
beautiful landscape,0.0001791783864041704
beneath cherry,2.749156329986565e-05
bjork,0.0015831966119653523
black,0.0013700854639411802
body manga,0.0009342940169667944
body portrait,0.002317585740327245
body shot,4.2274782354908195e-05
bonsai,0.001354883747062468
bonsai tree,0.0014169442523402542
bull looking,4.416849780215447e-05
bull modeled,0.00011843577026221156
butterfly volumetric,0.0016761285023749006
camera,0.0011436273639935045
candle butterfly,0.0018048861241091898
candle volumetric,9.111922543305156e-05
canvas,0.0008966607322607478
castle,0.004733079754272295
castle enclosed,0.00024098555850864844
cat,0.0028439685097347606
century,0.001467513404354356
century modern,0.002435627753285423
character portrait,0.0023052171054283132
chris,0.0010712767566283523
chris foss,2.4404920511898228e-05
churches domes,0.00017652933916016027
cinematic,0.003875525966080029
cinematic composition,0.0027448971371703624
cinematic deviantart,0.00026411078208481376
city,0.0016947724286225717
cloud fashion,0.0005481408311297427
clouds,0.0013326437590572128
clouds covered,0.0005951315797128355
clouds girl,2.5764209525989785e-05
clouds madeira,0.00045425487604931286
collage canvas,0.0006493745160006307
colors,0.002413647206122204
