keyphrase,adjusted_mean_shap
rpg portrait,95207045229.34521
matte,95207045229.34383
painting,17704448041.88279
male dunmer,17704448041.820343
intricate volumetric,2572865042.2627993
footage,2572865042.260716
goth,854332959.1199061
himalayan,854332959.1188735
portrait,0.01610804851951965
artstation,0.014171435443634375
anime,0.009967222569103299
film,0.009657697688990325
unreal engine,0.009406765640154675
digital painting,0.009102595254643025
fantasy art,0.008813205050825374
matte painting,0.008456013109282899
art,0.007733258281701249
painting beautiful,0.007206540243447125
photorealistic,0.0070669454505466
fantasy painting,0.0065755547004016255
elf,0.00643128730603305
castle,0.005949638737545599
gordon,0.005912968347859725
picasso,0.005685770290717625
art smooth,0.0053965072835537
elson,0.00501864670919405
digital art,0.0047466369238994
movie,0.004641320930242125
oil painting,0.0044890559021175
zdzislaw beksinski,0.0042500415573811
fiction film,0.004082934808265
clouds,0.0040290596034036
lifelike photorealistic,0.004016840072541935
photograph divine,0.0039491300309853
bernard simunovic,0.0038665838355685
concept art,0.0037034612854922756
photo,0.0036376571655766
frazetta,0.00361465261459715
detailed portrait,0.00359542856326755
century modern,0.0035734556177623006
screenshot,0.003556455352708525
comprehensive art,0.0034335655993966
art sharp,0.00342606102217635
ruins,0.0033603844116396
lighting,0.0033406435412060755
deviantart,0.0033363535931013747
art realistic,0.0032644325176093
painting sargent,0.003156077728732075
hyper detailed,0.0031436158009592752
frazetta giger,0.003113743947907875
runway,0.0030662211161667746
portrait scifi,0.0030441821675905997
portrait painting,0.0029346899977396503
cinematic composition,0.0028276750559105496
mila kunis,0.0027686370985936
trending artstation,0.0027459726420542498
cat,0.0027046152852471
detailed ultra,0.0027002244826696753
cute fluffy,0.00265297714114255
landscape,0.0026494558738232496
food photography,0.0026221278037536
scene,0.002619148208429725
art city,0.0026123966692887996
barbarella,0.0025756358544997
photography,0.0025738441585156
space,0.002565712674206775
high quality,0.0025175667668483
flowers,0.0025063374319668837
portrait sabouts,0.0025059909423354
illustration art,0.00250516070965805
puppy sitting,0.0025045080807225
ultra realistic,0.002405956159608325
woman,0.002345752926995475
ufo,0.002344434628737375
goddess,0.0022641854008123748
painting artstation,0.0022196444414905
atmospheric lighting,0.002157009605874325
minogue barbarella,0.002156377996151
heavy detailed,0.00209685612702245
dark,0.0020791629344198747
surreal,0.0020665862465643
natural scene,0.0020459531589391003
colors,0.001993841645685575
studio ghibli,0.001972371478031775
detailed painting,0.001965497282496875
black,0.00195338107590395
artwork,0.0019449517447268487
fantasy style,0.0019433966510867752
wallpaper illustration,0.0018958389016660998
octane render,0.0018912288656556687
fifth element,0.00188401579408435
city,0.0018658022671428252
alien planet,0.001796831825385625
character portrait,0.0017794986972590248
peter,0.0017760153222699747
dramatic lighting,0.0017570933470684247
skyrim elegant,0.0017379620153252714
phyics entries,0.0017352250304153
cinematic,0.0017291517248839196
saitama,0.0017290608786248499
cyberpunk,0.0017075424940258999
art style,0.0016826557190117541
century,0.001676540165956625
wallpaper,0.00167003164320755
sky,0.0016611218777889
art artgerm,0.0016537726399816664
blinders photography,0.0016457339585584
photograph,0.0016297748807444
camera,0.0016267572135193749
dog,0.0016218069230435
mid century,0.0016173122914158512
lantern candle,0.00159771983912425
peter elson,0.0015882528526059499
sitting snowy,0.0015881871657181
volumetric lighting,0.001537950038284475
nerevarine,0.0015314754323349502
drawing,0.0015127605581749001
art lifelike,0.0015121062957711249
world photography,0.001499151959931225
art trending,0.001493781490127175
engine,0.001485831159900025
starmaker,0.0014764381979774752
scariest looking,0.0014737249072254
art josan,0.0014253358271526
forest,0.001413270442768625
gustav klimt,0.0014026527521476331
photography awards,0.0013988953015362001
cosmic,0.0013796603550233
goths,0.0013714081375794751
render hyperrealist,0.00134598507816645
manga,0.0013420307101124499
glamorous sophisticated,0.001336618169271625
puppy,0.00132396564836105
steampunk,0.0013239330746200998
art thorough,0.001316518599511925
painting deviantart,0.0013075004880264396
beautiful,0.0012904551135241
digital render,0.0012898604803081252
vivec portrait,0.001266747579087075
portrait photograph,0.0012624887377607
surrealism,0.001262230989543625
painting lush,0.0012528461848267751
colossal,0.0012492048055209961
alien,0.00124688509260825
edwardian photograph,0.0012462804934518
room,0.0012274364928625
portrait painted,0.0012252661177328892
painting aesthetic,0.0011811388283103166
dragon,0.0011583074376900798
traits painting,0.001152987528188275
painting lurid,0.00114510076562505
modern art,0.00114427962456875
pink bonsai,0.0011256537768404202
artistic painting,0.0011208228273116
lighting hd,0.0011130902475153667
scene science,0.0011123463636879501
headshot edwardian,0.0011042424608172
painting peter,0.0010785867867162
style portrait,0.00107570048846815
science fiction,0.0010737273955711204
knight,0.0010677055625747667
deviantart hyperrealistic,0.0010666612685100994
houses,0.0010553931643032905
pablo picasso,0.00105511982661115
colossal goddess,0.001051894966600025
wearing cloud,0.0010461563635568
photorealistic digital,0.0010136879308919248
length portrait,0.001007441529661
photo realistic,0.0009775710922361501
saitama anime,0.0009767849439324848
cyborg,0.0009754366551110751
deviantart realistic,0.000975209494440975
detective pikachu,0.0009722670560213249
fiction,0.0009666952134039749
body portrait,0.0009633843674720234
sony,0.000945464972233182
hd,0.0009433190213434249
log houses,0.0009428969593955699
deviantart cinematic,0.0009387741490142
giant digital,0.0009335057804326097
shade talking,0.0009332908522140188
kylie minogue,0.00092935539141655
realistic cinematic,0.0009239522206113
artstation cinematic,0.000916851528904622
cloud fashion,0.0009139553207520999
donald,0.0009110367029917356
movie poster,0.00090527265467575
low clouds,0.000895213176111223
artistic,0.0008940943281519501
art punk,0.000892348784875925
statue,0.00088850130536575
einstein,0.0008802630509788501
josan,0.0008663102301675501
canvas,0.0008507238099917
divine,0.0008468249877437
josan gonzalez,0.0008346213900729249
portrait extremely,0.00081383166069315
uncanny painting,0.000811798238501575
gundam,0.0008054905970292993
garden intricate,0.0008022163820372961
robot,0.000800714641111125
sony world,0.000797769482254275
daedric armor,0.000795645078046275
anime epic,0.0007933501308768933
hd goth,0.000788719572053225
fluffy,0.000785791360822575
divine pink,0.000776661363355225
pixar,0.0007639135195017
lightning intricate,0.0007628061638064001
surreal dark,0.0007527783370348
punk art,0.0007500125852743457
marble hourglass,0.0007364703875386924
minogue,0.0007353015544041753
tracing artstation,0.0007345871048370632
bjork,0.0007330191617865187
beautiful landscape,0.0007275062802107035
madeira faroe,0.000726770420144975
illustrated,0.0007267196671922591
surreal concept,0.0007245697269366
emo,0.0007244391606113
picasso hair,0.0007220871347996499
pixie cut,0.0007174692520186785
science,0.000714208899572411
starmaker matte,0.0007126434998735885
ufo ignoring,0.0007028637048243
body manga,0.000685883770881375
kylie,0.000681937323121175
contemporary art,0.00068007079079785
painting character,0.00067925781159215
steampunk butterfly,0.0006739734996108667
rocksalt lamp,0.0006647008568914749
pikachu hannah,0.000658082665026775
chris,0.0006515209227623705
modern,0.0006496678159345251
artstation hyperrealism,0.0006484216081701095
alchemical creatures,0.0006470676057148
cinematic deviantart,0.0006455555711656
cyborg bull,0.0006418245789164182
faroe azores,0.000635434473739575
armor daedric,0.0006348607546455718
