keyphrase,mean_abs_shap
abandoned,4.792197646440373e-07
alien,0.0006265430149636178
alien planet,0.00016317137258888004
android cyborg,0.0
anime,0.0024074875621043455
anime colors,0.00014728427671021393
anime epic,0.0
armor daedric,0.0
art,0.0004457851384146585
art artgerm,0.00019105559582655685
art city,0.0
art hyperrealistic,0.0001778130766895358
art josan,0.0
art lifelike,0.0
art punk,0.00015685415861482174
art realistic,0.0
art sharp,3.0882851400734685e-07
art smooth,0.00014569531501370272
art style,0.0002707866936683605
art thorough,0.00018529986181460703
art trending,0.00019853000525060714
artistic,0.00015328893118335212
artistic painting,0.0002025976165743965
artstation,0.00011595996099712192
artstation cinematic,7.757253069268603e-05
artstation galaxy,0.0001952207473687653
artstation hyperrealism,0.026619177452803847
artwork,0.0009107125374078767
atmospheric lighting,0.00019090216760126485
avant garde,0.0
azores,0.00017549677010135375
azores islands,0.0005291031864493792
beautiful landscape,0.00019201146140788208
beneath cherry,0.00013947680022901668
bjork,0.0011274042508983024
black,0.003675130588321767
body manga,0.00016113257223598015
body portrait,0.0001415204992937195
body shot,8.429088713089944e-07
bonsai,0.0025959462692179253
bonsai tree,0.00014023637473926554
bull looking,0.0
bull modeled,6.69058155937485e-07
butterfly volumetric,0.00015854137321847153
camera,0.0
candle butterfly,0.00020526846923269078
candle volumetric,0.0
canvas,0.00016451205230528474
castle,0.005739280217460727
castle enclosed,0.0
cat,5.689431530594362e-07
century,7.34237022682262e-06
century modern,0.00015019697473873364
character portrait,0.0008500462575118827
chris,0.0005251419492650624
chris foss,0.0
churches domes,2.8847976267065226e-05
cinematic,9.900769936096975e-08
cinematic composition,0.0029398266652083394
cinematic deviantart,2.261103864549103e-06
city,0.0005427142692849608
cloud fashion,0.0001942093810293222
clouds,0.0023769867663802906
clouds covered,0.0001958557811244992
clouds girl,0.00015669770709522126
clouds madeira,0.0022843018624510805
collage canvas,0.00018371223647944775
colors,0.0
colossal,0.0001681104490178278
colossal goddess,0.00014166172451537495
comprehensive art,0.0020104542615967122
concept art,0.00014173289589318005
contemporary art,0.0001758436031519738
cute fluffy,0.00030874804883856234
cyberpunk,0.0036527809591586397
cyborg,3.039796084483004e-06
cyborg body,0.0
cyborg bull,1.2143449111549265e-06
daedric armor,0.0
dark,0.0024896567358497993
dark uncanny,0.002048892532056568
detailed painting,5.904164123958405e-07
detailed portrait,0.00017882044404632225
detailed ultra,0.00018305648471858126
details intricate,0.0004161906606802682
detective pikachu,0.0
deviantart,0.0010581873447933375
deviantart hyperrealistic,3.805650331657805e-07
deviantart realistic,0.0054816460312307885
digital art,0.000577440199415233
digital painting,0.00026758988701337187
digital render,0.00017183554444024688
divine,0.0012455172138137623
divine pink,0.0
dog,0.0
donald,0.0008482876154317092
dragon,0.0
dramatic lighting,7.819168091015665e-05
drawing,0.00018265014523235205
dunmer nerevarine,0.0001184119821281888
einstein,0.0
elf,0.0003777912845092733
elson,0.0
emo,0.0
emo punk,0.0001689606746139634
engine,0.0
entries sony,0.0004645582718678518
fantasy art,0.00026428323302846895
fantasy painting,0.0012065797055531584
fantasy style,0.0001499696634379643
faroe azores,0.00016908905610402483
fashion clouds,0.0005303658258652964
fiction,1.1038626480272263e-05
fiction film,0.00026764483300040193
fifth element,0.0
film,0.015326351973909264
film neuromancer,1.1547253013316421e-06
flamingos,0.0
flowers,0.004154429838715079
fluffy,9.683343943908675e-07
footage,0.0011995663376430199
forest,0.001830484584544511
frazetta,0.0
frazetta fantasy,2.7343955890625826e-06
frazetta giger,1.9081663901450295e-06
futuristic,0.0
garden,0.0
garden intricate,0.002693884649396696
giant digital,0.00013312426674868107
girl clouds,0.00013848039528597592
glamorous sophisticated,0.0012405305336460302
glimpse universe,0.001295551417161505
goddess,0.0004693652056666847
goddess creative,0.00014181933366084408
goddess wearing,0.00020402217781488756
gordon,0.0001614872730901768
goth,0.00013179075332170914
goth emo,0.00015853101482180034
goths,0.00018351514788338802
goths loitering,0.00014454933330546846
gundam,0.0022447809072420363
gundam unreal,0.00015629034160761685
gustav klimt,1.6343781832721745e-06
hd,0.0
hd goth,0.0005637413153414011
hd painting,0.0001562387387493261
hd unreal,0.0
heavy detailed,0.00020090113969623125
high quality,0.00014829849080922117
hills slavic,4.674707405588929e-06
himalayan,1.3480362541155495e-06
himalayan rocksalt,2.037144579427881e-06
houses,0.0005554095894834899
houses built,2.0848332033454224e-06
hyper detailed,0.0001321693065147066
illustrated,0.0
illustration,0.0
illustration art,0.004367673459746279
imposing cyborg,1.113296670689894e-06
intricate details,0.0002859496455442501
intricate hyper,0.00019396808408055698
intricate royo,2.575352508567457e-06
intricate volumetric,0.00016900873594740093
josan,1.3259307237973801e-05
josan gonzalez,0.0035427750225799676
knight,7.834198155933376e-05
kylie,0.0
kylie minogue,8.05619947957913e-07
lamp,0.0
landscape,0.0003718493492300309
landscape colourful,1.998880075989223e-06
lantern candle,0.0
length portrait,0.00031802518553478013
lifelike photorealistic,0.0001952770244549904
lighting,0.0001597285830227769
lighting hd,0.0002692989721145543
lightning intricate,0.00012152813577015954
log houses,0.0
looking camera,0.0
low clouds,0.00023348690865923516
