keyphrase,mean_abs_shap
abandoned,0.005266201482399451
alchemical creatures,0.0
alien,0.003982580871298166
alien planet,0.0016411727803392862
android cyborg,0.000307499484480648
anime,0.005572639653033067
anime colors,0.0011713681327395187
anime epic,0.0002015906562668363
armor daedric,0.0018787313429388197
art,0.02110446653668792
art artgerm,0.0009708556954686337
art hyperrealistic,0.00041454196830965207
art lifelike,261920035804.47626
art punk,0.00010702205074839022
art realistic,0.0022300913904785744
art sharp,0.0009016347482008576
art smooth,0.005211299815060797
art style,0.0035475444128429683
art thorough,0.005839280427672211
art trending,0.0025856127292789
artistic,0.000699360581184557
artistic painting,6.0550263372179136e-05
artstation,0.006743097889966495
artstation cinematic,0.0014664340578174374
artstation concept,0.00020383184499375918
artstation galaxy,0.0001732006242628797
artstation hyperrealism,0.006142934081557455
artwork,0.004977019669024325
atmospheric lighting,0.002649085659988342
azores,0.001932717946345258
barbarella,0.0005546450846993365
beautiful,0.001816633899754952
beautiful landscape,0.003520374912584263
beksinski,0.00032960617231191395
beneath cherry,0.002933831987331592
bernard simunovic,0.004416488749187482
bjork,0.005213654343662769
black,0.008628087619324803
blinders photography,0.003847282796724825
body manga,0.0008943956310548624
body portrait,0.0007228239516415014
body shot,0.00037107043442804094
bonsai,0.0016124843971984887
bonsai tree,0.002347028785743088
bull looking,0.00010110503518508591
bull modeled,5.329838662816237e-05
butterfly volumetric,0.00074610033733485
camera,0.00046466236087924854
candle butterfly,0.0
candle volumetric,0.0022380076538692406
canvas,0.007277475436891018
castle,0.003986418047404602
cat,0.0014699395384627995
century,0.0022751737073792074
century modern,0.004796232949879803
character portrait,0.0033386011581731704
cinematic,0.0049910505194013495
cinematic composition,0.010851446590025335
cinematic deviantart,0.0022197716614759393
city,0.008419263744492379
clouds,0.007477549373308199
clouds madeira,0.0037548959981797574
collage canvas,0.00010149519184364655
colors,0.002155674123173869
colossal,0.00010988333629797468
colossal goddess,0.00015761390566925102
comprehensive art,0.00792744158423014
concept art,0.012859718427610802
contemporary art,0.0
cosmic,0.00042959924903496796
creatures surreal,0.0
cute fluffy,0.000605927820529897
cyberpunk,0.007961219232883126
cyborg,0.003238687900255328
cyborg body,0.0001407235930163946
cyborg bull,0.0005362724619389138
daedric armor,0.0008455847156000329
dark,0.005071528154079558
dark uncanny,0.0033910948522903515
detailed painting,0.002992256108620881
detailed portrait,0.008765594575527322
detailed ultra,0.0027819415662274772
detective pikachu,0.0010825113410103692
deviantart,0.005567858545775769
deviantart cinematic,0.0007663921387455408
deviantart hyperrealistic,0.00025790070375799923
deviantart realistic,0.005734569515724733
digital art,0.006147907440739088
digital painting,0.009476483748814732
digital render,0.0019047844533561483
divine,0.0017381269886064315
divine pink,0.0015659223170009723
dog,0.00012097168551042317
donald,0.004975289016617017
dragon,0.0007819949449008535
dramatic lighting,0.0018613528309278317
drawing,0.000725749877057853
dunmer nerevarine,0.0003550209556845152
edwardian photograph,0.0039835368812553874
einstein,0.003978828816514799
elf,0.003206390421288278
elson,0.0015793108924513864
emo,0.0020233378790728987
emo punk,0.0019885956596549697
engine,0.0027476348725539276
entries sony,0.0015302567099735001
fantasy art,0.002887545066106508
fantasy painting,0.004018633434936657
fantasy style,0.0034253125251367416
faroe azores,0.0022610028420338205
fiction,0.0016407028534735982
fiction film,0.005354065352992137
fiery alchemical,2.462765874463775e-05
fifth element,0.0034198991578722224
film,0.028712782699879334
film neuromancer,0.0013424810799422115
flamingos,0.0010034970311683738
flowers,0.003567812487348507
fluffy,0.002211581919678702
food photography,0.0023472299921135573
footage,0.0037855123672278766
forest,0.005346904759536323
frazetta,0.001962742278436194
frazetta giger,0.002932565237385268
futuristic,0.0011398095010636084
garden,0.00037607125715280525
garden intricate,0.0033188574181265062
giant digital,0.0004365074007037049
glamorous sophisticated,0.0006599797988654746
goddess,0.005536355641858902
goddess creative,3.149026079118001e-05
gordon,0.0034775111778927
goth,0.004212863754189892
goth emo,0.003039400810438609
goths,0.001564824082722449
goths loitering,0.0030184891563950393
gundam,0.005784270888860703
gundam unreal,0.0006594347309579229
hd,0.0028005356486502297
hd goth,0.00204259270096897
hd painting,0.0033444137842193675
hd unreal,0.0018304179023778903
headshot edwardian,0.003108084289804591
heavy detailed,0.008264025737417652
high quality,0.004259801628524383
himalayan,0.004039987338116772
himalayan rocksalt,0.0007558583340036396
houses,0.002212678366776539
houses built,0.00110164388871724
hyper detailed,0.0037518404841855165
illustration art,0.004144748079593071
imposing cyborg,9.5160580532805e-05
intricate details,0.008233874759611489
intricate hyper,0.0006094412487081369
intricate royo,0.0018163711230461694
intricate volumetric,0.0022630678607692607
jacket black,0.0019330034198748606
josan,0.0007323710864353809
josan gonzalez,0.00785754974986565
