keyphrase,mean_abs_shap
abandoned,0.0021238138672882915
alien,0.003282584668626912
alien planet,2.596468645067711e-05
android cyborg,0.0
anime,0.006330465855326756
anime colors,0.001403300851356561
anime epic,0.0007812830866301341
armor daedric,1.3675603835538129e-05
art,0.005863993918113512
art artgerm,0.00029949969460575
art city,0.0008121776812358638
art hyperrealistic,0.0006296577413458106
art josan,0.00012224692455608036
art lifelike,0.0009316601873006099
art punk,0.0
art realistic,0.0009372945913912844
art sharp,0.0010949176985767235
art smooth,0.0012707706420444363
art style,0.001615125139294602
art thorough,0.0010158017688833493
art trending,0.0016197191263190732
artistic,0.00040226700379690625
artistic painting,0.00011090229583300039
artstation,0.0039481804476691916
artstation cinematic,0.0008523406306968499
artstation galaxy,2.55927549466812e-05
artstation hyperrealism,0.008758868224209657
artwork,0.003249115190689305
atmospheric lighting,0.00016939795695561865
avant garde,0.0007027194197789038
azores,0.0010566337767327595
azores islands,0.0016684596281026163
beautiful landscape,4.520483989137804e-05
beneath cherry,4.561237361642404e-05
bjork,0.002108052955876369
black,0.004380685247034201
body manga,0.0009729364137585549
body portrait,0.0007153688754134549
body shot,2.060630928568688e-05
bonsai,0.0024180104611518883
bonsai tree,0.00016402996299782428
bull looking,1.1928748701131605e-05
bull modeled,1.2962799900312364e-05
butterfly volumetric,0.00014375247443896528
camera,0.001115641804562912
candle butterfly,0.0
candle volumetric,8.838271461506224e-05
canvas,0.001734075099971447
castle,0.007865837968638685
castle enclosed,0.0
cat,0.00035072816474520117
century,0.0008960163915902638
century modern,0.0021326018084517327
character portrait,0.0019250194472077748
chris,0.0015704320012026182
chris foss,0.00016215995141151117
churches domes,0.0
cinematic,0.0015389577907935059
cinematic composition,0.008028196400593761
cinematic deviantart,0.0011049126017244762
city,0.003470864419749662
cloud fashion,0.0005855375961496519
clouds,0.003675822009705861
clouds covered,0.0005879010267868721
clouds girl,0.0006553531951752377
clouds madeira,0.002831078874078499
collage canvas,1.2246997151200251e-05
colors,0.00032394912148347874
colossal,0.000734968310774365
colossal goddess,0.0005961609474441109
comprehensive art,0.0037935933486100745
concept art,0.0032682098929324365
contemporary art,0.0
cute fluffy,0.002123627964040423
cyberpunk,0.005123362379473348
cyborg,0.001255343175199397
cyborg body,4.552212414482491e-06
cyborg bull,0.0
