keyphrase,mean_abs_shap
abandoned,0.002032897527516721
alien,0.003509908579833323
alien planet,0.0008625196447732942
android cyborg,0.0008772329860734054
anime,0.00843757941658559
anime colors,0.0004757088758286109
anime epic,0.000373130778962508
armor daedric,0.0009942716644817478
art,0.006390762042605707
art artgerm,0.0011891476773685367
art city,4.196983328202166e-05
art hyperrealistic,0.0005310889707916642
art josan,0.0
art lifelike,0.001967708108890468
art punk,1.9902162984471636e-05
art realistic,0.00222165680145322
art sharp,0.001338950854458794
art smooth,0.0012555962166963073
art style,0.0019866667540873384
art thorough,0.00025795255437719366
art trending,0.0014923269098208285
artistic,0.00021572311753984157
artistic painting,0.0003802254881911785
artstation,0.0033639457787911216
artstation cinematic,0.0009000046154127167
artstation galaxy,0.00012332640367320805
artstation hyperrealism,0.002574504053958582
artwork,0.005921042837919571
atmospheric lighting,0.00026631215693746334
avant garde,0.0008457863011898913
azores,0.0014007837434106458
azores islands,0.002262563289872424
beautiful landscape,0.0008472856639341282
beneath cherry,6.108524071267506e-05
bjork,0.0024577371150206586
black,0.004974562507764974
body manga,0.00023461435168011373
body portrait,0.0011740712356787867
body shot,0.0008097804325924513
bonsai,0.000513711039557225
bonsai tree,0.00012570340709765717
bull looking,0.0009429882567626917
bull modeled,0.0007017754488805902
butterfly volumetric,0.0002742509530933125
camera,0.0012974958774862873
candle butterfly,0.00015621179382795705
candle volumetric,5.8956483174976574e-05
canvas,0.003271301595490597
castle,0.0042565061960211144
castle enclosed,0.0008761756998531915
cat,0.0013760182063596665
century,0.0019565423401889143
century modern,0.002299732689662501
character portrait,0.0026216758872221594
chris,0.000743445328152278
chris foss,0.0008823653019785685
churches domes,0.0006992200904661734
cinematic,0.002916809578666284
cinematic composition,0.0068207912059976075
cinematic deviantart,0.001100276798886138
city,0.0036552680755712694
cloud fashion,5.884617073053952e-05
clouds,0.006552955728226959
clouds covered,0.0009164023013374138
clouds girl,6.554934532770391e-05
clouds madeira,0.0018638808785032027
collage canvas,2.5794230368636114e-05
colors,0.0008340740552827122
colossal,0.0007945209832299325
colossal goddess,0.0006644907972158338
comprehensive art,0.005143570862474356
concept art,0.008749577404751418
contemporary art,2.2120186285805512e-05
cute fluffy,0.002483860098696549
cyberpunk,0.0033094662300064575
cyborg,0.002877760880875169
cyborg body,0.0008379131659168156
cyborg bull,0.0007338994224163464
daedric armor,0.0013273867493286237
dark,0.00450036406460563
dark uncanny,0.002051207888844005
detailed painting,0.0011233624002313404
detailed portrait,0.002598237895970595
detailed ultra,0.00272149412453506
details intricate,0.0013735469988354354
detective pikachu,0.000311805356637932
deviantart,0.002160447951139044
deviantart hyperrealistic,4.5458498310264624e-05
deviantart realistic,0.0051392045082048615
digital art,0.003039695704200794
digital painting,0.004491560352933983
digital render,0.0010996487544958874
divine,0.001080889858174224
divine pink,0.00012584342844117427
dog,0.0005789601972969726
donald,0.0017095934856637756
dragon,0.0007046452450290158
dramatic lighting,0.0007360322238973249
drawing,0.0009539919874710883
dunmer nerevarine,0.0010545077785852422
einstein,0.0020083786867207145
elf,0.00140319135502694
elson,0.001708914330006746
emo,0.00011106536992933388
emo punk,0.00012038507345066172
engine,0.0001890352211500358
entries sony,0.0008377177754845733
fantasy art,0.0021463851280865195
fantasy painting,0.0030015470097597774
fantasy style,0.0009257981540009632
faroe azores,0.0019451679239823817
fashion clouds,0.0011483908644960412
fiction,0.0008542607388184767
fiction film,0.002093647934874058
fifth element,0.00204493804303545
film,0.012365850153935062
film neuromancer,0.0010639828691108185
flamingos,0.0001060174792446613
flowers,0.002260920538348719
fluffy,0.0007013914845558363
footage,0.0014054826982219052
forest,0.0021216506634713253
frazetta,0.00026226167095270124
frazetta fantasy,3.5882535721707656e-05
frazetta giger,0.00020112477610303666
futuristic,0.0003845945865124496
garden,0.0002936772878285605
garden intricate,0.0019303043881657266
giant digital,0.0007515313433313233
girl clouds,2.7185124543581877e-05
glamorous sophisticated,0.0007357525985428965
glimpse universe,0.001677010879690978
goddess,0.0026818617333407226
goddess creative,3.353816749530848e-05
goddess wearing,0.0005862793895592184
gordon,4.316339920293937e-05
goth,0.00046700172431193165
goth emo,7.90577252163481e-05
goths,0.00018133667238848865
goths loitering,4.1752998920342794e-05
gundam,0.004309788604274154
gundam unreal,0.000462709846737296
gustav klimt,0.0013099262280221874
hd,0.0007833340343033891
hd goth,0.0011418113663453449
hd painting,0.0005779680380248193
hd unreal,0.00025388520861750557
heavy detailed,0.0015991935486245976
high quality,0.002432153218081421
hills slavic,0.0008736893896690363
himalayan,0.001732699751142837
himalayan rocksalt,0.0005999702501357629
houses,0.002740405313215946
houses built,0.001684851319939089
hyper detailed,0.0023963283077315803
illustrated,0.0012420412483450751
illustration,0.0006684025526023954
illustration art,0.0078053418372962995
imposing cyborg,0.0007689431470902026
intricate details,0.002935703669585901
intricate hyper,6.492056142386304e-05
intricate royo,0.0006235255296690929
intricate volumetric,0.00012181745153678458
josan,0.0012192412373831557
josan gonzalez,0.0025450471860898943
knight,0.0020114181779692622
kylie,0.00031917681730427673
