keyphrase,adjusted_mean_shap
octane render,65480008951.12144
art lifelike,65480008951.11978
peter elson,5452646058.689909
punk portrait,5452646058.688857
film,0.021998303790678426
painting sargent,0.015955754411343927
portrait,0.01208789692186995
painting,0.011380455046978875
artstation hyperrealism,0.011023870953132325
world photography,0.009297883631543024
photography,0.00855078471118015
art,0.008451251908955425
photorealistic,0.00809800648488555
cinematic composition,0.007160065215456225
deviantart realistic,0.007139735856575024
surrealism,0.006727017008551375
concept art,0.006254809655296925
illustration art,0.005886210026479851
photograph,0.005832502183094601
anime,0.005687043121762375
castle,0.00546201060738125
black,0.005414616490611399
zdzislaw beksinski,0.0051297406006702
clouds,0.0050208284694052505
cyberpunk,0.00501170720038035
mid century,0.004881609892492774
photo,0.0048024551717764
comprehensive art,0.004718765014227775
josan gonzalez,0.004434676960830025
bernard simunovic,0.0044164887491874
city,0.0040220276272745
gundam,0.00399807445735505
edwardian photograph,0.0039835368812553
digital painting,0.003965264986890875
dark,0.00392717817079085
flowers,0.00390547874273025
blinders photography,0.0038472827967248
artwork,0.003764472558760225
painting deviantart,0.0036013572956928247
artstation,0.003542796019355925
manga,0.003535055462594675
natural scene,0.0033525494542256
deviantart,0.003342197902035075
intricate details,0.00333510234629715
digital art,0.0033165720719890747
madeira faroe,0.0033084907983976252
detailed portrait,0.0032793099022452744
heavy detailed,0.0032581253101020753
unreal engine,0.003249836127544425
length portrait,0.0032356903787381253
forest,0.003138190534988325
canvas,0.0031118410461645246
fantasy painting,0.0031084940185653253
headshot edwardian,0.0031080842898045
matte painting,0.0030841900512487996
surreal concept,0.0030620529390693496
portrait painting,0.003024106536696475
garden intricate,0.002922754077629675
alien,0.002850404283680475
scariest looking,0.0028139921729703
portrait extremely,0.002767143804419925
portrait scifi,0.00272837682722505
bjork,0.0027267121663644748
matte,0.00272491440123
clouds madeira,0.0026835394033030745
ufo,0.002628971280902175
landscape,0.0026244641597927
woman,0.0026141691115293755
goddess,0.0025818411520678
dark uncanny,0.0025094739415825
steampunk,0.0024987247081233
surreal,0.00247945857877675
oil painting,0.002407098375055125
scene,0.0024066094480689596
donald,0.0023978342511797
cinematic,0.00236172922414009
abandoned,0.002355848024242236
food photography,0.0023472299921135
century modern,0.002344691105683175
high quality,0.002341713720134175
fiction film,0.0022350400222724497
trending artstation,0.002214678144539125
footage,0.0021973044833388496
manga illustration,0.002184749340278975
character portrait,0.002183835687528675
style portrait,0.002178660498176075
peter,0.002140531159233625
photograph divine,0.002094538415591775
overcast thunder,0.002067824489099925
space,0.0020022464703872266
minogue barbarella,0.0019824335380814
painting artstation,0.001977106022102575
art smooth,0.001970840497203775
jacket black,0.0019330034198748
painted,0.001922700379991597
einstein,0.001896851317449925
art style,0.0018550307499732752
uncanny,0.0018449490942793
cyborg,0.0018437079381035458
detailed ultra,0.0018372071493452501
art thorough,0.0018245836531868
beautiful,0.0018166338997549
painting stalenhag,0.0018093091713152
robot,0.001795157795695625
bonsai,0.001785038041781325
elf,0.001778798214327
fifth element,0.0017580386204983497
fantasy art,0.001709868449195925
skyrim elegant,0.0017017868894655002
mila kunis,0.001697038324915
modern art,0.00168909940195975
hd goth,0.001663767939272025
pixar,0.001649738121637425
hyper detailed,0.00162816653881375
lighting,0.0016252202173901251
scene science,0.0016139429544286751
divine,0.001583012093311925
ultra realistic,0.0015698675921503001
movie poster,0.0015650263625627647
houses,0.00156478463197115
nerevarine,0.00155690779861585
runway,0.001530110707361175
surrealism surreal,0.001512320249506775
himalayan,0.0015122771035035287
glimpse universe,0.0014977471503987
azores islands,0.0014867087014747667
art trending,0.001474047192667325
room,0.0014681585717348
wallpaper,0.0014311762935528753
goth,0.001422792757961425
faroe azores,0.001410345457295825
cute fluffy,0.0013805409830262999
movie,0.0013633940708195427
surreal glimpse,0.0013540769655939
tracing artstation,0.001351628933766925
art realistic,0.001347260695830725
painting character,0.00132658343625985
lightning intricate,0.0013083333856657
sky,0.0013026257306705
photo realistic,0.001301045591231225
fantasy style,0.0012918720456083
volumetric lighting,0.001287442492754875
studio ghibli,0.0012850783519440501
century,0.0012837687023462808
fashion clouds,0.0012590685630464668
hd,0.0012510752858075
details intricate,0.0012303593482221667
starmaker,0.0012270524359618133
modern,0.001201246429217975
knight,0.0011961710170211447
detailed painting,0.0011872292161469239
painting lush,0.0011817619324482086
low clouds,0.001173908286000725
gordon,0.00116825478950101
portrait male,0.0011583280669832752
beautiful landscape,0.0011512192194543696
puppy sitting,0.0011492540472052
photography awards,0.0011432322447302845
azores,0.00114140805914745
shade talking,0.001135752360423825
portrait painted,0.0011201644358608252
cinematic deviantart,0.0011068055414877372
painting ronny,0.0010793580989832676
statue,0.00107059141527555
photorealistic digital,0.00106891923696785
glamorous sophisticated,0.001068894237928325
painting beautiful,0.0010619279054976
frazetta giger,0.0010591178859191363
portrait photograph,0.0010365934918402924
science,0.001034590462529343
steampunk himalayan,0.0010319911329688231
hd painting,0.0010201842676014245
uncanny painting,0.001017541853655225
goth emo,0.0010029036112767621
elson,0.000999020263043875
fluffy,0.0009719201646838727
engine,0.0009703123999419
intricate royo,0.0009575444123984668
painting peter,0.000949530049421525
chris,0.0009463397595399333
wallpaper illustration,0.000937351860000525
entries sony,0.000916053911196625
puppy,0.000915818064325825
phyics entries,0.0009072447125720005
sony world,0.0008925112143630749
starmaker matte,0.0008900110339028158
rpg portrait,0.00088730553750965
dramatic lighting,0.0008872937392722391
lifelike photorealistic,0.00088525108127445
