keyphrase,mean_abs_shap
abandoned,0.0013760664104226872
alien,4.024954979591986e-06
alien planet,0.0003448807982924989
android cyborg,3.1162340526722055e-06
anime,0.014127721267892948
anime colors,1.0011792859300382e-05
anime epic,0.00021939456122795374
armor daedric,3.963480897689989e-06
art,0.001093579692372262
art artgerm,0.0002567416444039262
art city,0.001227860179038631
art hyperrealistic,0.0
art josan,0.00016342962193988797
art lifelike,0.0003159536624661555
art punk,0.0
art realistic,0.0025225806969348882
art sharp,0.005485288860437211
art smooth,0.00021211921723719837
art style,0.0017749403332261405
art thorough,0.0
art trending,0.0002718427268149181
artistic,2.030725341067887e-05
artistic painting,0.0
artstation,0.0012840033032979483
artstation cinematic,4.887538955562606e-06
artstation galaxy,1.8677516117440224e-07
artstation hyperrealism,0.0001921226650556677
artwork,0.00024170944780096994
atmospheric lighting,0.00024994773201468307
avant garde,0.0
azores,0.0002278244379267621
azores islands,0.00029020115567556404
beautiful landscape,0.003259994698738045
beneath cherry,0.0
bjork,0.00023713414331710147
black,0.0
body manga,0.0022671245864286553
body portrait,0.00027538565991854614
body shot,2.9542781870127538e-06
bonsai,0.0002730229305058132
bonsai tree,0.0002623849196987895
bull looking,9.2932509782814e-06
bull modeled,0.0
butterfly volumetric,0.0
camera,1.6813791964014356e-06
candle butterfly,0.00021196856687782229
candle volumetric,0.0
canvas,0.000972484053384501
castle,0.004226077222093221
castle enclosed,0.000284642599126307
cat,1.6135302173711596e-06
century,0.0014840928350777793
century modern,0.00021835227078874467
character portrait,0.0003142593935027405
chris,4.435141346091834e-06
chris foss,3.9958382840194905e-06
churches domes,0.0002775169512090108
cinematic,0.00036368567469419454
cinematic composition,0.0014212848183751206
cinematic deviantart,0.000221826049725209
city,0.0002572572975627475
cloud fashion,0.0006319039436599221
clouds,1.035051176262783e-05
clouds covered,0.0010413900997841307
clouds girl,5.321280295516476e-06
clouds madeira,0.0002502116023012562
collage canvas,1.774165970798295e-06
colors,0.00020425802284282184
colossal,0.0002774805615481158
colossal goddess,0.00023212414262276112
comprehensive art,0.0010563895581651456
concept art,0.00027428228578580527
contemporary art,5.51486835676683e-06
cute fluffy,0.0
cyberpunk,0.002313901743113109
cyborg,0.0002570195067230926
cyborg body,2.832507495924595e-06
cyborg bull,3.2132259081904697e-06
daedric armor,1.3752995142394068e-06
dark,0.0
dark uncanny,3.832147396571086e-06
detailed painting,6.017526659402322e-06
detailed portrait,0.0006499919000347964
detailed ultra,0.002704965732625718
details intricate,0.0
detective pikachu,0.0010650156650812749
deviantart,0.0002200003882335886
deviantart hyperrealistic,0.0002491075736760478
deviantart realistic,0.0002374819667295012
digital art,0.0002249424467143883
digital painting,0.00021921690312656097
digital render,0.0002234753197981602
divine,0.000321630924805757
divine pink,0.00037005367383949805
dog,0.0004970273503040514
donald,0.00022914785344743349
dragon,0.00040483964296635707
dramatic lighting,1.596478214852788e-05
drawing,0.0028496759753190736
dunmer nerevarine,0.00206204026249454
einstein,0.0
elf,0.004372807294531028
elson,0.00028367104372633266
emo,0.0
emo punk,0.00022819892125513434
engine,0.0002537068675862469
entries sony,0.0
fantasy art,0.006356665064835575
fantasy painting,0.0006576418653394467
fantasy style,0.000869359520355227
faroe azores,0.0004959041582316442
fashion clouds,0.0
fiction,0.00020761500474800995
fiction film,0.00022723454347611544
fifth element,8.515963281871845e-05
film,0.002999223937855982
film neuromancer,0.0
flamingos,0.0003964483894641811
flowers,0.00017716805297524123
fluffy,0.0
footage,1.3291196010439334e-06
forest,0.0036408328753995563
frazetta,0.0022039943930345783
frazetta fantasy,0.00023958536341577025
frazetta giger,0.004804097347348518
futuristic,0.00023413599590845868
garden,0.00027047950240872195
garden intricate,0.003656735017148681
giant digital,0.00028234577263939147
girl clouds,0.0
glamorous sophisticated,8.758365612510531e-07
glimpse universe,0.0002506554823729117
goddess,0.00027272889823804863
goddess creative,0.0002103820776372121
goddess wearing,0.0
gordon,0.0026044088985832103
goth,0.00020908121196873498
goth emo,0.00024040947508460728
goths,0.0
goths loitering,3.0249879989432577e-06
gundam,3.5314144711693095e-06
gundam unreal,0.0
gustav klimt,3.50219993273117e-06
hd,0.0002761149467108039
hd goth,0.0005575014022966538
hd painting,0.0
hd unreal,0.00024665168669783815
heavy detailed,0.0024093155650361225
high quality,0.0014576959476776854
hills slavic,0.00021453448115508323
himalayan,0.0
himalayan rocksalt,0.00017862374702879276
houses,0.0008392536078188827
houses built,0.0002063449545657026
hyper detailed,0.0002931493282355395
illustrated,0.0
illustration,0.00044617690017737015
illustration art,0.00022362927569085525
imposing cyborg,0.0
intricate details,0.000215106289155834
intricate hyper,0.00011510827130775499
intricate royo,0.00030434911300661533
intricate volumetric,0.0024024044576075373
josan,0.00023393761464213906
josan gonzalez,0.00022630915552597015
knight,0.0
kylie,0.0
kylie minogue,0.0
lamp,0.0006982942600946445
landscape,0.00021922944619748818
landscape colourful,0.000278237705304249
lantern candle,0.004082167507987104
