keyphrase,mean_abs_shap
abandoned,0.004616474904255215
alchemical creatures,0.00024699877548160396
alien,0.0003583675370522055
alien planet,0.0006275512103622151
android cyborg,3.703808481752283e-05
anime,0.007005986713245478
anime colors,4.0860438469816036e-05
anime epic,0.0007967183880250438
armor daedric,0.0004951790705387728
art,0.01440441276260705
art artgerm,0.0033947839124873662
art hyperrealistic,0.0016630837081490757
art lifelike,0.0006983073869531324
art punk,0.003209124566825836
art realistic,0.0049170955000019355
art sharp,0.0012006866243908661
art smooth,0.0035405753373795408
art style,0.002289802190869867
art thorough,0.0002787231983714467
art trending,0.0021393105887201804
artistic,0.0025510898767267588
artistic painting,0.00047613115184224676
artstation,0.006491514300942652
artstation cinematic,0.0005801986897694023
artstation concept,0.0005780728154056195
artstation galaxy,0.0003506985388184679
artstation hyperrealism,0.003596918742044737
artwork,0.002855907689711744
atmospheric lighting,0.002335048823885064
azores,0.005463493057497486
barbarella,0.0014087915276907014
beautiful,0.0012606123020834851
beautiful landscape,0.003194835515282914
beksinski,0.001521363465506328
beneath cherry,0.0015032302617560083
bernard simunovic,0.0005334308717891461
bjork,0.0013993709067958275
black,0.0031281881372723346
blinders photography,0.00034505915668076097
body manga,0.004206275622360305
body portrait,0.0034024339984344296
body shot,0.00030196354172052996
bonsai,0.001232325856084407
bonsai tree,0.00021117212060202056
bull looking,0.00040617302581521326
bull modeled,0.0008548831605976772
butterfly volumetric,0.0002709409412748989
camera,0.0024147435859118256
candle butterfly,0.0024755258834618945
candle volumetric,0.0016110262559642064
canvas,0.004971528524567531
castle,0.004802211994021221
cat,0.0031335315019022218
century,0.0037981214198255183
century modern,0.0013508352544977073
character portrait,0.007225919175532688
cinematic,0.005167602114536611
cinematic composition,0.002581610983654503
cinematic deviantart,0.0008915574309732526
city,0.0037212226030349104
clouds,0.004676533569742173
clouds madeira,0.0018689723816560282
collage canvas,0.0019669996022786858
colors,0.0026712945460987928
colossal,7.347085184846206e-05
colossal goddess,8.608646847622536e-05
comprehensive art,0.005479163706764576
concept art,0.007416478822641302
contemporary art,0.002428545065901495
cosmic,0.002169060411269509
creatures surreal,0.000786093421610366
cute fluffy,0.0051863324490948205
cyberpunk,0.005740026567039627
cyborg,0.0020391620264562475
cyborg body,3.4310727144551984e-06
cyborg bull,0.0
daedric armor,0.00024928815471773294
dark,0.0018735306031462892
dark uncanny,0.00010783448495469794
detailed painting,0.0026090743368737657
detailed portrait,0.005230849482310257
detailed ultra,0.003087661271157015
detective pikachu,0.0010744307326334241
deviantart,0.0021224037168927437
deviantart cinematic,0.000676064844036687
deviantart hyperrealistic,0.00013532742903249776
deviantart realistic,0.0011877027628648129
digital art,0.005133119155149517
digital painting,0.005842942857998027
digital render,0.0003835331021875085
divine,0.002119609548356841
divine pink,0.0018372340618532674
dog,0.0016341192719547847
donald,0.0006824955104022018
dragon,0.00450138870093789
dramatic lighting,0.004553135765384217
drawing,0.00237250252304522
dunmer nerevarine,0.001511655194158509
edwardian photograph,6.560739554787295e-05
einstein,0.0017260873063971946
elf,0.003629721183217306
elson,0.004454008146254024
emo,0.0032221264752006376
emo punk,0.001757483137340983
engine,0.0019879438723538296
entries sony,0.002233210280018529
fantasy art,0.016619327930278854
fantasy painting,0.008779153780045935
fantasy style,0.0016894819515282653
faroe azores,0.00434519732445901
fiction,0.0006065075006436058
fiction film,0.004873304612067435
fiery alchemical,0.0014295872371163018
fifth element,0.004184940378106172
film,0.004058321138090456
film neuromancer,0.00044332021034658827
flamingos,0.0020291928430292245
flowers,0.003984758863932821
fluffy,0.0002503951380368411
food photography,0.002004420534449678
footage,0.001915709708676429
forest,0.005173681287134309
frazetta,0.0034155089113436193
frazetta giger,0.0052479927725692325
futuristic,0.0010070863615432057
garden,0.0018066623759369425
garden intricate,0.00421311287662837
giant digital,0.0015509919968258361
glamorous sophisticated,0.002450352413472453
goddess,0.004081925918511938
goddess creative,0.0002220721108653314
gordon,0.013144710985063313
goth,0.0016055803629309745
goth emo,0.0015627536970897686
goths,0.006869643573271623
goths loitering,0.0015138476908384442
gundam,0.002198948418233404
gundam unreal,0.001961399963963901
hd,0.0028342600968731166
hd goth,0.0030547718929861026
hd painting,0.0017244634369806284
hd unreal,0.0030452336789828518
headshot edwardian,0.00037659403531681263
heavy detailed,0.006109098127714591
high quality,0.0034622838507894892
himalayan,0.0002542137984988151
himalayan rocksalt,0.0016165512132259782
houses,0.0037758473787654536
houses built,0.003784441477114849
hyper detailed,0.0034030225940866366
illustration art,0.003175186504579304
imposing cyborg,0.00020110480216130368
intricate details,0.0016962095427537711
intricate hyper,0.00023074725358164183
intricate royo,0.0005172813446582344
intricate volumetric,0.003736089565374537
jacket black,0.0008571595265676087
josan,0.0030778011014813604
josan gonzalez,0.002773024911792733
kylie,0.0
kylie minogue,0.0010375177259924731
lamp,0.0022477151514458723
landscape,0.006637804445546657
landscape colourful,0.0007748852702021041
lantern candle,0.004258582974034873
length portrait,0.0036524373464019077
lifelike photorealistic,0.0025534780341356167
lighting,0.004614955673029742
lightning intricate,0.00035711910322723403
log houses,0.002729112126333211
looking camera,0.0
low clouds,0.0017430936353130375
madeira faroe,0.0020966587220647916
male dunmer,0.0016017438775034819
manga,0.00020153886065279891
manga illustration,0.0003803589143923261
