keyphrase,mean_abs_shap
abandoned,0.003381704064473032
alien,0.00020536511814951746
alien planet,0.0011970475917763121
android cyborg,0.0006061366670108827
anime,0.01940987401603105
anime colors,1.5383556554455112e-05
anime epic,6.328128949906997e-05
armor daedric,8.641454370411813e-06
art,0.012936168830761742
art artgerm,0.0015229111524749962
art city,0.0019089243396313365
art hyperrealistic,2.1213896100650322e-05
art josan,0.00023131798745125884
art lifelike,7.585771975928156e-05
art punk,0.0001038423301349551
art realistic,0.0039205400471984545
art sharp,0.004114480299565625
art smooth,0.001550635931099793
art style,0.004263845708581845
art thorough,0.000727588556164208
art trending,0.0004345272799808878
artistic,8.04553786802508e-05
artistic painting,9.150138951231948e-06
artstation,0.006929825187324559
artstation cinematic,0.0004895147300673188
artstation galaxy,8.306424860998868e-06
artstation hyperrealism,5.8536815446935043e-05
artwork,0.001516022037529449
atmospheric lighting,0.0009294486953816927
avant garde,0.0011226049803490553
azores,0.00011076453748775718
azores islands,0.0001439670491831673
beautiful landscape,0.000998474027244606
beneath cherry,8.856858760734818e-05
bjork,0.00019544155934238228
black,0.001297853686644036
body manga,0.0026687457055700158
body portrait,0.0008668531248640913
body shot,0.0006891826970287754
bonsai,0.00032306918822313786
bonsai tree,4.505495484086429e-06
bull looking,0.000580381766961997
bull modeled,0.0005456971899627471
butterfly volumetric,0.0007297856936664324
camera,0.0016316736582549912
candle butterfly,0.000566956203751012
candle volumetric,0.0006532246893906727
canvas,0.00203249137349585
castle,0.007005181053652101
castle enclosed,0.0004819657384142032
cat,0.0023001041426275693
century,0.0019393018808117524
century modern,0.0011991382745258504
character portrait,0.0008921326903787269
chris,0.0017565566045389149
chris foss,0.0007388431788174104
churches domes,0.0006622710800389895
cinematic,0.0018020764136033823
cinematic composition,0.003802068226408449
cinematic deviantart,0.00034210087457852063
city,0.001544126052741519
cloud fashion,0.0009483467350591836
clouds,0.0013412991728959107
clouds covered,0.002073496943453476
clouds girl,0.0008909756903733408
clouds madeira,0.0007317508559506391
collage canvas,0.00014574272364586947
colors,0.0006243340452237804
colossal,3.711420077169083e-06
colossal goddess,6.841183032698667e-05
comprehensive art,0.002633340231419388
concept art,0.0035718097073905307
contemporary art,0.00012370477534468974
cute fluffy,0.0010364114147210664
cyberpunk,0.003516580070704401
cyborg,0.0008857886421900177
cyborg body,0.0006681779607973657
cyborg bull,0.0004541783523540001
daedric armor,1.1048442487691245e-05
dark,0.0005351832806617498
dark uncanny,0.0006704562757720313
detailed painting,0.001125134237826489
detailed portrait,0.0017765837689366953
detailed ultra,0.008487284781363095
details intricate,0.00022343686203326967
detective pikachu,0.0011337725162660981
deviantart,0.002362288573174914
deviantart hyperrealistic,0.0001588919951017797
deviantart realistic,0.001351129857824608
digital art,0.0020933910770260886
digital painting,0.004164609955949656
digital render,0.0014204469273283585
divine,0.00039720834332272997
divine pink,0.0009617996869913507
dog,0.0018030701101311593
donald,0.00041042094006110203
dragon,0.005129033667307411
dramatic lighting,0.001090596158074804
drawing,0.004494989837722637
dunmer nerevarine,0.0037315341420386117
einstein,0.0013207050835981548
elf,0.0045359528476876295
elson,0.0006403373725060166
emo,0.00021290438979531235
emo punk,0.0005866364882193526
engine,0.000749661375177606
entries sony,8.431446229528209e-05
fantasy art,0.017150941720759042
fantasy painting,0.002471637585667595
fantasy style,0.0010559211795446034
faroe azores,0.001190148842256244
fashion clouds,0.0006453531091988113
fiction,0.0005710841246526021
fiction film,0.0011298185437988565
fifth element,0.0020217048116518174
film,0.004565834726500258
film neuromancer,4.092104830284736e-05
flamingos,0.0010336923868813999
flowers,0.0034482470189675586
fluffy,3.8526283338727865e-06
footage,0.0005861078319454088
forest,0.0037486414092811086
frazetta,0.0036745217980544186
frazetta fantasy,0.0006896486781145228
frazetta giger,0.00854197554309818
futuristic,0.0015736031135420714
garden,0.0007679336895589641
garden intricate,0.006445080780661546
giant digital,5.5682147883881485e-05
girl clouds,0.0005874579921265749
glamorous sophisticated,0.0002452337848751145
glimpse universe,9.215768603264556e-05
goddess,0.0014908529991721215
goddess creative,8.313484176592324e-05
goddess wearing,0.00045086664746333866
gordon,0.008259711713130237
goth,0.0007139357828718641
goth emo,0.0008867181960995411
goths,0.0001574734939911476
goths loitering,5.242358714655924e-05
gundam,0.0009336360817459519
gundam unreal,0.00014007072379761595
gustav klimt,0.0009488625866660316
hd,0.0007945983453770737
hd goth,0.0013396436127353164
hd painting,9.850905385787294e-05
hd unreal,0.0005821846996317571
heavy detailed,0.002227546774327099
high quality,0.0036258346590880503
hills slavic,0.0006537714661460299
himalayan,0.0015939159715976712
himalayan rocksalt,0.0008808782920778469
houses,0.00215076383728841
houses built,0.0005871781982608091
hyper detailed,0.0015954851303873379
illustrated,0.00022215237271465093
illustration,0.0014554785226893474
illustration art,0.003206471108297912
imposing cyborg,0.0006255938285568976
intricate details,0.000603134151936397
intricate hyper,0.0028710096649617292
intricate royo,0.0006748857580081404
intricate volumetric,0.005563566952954229
josan,7.757540998064042e-05
josan gonzalez,0.0002223765531309261
knight,0.0009251988479631172
kylie,1.2137482892426477e-05
kylie minogue,2.403568135753815e-05
lamp,0.000842807630753915
landscape,0.001373685145225214
landscape colourful,0.0005870576496547264
lantern candle,0.003233104581314347
length portrait,0.0009970597818661252
lifelike photorealistic,0.0006080756725203384
lighting,0.000775854128856943
lighting hd,0.0003492843395124145
lightning intricate,0.0006634645675187949
log houses,0.0005140141565185526
looking camera,0.0006016951325270017
low clouds,0.0009721175850415599
madeira faroe,0.00019258132571559747
male dunmer,0.003725078827886483
manga,0.0015951034193737994
manga illustration,3.326943889423912e-05
marble hourglass,0.0007350937868794481
matte,0.0011322472316540938
matte painting,0.013436569508987332
media collage,8.999458352359374e-05
mid century,0.008893365116734464
minogue,8.100774436717488e-05
mixed media,0.00016732258308681285
modern,0.00024398692731577876
modern art,0.0017432426691805067
movie,0.0036776500617853695
movie poster,0.0004177597193209059
natural scene,0.000897085104860802
nerevarine,0.0005500187256127376
neuromancer,0.00041478301884738313
oblivion skyrim,3.127857266170078e-06
octane render,0.0010634311317442875
oil painting,0.0012237250407613795
overcast thunder,0.0009499541358695085
pablo picasso,0.0005529646337407686
painted,0.0012958480860897664
painted pablo,0.0005988748791906556
painting,0.016010122068797327
painting aesthetic,0.00021664746284044375
painting artstation,0.00159817368087254
painting beautiful,0.009247681134953003
painting character,0.0005973261749219255
painting chris,0.0006571685000416742
painting deviantart,0.0011458620545271693
painting lurid,0.00018112246814501657
painting lush,0.005102299236677599
painting peter,0.0006454270665062298
painting ronny,0.0011792136111467375
painting sargent,0.006204209406951399
painting stalenhag,0.000654122534340852
painting unreal,1.5459257020422383e-05
