keyphrase,mean_abs_shap
abandoned,0.002834285938637251
alien,0.0003739846126410574
alien planet,0.0014804884766176658
android cyborg,0.0009509495761205669
anime,0.007511560006843312
anime colors,0.0
anime epic,0.0007777488188553859
armor daedric,0.0005042208187810008
art,0.007458152107774605
art artgerm,0.0010041612942825353
art city,0.000989595881162263
art hyperrealistic,0.0007685047527808129
art josan,0.0038503651245003507
art lifelike,0.0018580833603097384
art punk,0.0011593369735960163
art realistic,0.002199957791047893
art sharp,0.0022315152807956687
art smooth,0.001774462843759053
art style,0.003055590445289124
art thorough,0.00043918817648285147
art trending,0.0013078119672266114
artistic,0.00018980486919376318
artistic painting,0.0003504850655743483
artstation,0.003796585503161842
artstation cinematic,0.001289785641786381
artstation galaxy,8.396944339843584e-05
artstation hyperrealism,0.0009331246026867312
artwork,0.0011350894176444827
atmospheric lighting,0.0026307216972676455
avant garde,0.001485414215636586
azores,0.0015460973913555295
azores islands,6.348020209282233e-05
beautiful landscape,0.0025662742390422564
beneath cherry,0.0007956885300050136
bjork,0.0009820477571598559
black,0.0015150058492915852
body manga,0.0036924823567026288
body portrait,0.001425281581634895
body shot,0.0007190973188276619
bonsai,0.0014558250634120128
bonsai tree,0.0010206619969325623
bull looking,0.0005942301799535465
bull modeled,0.0008015895005635004
butterfly volumetric,0.0009853426852210363
camera,0.001228791090421835
candle butterfly,0.0018227656673010873
candle volumetric,0.0005363763423323646
canvas,0.0018646122291017002
castle,0.003394179748003398
castle enclosed,0.000188825882352724
cat,0.0020349991827489306
century,0.0026364907898844023
century modern,0.001987760750379053
character portrait,0.002165479830000106
chris,0.0016702914941650864
chris foss,0.000825804074310645
churches domes,0.00030257425535351736
cinematic,0.002602910011214335
cinematic composition,0.002036785257223769
cinematic deviantart,0.0001801951166337957
city,0.0024400753328461737
cloud fashion,0.0008423093242970067
clouds,0.0023234375959169853
clouds covered,0.0017239105586266718
clouds girl,4.975814385652494e-05
clouds madeira,0.0009303426464046783
collage canvas,0.001139029106845737
colors,0.00151429782269241
colossal,0.0006780713696705214
colossal goddess,0.0007594853053974268
comprehensive art,0.001183440525918898
concept art,0.003000608712735031
contemporary art,0.0010102748885571374
cute fluffy,0.0007352287945243492
cyberpunk,0.0029904550666107503
cyborg,0.0012533439436379196
cyborg body,0.0007334018738378156
cyborg bull,0.0007663655161896779
daedric armor,0.00010562715121301074
dark,0.0006871395151419362
dark uncanny,0.0013887833997520396
detailed painting,0.0018308205349965906
detailed portrait,0.0017213449447427485
detailed ultra,0.003400888964941852
details intricate,0.0002975335516681567
detective pikachu,0.0013795315678652113
deviantart,0.0014821587997604136
deviantart hyperrealistic,0.0009141409935432505
deviantart realistic,0.0006305985416302054
digital art,0.0041364745675172634
digital painting,0.0050142908555501015
digital render,0.0017228949113209176
divine,0.00032011346589048983
divine pink,0.0008015801927169176
dog,0.0008226292257404263
donald,0.0006004226147052096
dragon,0.0028432492552460643
dramatic lighting,0.0008344090637687872
drawing,0.0032210399440819274
dunmer nerevarine,0.0016857584781370836
einstein,0.00044821441075944745
elf,0.002458939394021458
elson,0.002646491319665191
emo,0.0007369914222979342
emo punk,0.0011351519307195106
engine,0.001477385090192022
entries sony,0.00016735529664412715
fantasy art,0.007274013818010794
fantasy painting,367945261029.8651
fantasy style,0.000857849379448733
faroe azores,0.002043644660932502
fashion clouds,0.00043260843458080506
fiction,0.0012013732625943405
fiction film,0.0013414338211428106
fifth element,0.00197768645988901
film,0.00463080217194518
film neuromancer,0.0013182456991904607
flamingos,0.0006364163676406701
flowers,0.0011507981300165164
fluffy,0.00019075914219947578
footage,0.0004300528061023543
forest,0.003710322078637425
frazetta,367945261029.8643
frazetta fantasy,0.0013059464424066225
frazetta giger,0.004237184441872115
futuristic,0.001054962643034143
garden,0.0014094491426246967
garden intricate,0.002674299678188563
giant digital,0.0008021069347900765
girl clouds,3.206792139897092e-05
glamorous sophisticated,0.0009572621861545391
glimpse universe,0.0017689712899967207
goddess,0.0019264661018444451
goddess creative,0.00018203055259921171
goddess wearing,0.0001913120467932294
gordon,0.00584930586496858
goth,0.0020254853653554517
goth emo,0.0011344982717113484
goths,0.0012376783473448674
goths loitering,0.0006830547212702335
gundam,6.0064467443501346e-05
gundam unreal,0.0003095353336741607
gustav klimt,0.0005812021367902761
hd,0.0002889174537677043
hd goth,0.0022766774871185187
hd painting,0.0009792956222159496
hd unreal,0.0003277322485120249
heavy detailed,0.0018380632561296663
high quality,0.0021656033703885366
hills slavic,0.00030358639744169956
himalayan,0.0004263651818028014
himalayan rocksalt,0.0004971787597858366
houses,0.0010802947828902681
houses built,4.837784189450311e-05
hyper detailed,0.0012042842491359579
illustrated,0.0003530184076923625
illustration,0.0008571138671333106
illustration art,0.0038228767708093064
imposing cyborg,0.0007685597506210038
intricate details,0.00034296570582618947
intricate hyper,0.00040408442780975114
intricate royo,0.0010413878143412944
intricate volumetric,0.0020612332897144434
josan,0.0011247359595131217
josan gonzalez,0.0011143189657769215
knight,0.0018828418061195675
kylie,0.001003737768662128
kylie minogue,0.0010071783398727715
lamp,0.00037929183849493323
landscape,0.0023506477154201155
landscape colourful,0.0007706763015158885
lantern candle,0.0037808759654176915
length portrait,0.0
lifelike photorealistic,0.003038754783770454
lighting,0.0014488787464475043
lighting hd,65083604299.08616
lightning intricate,7.703614265414322e-05
log houses,3.2177337696227813e-05
looking camera,0.0009739558080810324
low clouds,0.0009118163715310202
madeira faroe,0.00027942791890460703
male dunmer,0.0018900493366205522
manga,0.001580013746511783
manga illustration,0.0015226050284376685
marble hourglass,0.0006106501182715982
matte,0.002460121269212095
matte painting,0.007285039969783021
media collage,0.000959560037954787
mid century,0.004882258382159855
minogue,0.0007352686258701472
mixed media,0.0013007426040389481
modern,7.004006479432739e-05
modern art,0.0028299029513971503
movie,0.0029190224389139077
movie poster,0.0006189475786978312
natural scene,0.0010562576531474006
nerevarine,0.0009420888401653946
neuromancer,0.0015690406320701617
oblivion skyrim,8.674081521171931e-05
octane render,0.0022737922287495833
oil painting,0.0016109107545684144
overcast thunder,0.0005838943180511501
pablo picasso,0.0009367467180206747
painted,0.0005129761632096934
painted pablo,0.0015731996633664847
painting,0.00864228224136403
painting aesthetic,0.0012974056796808174
painting artstation,0.0015060323714473289
painting beautiful,0.005797435024813151
painting character,1.5672228005691298e-05
painting chris,0.0010006944462511598
painting deviantart,0.001316054198535107
painting lurid,0.0005097710392450964
painting lush,0.0036176193393956733
painting peter,0.0006584825908480509
painting ronny,0.0014425126525160878
painting sargent,0.004741626450423083
painting stalenhag,0.0006627087656725653
painting unreal,0.00019142982660026291
peter,0.002834824696841898
peter elson,0.0008249993041588769
photo,0.0025216465412540153
photo realistic,0.0022015347242263753
photograph,0.0025450870954790016
photograph divine,0.00032025644383191685
photography,0.003171355551958338
photography awards,0.00014936507890239408
photorealistic,0.008174132005846362
photorealistic digital,0.0016808892459273983
phyics entries,5.257799651886294e-05
picasso,0.005359246267797791
picasso hair,0.001255256575459653
pikachu hannah,0.0013241928083664331
pink bonsai,0.0014867105388122193
pink flamingos,0.0006224235718473326
pixar,0.0008773000346013321
pixie cut,0.0014288467749482357
portrait,0.0077177220029623584
portrait extremely,0.0017263383951612726
portrait intricate,0.0008592791349243202
portrait male,0.0007338603200053737
portrait painted,0.0012670585378391518
portrait painting,0.0002269865884033084
portrait photograph,0.00020324146769698019
portrait sabouts,0.0
portrait scifi,65083604299.08545
punk art,0.0009489616931574575
punk portrait,0.0010266526017405702
puppy,0.0007110960997108385
render hyperrealist,9.183661595016883e-05
robot,0.0003065632699939056
rocksalt lamp,0.0005500365604358097
rpg portrait,0.002463245959982923
runway,0.0011952476447171854
saitama,0.0008454008798497004
saitama anime,0.0013167709846802528
scene,0.002641079725708371
scene science,0.0010594318614777596
science,0.0008607774755288979
science fiction,0.0011553206435215473
screenshot,0.0015703741016785252
shade talking,0.0007903267382801743
skyrim elegant,0.002007816154313714
sony,0.0010125319967200115
sony world,0.0001709976411012733
space,0.0019238875391056546
starmaker,0.00014865814380319046
starmaker matte,4.135951314648273e-05
stars,0.0015051435826112477
statue,0.001659514636752816
steampunk,0.0009248917944472922
steampunk butterfly,0.0006841815693373258
steampunk himalayan,0.0003825128587517949
studio ghibli,0.0017501247487351154
style contemporary,0.0007881952584451157
style portrait,0.0007385435717876653
surreal,0.0011235066803992988
surreal concept,0.0009827733612023223
