keyphrase,adjusted_mean_shap
fantasy painting,91986315257.46925
frazetta,91986315257.4684
lighting hd,21694534766.36224
portrait scifi,16270901074.772852
anime,0.01201378550100315
fantasy art,0.011850237133471001
painting,0.01180249457179925
matte painting,0.010763409622102949
portrait,0.010396667110109925
art,0.008973078348378875
picasso,0.0083578834562751
photorealistic,0.007952151259206525
ruins,0.0079370225970924
painting beautiful,0.007656174584652025
gordon,0.007464534365436301
mid century,0.0067013287954481755
surreal,0.0065380502337360254
unreal engine,0.006384815958166325
painting sargent,0.006157455931548625
frazetta giger,0.005707812526221975
castle,0.004856912504442449
mila kunis,0.0048271465206072
wallpaper illustration,0.0047565041552891495
artstation,0.0046254820736817
detailed ultra,0.004420200187521875
garden intricate,0.0042473070881567255
forest,0.004068369412613075
film,0.0040635454935979
portrait extremely,0.0039864562936068
lantern candle,0.0038386827571884495
digital painting,0.0038102651431560506
elf,0.003749355179864325
ultra realistic,0.00369202721212705
cyberpunk,0.0036402408618669497
concept art,0.00356579488213815
intricate volumetric,0.0034408235664126503
art realistic,0.003390043508795725
photography,0.003374128612409175
art sharp,0.0032579927662973
drawing,0.0032345520700421747
dragon,0.003219627816614375
body manga,0.003208657067765375
painting lush,0.0031929878159190498
heavy detailed,0.0031460059308017997
abandoned,0.003052132829447
surreal concept,0.0030213657953251
steampunk,0.0029088181034655496
digital art,0.00289698181160175
art style,0.0028460446694916998
oil painting,0.002821305120358675
high quality,0.002677854456985875
character portrait,0.002649447772353525
landscape,0.0026453416880973246
scene,0.00263134932511405
photo,0.0026306703299154998
illustration art,0.002607040914844325
comprehensive art,0.0025880835055669253
peter,0.0025672208178427252
beautiful landscape,0.002504894620076925
cinematic,0.002484068553512075
century,0.0024645017313998253
trending artstation,0.0024624015189567
cinematic composition,0.002460437321415425
canvas,0.002460279045137375
matte,0.002362851098572425
detailed portrait,0.00234469252400605
statue,0.0023405627144512356
male dunmer,0.0022894839582233
spaceship,0.0022774604923643
rpg portrait,0.002257871638048525
dunmer nerevarine,0.00224774701920715
skyrim elegant,0.00220124613044695
flowers,0.0021902430164729998
sky,0.0021849223540339
cosmic,0.0021690604112695
movie,0.0021439328908572
photograph,0.002097557064664675
clouds,0.002087905212579382
fifth element,0.0020673728206164047
goths,0.002066198853651875
faroe azores,0.002018723746469825
modern art,0.002011789143683975
elson,0.00200612697053785
food photography,0.0020044205344496
city,0.0019906703215463
houses,0.0019615399016907
screenshot,0.0019507209698054998
goddess,0.0019429934794416002
fiction film,0.001892947880121275
cat,0.0018675620893739927
shade talking,0.001854094263976925
azores,0.001837044856066825
runway,0.00183629543722665
scene science,0.001819869244035625
hd goth,0.0018071485987841249
zdzislaw beksinski,0.0017792991729339
vallejo frazetta,0.0017736675734902002
lighting,0.0017701527837164501
art smooth,0.001769448332368825
cute fluffy,0.0017394931645850248
woman,0.001723270192649083
octane render,0.00163937163239955
hyper detailed,0.001623985325461325
dramatic lighting,0.001623526442344057
clouds covered,0.0016129325339547
lifelike photorealistic,0.00160026092762715
surrealism,0.001563515688599675
deviantart,0.001546712869515375
art artgerm,0.00154464950091215
photo realistic,0.0015374806692867748
atmospheric lighting,0.0015362917371371998
world photography,0.0015274717785303585
beksinski,0.0015213634655063
body portrait,0.001492488591212925
painting artstation,0.0014883672901750751
black,0.00148526191830195
space,0.001449683068789075
artwork,0.0014371821481716
painting aesthetic,0.001433749396892475
fiery alchemical,0.0014295872371163
art josan,0.0014150375779637665
barbarella,0.0014087915276907
painting deviantart,0.0014011083464158
detailed painting,0.0013927616590890006
scariest looking,0.0013771620453312
art city,0.0013754601332773668
sony,0.00135336535942595
camera,0.0013192224284462254
pikachu hannah,0.001318888049864825
