keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0
alien planet,0.00017988876480265514
android cyborg,0.00034827433311333274
anime,0.006225685464339316
anime colors,0.0
anime epic,0.0001831809348766225
armor daedric,0.0001805173697269012
art,0.0005656829343632212
art artgerm,0.0002299390762800892
art city,9.135789701742702e-07
art hyperrealistic,0.0001772288050911915
art josan,9.099019221716079e-06
art lifelike,3.382559939029012e-07
art punk,0.00016678470947888258
art realistic,0.0010160943927139511
art sharp,0.003550245783675242
art smooth,2.3313758893687574e-06
art style,0.003523186263432919
art thorough,1.4947197189258069e-05
art trending,0.0
artistic,0.00021692768080207664
artistic painting,0.00021353447507813477
artstation,0.020546565543217432
artstation cinematic,0.00019123494047965076
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.00014641413168972852
atmospheric lighting,0.0
avant garde,2.4021376283599026e-06
azores,0.0
azores islands,0.0
beautiful landscape,0.0007748056993491312
beneath cherry,0.0003092987789831056
bjork,1.4692275028656502e-06
black,0.002539014683670725
body manga,0.001116767689872573
body portrait,0.0002180474293662562
body shot,0.00031688067809535457
bonsai,0.00021997641401004324
bonsai tree,0.0006835897991150203
bull looking,0.00016554330617270604
bull modeled,0.00016927885663321125
butterfly volumetric,0.00018943751983864257
camera,0.0028897133010095037
candle butterfly,0.0001742770886984281
candle volumetric,0.0
canvas,0.00022057239732604084
castle,0.00022212479294746377
castle enclosed,0.0
cat,0.0002460703344975689
century,0.0
century modern,0.00033953791221538103
character portrait,0.00017355554728218215
chris,4.488222542218575e-05
chris foss,8.107858875910501e-05
churches domes,0.0
cinematic,0.0004233096094780219
cinematic composition,0.0002470920988665407
cinematic deviantart,0.0018284747789130398
city,3.7048245554828067e-05
cloud fashion,0.0001543393740786136
clouds,0.000991118428885999
clouds covered,0.00015674438464487634
clouds girl,0.00019582995709121153
clouds madeira,0.00012022556865670278
collage canvas,0.00024176906770867636
colors,0.00039182343197139
colossal,2.8452767374935846e-06
colossal goddess,0.0
comprehensive art,0.0015075742143483215
concept art,0.00796047616509037
contemporary art,0.00022903503757033372
cute fluffy,0.002109718839019434
cyberpunk,0.0016188820726070626
cyborg,0.00020060860452094425
cyborg body,0.00023226548906616677
cyborg bull,0.0005752388106661185
daedric armor,0.00016875745023663255
dark,6.924756319368177e-07
dark uncanny,0.0
detailed painting,0.00014624992156631343
detailed portrait,1.9976523122495064e-06
detailed ultra,0.0002157582750540484
details intricate,0.0002199817484669752
detective pikachu,0.00018395595075567723
deviantart,0.00656905171883176
deviantart hyperrealistic,0.0001564970519907083
deviantart realistic,0.0002554250502776954
digital art,0.0008297543088767896
digital painting,0.0010456673418853
digital render,0.0003313687786587483
divine,3.1957233390942964e-05
divine pink,2.2321790099706677e-05
dog,0.0
donald,0.00016414435627525243
dragon,0.0019745667324851408
dramatic lighting,0.0
drawing,0.002178225606400971
dunmer nerevarine,0.0002508280271768388
einstein,0.00020698836370221287
elf,0.001272507753493055
elson,0.00020259752740838088
emo,0.0
emo punk,4.1061727909948185e-06
engine,0.00037922493500973175
entries sony,0.0
fantasy art,0.004411289726909084
fantasy painting,0.00031390772211353004
fantasy style,1.167837038904756e-05
faroe azores,0.00016366530949667483
fashion clouds,0.0001825455710918351
fiction,0.0
fiction film,3.1519608907260443e-06
fifth element,0.0012074346326449005
film,7.271991266051311e-06
film neuromancer,7.058161917662279e-07
flamingos,0.00012797526767630073
flowers,0.00036677415202634865
fluffy,0.0
footage,0.0
forest,1.47629332450079e-06
frazetta,0.0031238141704108065
frazetta fantasy,0.0
frazetta giger,0.0
futuristic,2.5773535035686146e-06
garden,0.00014222089780149407
garden intricate,0.0003748966122210608
giant digital,0.001684220454053585
girl clouds,0.00023089613658890722
glamorous sophisticated,0.0014020065617512498
glimpse universe,0.0002041042675538093
goddess,0.0013493387458839827
goddess creative,0.0
goddess wearing,0.00022717174191903846
gordon,0.00017857495819334157
goth,0.0072587496105266614
goth emo,2.300044973149193e-06
goths,0.00025878974308451107
goths loitering,0.00022273569018044863
gundam,6.736840123909201e-05
gundam unreal,0.0
gustav klimt,0.0003424760008783411
hd,0.0
hd goth,3.107439435648473e-06
hd painting,0.0002007355326559464
hd unreal,3.3374760929771735e-06
heavy detailed,0.0
high quality,0.0013150805263803821
hills slavic,0.0
himalayan,0.00015199025580964683
himalayan rocksalt,0.00015006857397095174
houses,7.234417472625214e-07
houses built,0.0
hyper detailed,5.9332341783945415e-06
illustrated,6.35648902038993e-05
illustration,0.0004272026964163055
illustration art,0.0007084644920513214
imposing cyborg,0.0004228606955843024
intricate details,0.00021585883826645132
intricate hyper,0.00026961997517679204
intricate royo,0.0
intricate volumetric,0.0023142331830184526
josan,2.0528729075468602e-07
josan gonzalez,0.0037468364673736336
knight,0.00018432317752135814
kylie,0.00027133246738094574
kylie minogue,0.00019214563001617612
lamp,0.0002948883201186988
landscape,0.00014513547471304317
landscape colourful,0.0002192157859103242
lantern candle,0.00020802983225164082
length portrait,9.411187596108324e-07
lifelike photorealistic,0.0026517735667582402
lighting,0.0011760983631489235
lighting hd,0.0
lightning intricate,0.0
log houses,0.0
looking camera,0.00018136918260568377
low clouds,5.127165792317984e-06
madeira faroe,0.00042797726145446286
male dunmer,0.0002629557082036033
manga,0.00018554458731851907
manga illustration,0.00019200676389872194
marble hourglass,0.0
matte,0.0003388308915879281
matte painting,0.021246796160496073
