keyphrase,mean_abs_shap
abandoned,0.0028280440429489114
alchemical creatures,7.490383027591602e-05
alien,0.002459461520186606
alien planet,0.0032033007087640545
android cyborg,0.0
anime,0.0051242874682868
anime colors,0.00043013573072993007
anime epic,0.0009948729032253508
armor daedric,0.00035949286601382233
art,0.009620154827159699
art artgerm,0.0025943020384022893
art hyperrealistic,0.0015340086892122581
art lifelike,0.00046984029095197005
art punk,0.004049769912186398
art realistic,0.01123000961250206
art sharp,53623226896.69026
art smooth,0.009419364502907479
art style,0.0025798680715242188
art thorough,0.0030623274017678504
art trending,0.0031256072907056348
artistic,0.0027892600952283057
artistic painting,0.0023732205033020265
artstation,0.022656422419503667
artstation cinematic,0.0035512103397764075
artstation concept,0.0010510564187119844
artstation galaxy,0.0017779760538991088
artstation hyperrealism,0.005357972176304353
artwork,0.001819221630059364
atmospheric lighting,0.0022899677685569515
azores,0.0032385227641547366
barbarella,0.0013267634244331819
beautiful,0.0027525784979918777
beautiful landscape,0.00792948947090861
beksinski,0.0034951328447997993
beneath cherry,0.0006279128533683949
bernard simunovic,0.0030041619762346955
bjork,0.002004695763808054
black,0.0035587736319575413
blinders photography,0.0026241981253154172
body manga,0.0013873592476445103
body portrait,0.0010011654835619715
body shot,0.0007826140971428536
bonsai,0.00234934106402509
bonsai tree,0.004194978486335928
bull looking,0.0010587135664448235
bull modeled,0.0013232409760133362
butterfly volumetric,0.0012781785423283125
camera,0.0008166674787070866
candle butterfly,8.40432110405492e-05
candle volumetric,0.002756373803675979
canvas,0.0030810805355013637
castle,0.0011307598513088902
cat,0.002935074116715695
century,0.0006861616017321931
century modern,0.0025102363914481594
character portrait,0.006087435896523494
cinematic,0.006765052065929282
cinematic composition,0.002438120292307131
cinematic deviantart,0.0033234829476048067
city,0.002966913593380259
clouds,0.0035057602219946502
clouds madeira,0.0027224993162735466
collage canvas,0.002214385790291484
colors,0.003610173898563595
colossal,0.0019622974041758404
colossal goddess,0.0019254153768925063
comprehensive art,0.0037761471532943205
concept art,0.009193472694636594
contemporary art,0.0028560318421578523
cosmic,0.002148234978606626
creatures surreal,4.016110257410209e-05
cute fluffy,0.0026874725630375903
cyberpunk,0.004453387943524121
cyborg,0.0004919166637701981
cyborg body,0.0005327270591832968
