keyphrase,mean_abs_shap
abandoned,2.9241788213022846e-05
alien,0.0008827249847640213
alien planet,4.0450317867753204e-05
android cyborg,0.00023326885266753875
anime,0.013763691166342372
anime colors,0.0006691371353114565
anime epic,0.0005283425630975813
armor daedric,7.630457474764689e-05
art,0.006007063227546868
art artgerm,0.0013237892963294008
art city,0.0006575250652180509
art hyperrealistic,0.0004977778079170982
art josan,0.0005644478767241198
art lifelike,2.1545054836930215e-05
art punk,0.0007601608754073394
art realistic,0.0035901989513019363
art sharp,0.005652684366633653
art smooth,0.0015197981225355689
art style,0.005102060139085188
art thorough,0.0009066800751158737
art trending,0.0013802945302723568
artistic,0.0015986961900858853
artistic painting,0.00021296005910854233
artstation,22814553317491.79
artstation cinematic,0.0006684779348783977
artstation galaxy,0.0007076181095180137
artstation hyperrealism,0.0006112356291085764
artwork,0.0017290983598909587
atmospheric lighting,7.599420412797497e-05
avant garde,6.60012792737788e-05
azores,0.0010590191389756821
azores islands,1.2973472355005757e-05
beautiful landscape,0.00045171856694630673
beneath cherry,0.0004024536842252941
bjork,0.00018449973571936244
black,0.004389250463426124
body manga,0.0016176179134341582
body portrait,0.0011507710011403518
body shot,0.00010947069858033718
bonsai,1.4057998678769272e-05
bonsai tree,0.0015402039572745263
bull looking,6.132324775934767e-05
bull modeled,0.00019755211843964696
butterfly volumetric,8.017258488361839e-05
camera,0.00398805995243746
candle butterfly,0.00016332293130492167
candle volumetric,0.0014205414786709833
canvas,0.0012047909942570446
castle,0.0009142198278229155
castle enclosed,6.566274956159573e-05
cat,0.0013251351734360941
century,0.0004313337643992486
century modern,0.0015723343202385884
character portrait,0.0010268658441883259
chris,0.0007515258627397904
chris foss,0.0006760334354396858
churches domes,2.198694653650454e-05
cinematic,0.0029633829357900423
cinematic composition,0.0011320224746282767
cinematic deviantart,0.001682544692727868
city,0.0015535013134574437
cloud fashion,0.0004923120878065733
clouds,0.003799402497261782
clouds covered,0.0007561145559936895
clouds girl,22814553317491.777
clouds madeira,0.0012023737059301282
